Wavelength (nm)	C11 ems
335.00	1290.6
336.00	1485.7
337.00	1633.7
338.00	1818.0
339.00	2235.3
340.00	2858.6
341.00	3672.9
342.00	4959.5
343.00	6441.0
344.00	8608.0
345.00	11498
346.00	15211
347.00	19739
348.00	25303
349.00	31917
350.00	37894
351.00	45109
352.00	51747
353.00	58041
354.00	64023
355.00	68758
356.00	73129
357.00	76416
358.00	77959
359.00	79501
360.00	79191
361.00	78747
362.00	78171
363.00	78012
364.00	77769
365.00	78559
366.00	79218
367.00	81439
368.00	83008
369.00	85624
370.00	89205
371.00	90967
372.00	93785
373.00	95379
374.00	97278
375.00	97422
376.00	97637
377.00	96459
378.00	94723
379.00	92715
380.00	89532
381.00	87124
382.00	84092
383.00	81449
384.00	77905
385.00	74993
386.00	72981
387.00	70860
388.00	68856
389.00	67525
390.00	67078
391.00	65155
392.00	64631
393.00	63151
394.00	62508
395.00	60606
396.00	60354
397.00	58432
398.00	56866
399.00	55272
400.00	53167
401.00	51221
402.00	49457
403.00	47641
404.00	45137
405.00	42905
406.00	40745
407.00	39265
408.00	36894
409.00	35045
410.00	33589
411.00	31936
412.00	30248
413.00	29504
414.00	28022
415.00	27015
416.00	25699
417.00	24719
418.00	24069
419.00	23407
420.00	22049
421.00	21444
422.00	20320
423.00	19631
424.00	18932
425.00	17750
426.00	17140
427.00	15957
428.00	15265
429.00	14502
430.00	13999
431.00	13115
432.00	12080
433.00	11733
434.00	11130
435.00	10544
436.00	9975.1
437.00	9422.2
438.00	8957.2
439.00	8451.7
440.00	8332.9
441.00	7660.4
442.00	7390.5
443.00	6990.4
444.00	6835.6
445.00	6483.8
446.00	6197.4
447.00	6015.6
448.00	5806.0
449.00	5406.8
450.00	5349.4
451.00	5210.8
452.00	4840.4
453.00	4649.9
454.00	4436.8
455.00	4192.7
456.00	3989.4
457.00	3891.8
458.00	3649.7
459.00	3563.3
460.00	3365.1
461.00	3185.9
462.00	3064.6
463.00	2931.4
464.00	2761.7
465.00	2663.4
466.00	2620.4
467.00	2402.0
468.00	2286.3
469.00	2186.3
470.00	2139.8
471.00	2008.2
472.00	1925.9
473.00	1857.9
474.00	1760.6
475.00	1684.2
476.00	1657.8
477.00	1576.5
478.00	1528.3
479.00	1496.9
480.00	1436.2
481.00	1434.9
482.00	1366.2
483.00	1312.8
484.00	1304.0
485.00	1250.2
486.00	1160.7
487.00	1080.4
488.00	1135.2
489.00	1071.8
490.00	1021.5
491.00	1032.4
492.00	1030.5
493.00	925.36
494.00	878.59
495.00	890.76
496.00	879.67
497.00	858.25
498.00	772.12
499.00	815.00
500.00	777.98
