Wavelength (nm)	C11 abs e
210.00	21421
211.00	21574
212.00	21469
213.00	21080
214.00	20589
215.00	20028
216.00	19389
217.00	18870
218.00	18587
219.00	18674
220.00	19077
221.00	19745
222.00	20483
223.00	21213
224.00	21863
225.00	22491
226.00	23165
227.00	23873
228.00	24684
229.00	25435
230.00	25991
231.00	26300
232.00	26294
233.00	25992
234.00	25479
235.00	24774
236.00	24026
237.00	23140
238.00	22019
239.00	20746
240.00	19127
241.00	17118
242.00	14856
243.00	12457
244.00	10135
245.00	8074.3
246.00	6304.2
247.00	4908.8
248.00	3878.5
249.00	3144.0
250.00	2592.6
251.00	2177.3
252.00	1854.0
253.00	1603.8
254.00	1408.7
255.00	1265.8
256.00	1160.1
257.00	1105.2
258.00	1067.8
259.00	1048.3
260.00	1015.9
261.00	969.47
262.00	902.99
263.00	833.81
264.00	766.47
265.00	712.26
266.00	674.16
267.00	651.79
268.00	638.61
269.00	640.83
270.00	654.86
271.00	664.80
272.00	675.27
273.00	693.93
274.00	712.14
275.00	743.38
276.00	782.96
277.00	831.90
278.00	885.44
279.00	951.44
280.00	1030.9
281.00	1114.8
282.00	1211.1
283.00	1307.9
284.00	1414.1
285.00	1531.8
286.00	1654.3
287.00	1784.8
288.00	1916.5
289.00	2053.8
290.00	2200.9
291.00	2358.2
292.00	2532.8
293.00	2717.8
294.00	2920.2
295.00	3133.8
296.00	3353.7
297.00	3583.9
298.00	3822.2
299.00	4061.4
300.00	4307.6
301.00	4554.5
302.00	4790.6
303.00	5034.2
304.00	5281.9
305.00	5543.9
306.00	5830.1
307.00	6143.5
308.00	6468.9
309.00	6803.4
310.00	7135.6
311.00	7459.4
312.00	7765.4
313.00	8057.2
314.00	8339.0
315.00	8613.1
316.00	8877.9
317.00	9105.4
318.00	9298.6
319.00	9488.5
320.00	9719.1
321.00	9999.0
322.00	10277
323.00	10545
324.00	10774
325.00	11002
326.00	11204
327.00	11348
328.00	11377
329.00	11279
330.00	11112
331.00	10878
332.00	10589
333.00	10341
334.00	10245
335.00	10399
336.00	10780
337.00	11171
338.00	11357
339.00	11270
340.00	10953
341.00	10525
342.00	10040
343.00	9539.1
344.00	8980.3
345.00	8368.4
346.00	7666.3
347.00	6902.2
348.00	6107.2
349.00	5295.3
350.00	4499.0
351.00	3764.5
352.00	3086.6
353.00	2479.3
354.00	1958.5
355.00	1530.7
356.00	1183.8
357.00	910.04
358.00	694.94
359.00	530.34
360.00	398.11
361.00	296.93
362.00	226.07
363.00	171.70
364.00	142.06
365.00	123.09
366.00	91.892
367.00	75.235
368.00	66.701
369.00	55.231
370.00	52.645
371.00	49.518
372.00	50.321
373.00	46.376
374.00	40.049
375.00	38.603
376.00	54.588
377.00	43.717
378.00	38.310
379.00	32.699
380.00	38.676
381.00	33.795
382.00	29.938
383.00	30.464
384.00	32.816
385.00	32.962
386.00	22.281
387.00	19.067
388.00	27.001
389.00	22.778
390.00	28.827
391.00	31.487
392.00	27.264
393.00	24.926
394.00	33.445
395.00	30.274
396.00	27.045
397.00	32.962
398.00	26.533
399.00	20.776
400.00	12.608
