Wavelength (nm)	FL047 [9] 1621-55-2, Flavanonol [M]
210.00	29574
211.00	30538
212.00	31398
213.00	32245
214.00	32914
215.00	33302
216.00	33264
217.00	32750
218.00	31818
219.00	30586
220.00	29108
221.00	27298
222.00	25109
223.00	22383
224.00	19420
225.00	16416
226.00	13630
227.00	11324
228.00	9483.4
229.00	8091.4
230.00	7022.6
231.00	6225.7
232.00	5657.1
233.00	5259.9
234.00	4995.3
235.00	4872.5
236.00	4874.9
237.00	4969.0
238.00	5150.2
239.00	5387.8
240.00	5675.9
241.00	5989.5
242.00	6334.6
243.00	6721.1
244.00	7130.8
245.00	7535.2
246.00	7919.4
247.00	8249.7
248.00	8500.3
249.00	8686.6
250.00	8816.0
251.00	8896.2
252.00	8948.1
253.00	8935.4
254.00	8833.3
255.00	8633.2
256.00	8291.8
257.00	7847.9
258.00	7325.8
259.00	6765.4
260.00	6221.9
261.00	5691.7
262.00	5192.1
263.00	4698.6
264.00	4230.2
265.00	3786.1
266.00	3414.8
267.00	3117.4
268.00	2890.3
269.00	2739.8
270.00	2646.9
271.00	2600.2
272.00	2606.1
273.00	2638.6
274.00	2687.6
275.00	2750.1
276.00	2794.4
277.00	2814.1
278.00	2819.7
279.00	2814.5
280.00	2815.9
281.00	2822.9
282.00	2809.2
283.00	2772.4
284.00	2707.4
285.00	2607.0
286.00	2470.2
287.00	2306.5
288.00	2137.0
289.00	1979.0
290.00	1843.7
291.00	1739.6
292.00	1677.8
293.00	1642.5
294.00	1631.1
295.00	1629.0
296.00	1654.7
297.00	1715.5
298.00	1783.4
299.00	1865.9
300.00	1943.0
301.00	2023.2
302.00	2104.8
303.00	2211.3
304.00	2308.6
305.00	2413.9
306.00	2527.4
307.00	2624.8
308.00	2719.1
309.00	2817.7
310.00	2914.3
311.00	3004.7
312.00	3078.6
313.00	3140.6
314.00	3215.8
315.00	3267.2
316.00	3309.1
317.00	3335.4
318.00	3357.0
319.00	3378.1
320.00	3389.8
321.00	3391.0
322.00	3377.1
323.00	3341.2
324.00	3292.2
325.00	3224.0
326.00	3143.8
327.00	3044.5
328.00	2942.8
329.00	2817.3
330.00	2681.7
331.00	2530.2
332.00	2373.8
333.00	2232.2
334.00	2092.6
335.00	1958.4
336.00	1820.6
337.00	1691.8
338.00	1561.9
339.00	1439.6
340.00	1330.1
341.00	1221.9
342.00	1118.1
343.00	1013.6
344.00	922.85
345.00	831.73
346.00	740.67
347.00	651.72
348.00	561.82
349.00	481.39
350.00	424.61
351.00	359.24
352.00	317.80
353.00	269.61
354.00	227.04
355.00	181.83
356.00	146.27
357.00	145.49
358.00	134.72
359.00	127.17
360.00	129.04
361.00	100.23
362.00	90.542
363.00	95.866
364.00	88.395
365.00	88.395
366.00	72.407
367.00	74.891
368.00	65.004
369.00	46.091
370.00	61.573
371.00	48.475
372.00	76.649
373.00	58.903
374.00	56.317
375.00	67.353
376.00	50.689
377.00	48.559
378.00	46.125
379.00	26.030
380.00	32.773
381.00	49.320
382.00	46.244
383.00	24.323
384.00	40.751
385.00	30.508
386.00	26.925
387.00	26.959
388.00	30.272
389.00	40.041
390.00	20.401
391.00	16.497
392.00	31.928
393.00	13.742
394.00	20.097
395.00	15.652
396.00	12.830
397.00	17.106
398.00	25.134
399.00	16.818
400.00	26.841
401.00	23.292
402.00	26.486
403.00	20.773
404.00	25.269
405.00	32.469
406.00	10.869
407.00	9.1789
408.00	14.401
409.00	4.4973
410.00	36.289
411.00	27.027
412.00	23.579
413.00	18.677
414.00	13.404
415.00	15.044
416.00	19.472
417.00	28.277
418.00	30.356
419.00	12.407
420.00	11.292
421.00	14.013
422.00	10.311
423.00	11.883
424.00	21.382
425.00	17.883
426.00	20.249
427.00	15.415
428.00	18.390
429.00	16.294
430.00	17.038
431.00	10.886
432.00	24.272
433.00	13.539
434.00	27.196
435.00	13.421
436.00	2.7057
437.00	9.5169
438.00	16.599
439.00	33.263
440.00	28.953
441.00	25.675
442.00	11.376
443.00	8.8409
444.00	8.3000
445.00	20.317
446.00	23.613
447.00	20.131
448.00	1.9789
449.00	12.677
450.00	10.024
451.00	4.5281
452.00	17.494
453.00	24.965
454.00	10.345
455.00	3.1113
456.00	13.337
457.00	17.376
458.00	19.303
459.00	22.954
460.00	33.500
461.00	9.6522
462.00	2.8549
463.00	5.0353
464.00	6.0184
465.00	17.951
466.00	20.824
467.00	7.4212
468.00	26.215
469.00	29.934
470.00	27.331
471.00	7.6043
472.00	7.7393
473.00	16.241
474.00	33.703
475.00	31.269
476.00	41.190
477.00	27.145
478.00	12.880
479.00	3.6860
480.00	25.421
481.00	24.204
482.00	30.644
483.00	41.241
484.00	8.8071
485.00	11.613
486.00	2.1987
487.00	13.877
488.00	9.2634
489.00	17.055
490.00	4.2268
491.00	0.18441
492.00	8.0605
493.00	23.663
494.00	9.4293
495.00	6.3364
496.00	0.91416
497.00	7.0324
498.00	1.3874
499.00	24.492
500.00	22.599
