Wavelength (nm)	PCPB Sci 2020_668, Me-RCC abs [Z]
403.00	0.19640
404.00	0.19518
405.00	0.19396
406.00	0.19291
407.00	0.19338
408.00	0.19385
409.00	0.19432
410.00	0.19479
411.00	0.19526
412.00	0.19611
413.00	0.19791
414.00	0.19971
415.00	0.20151
416.00	0.20331
417.00	0.20511
418.00	0.20690
419.00	0.20870
420.00	0.21089
421.00	0.21324
422.00	0.21560
423.00	0.21795
424.00	0.22031
425.00	0.22267
426.00	0.22472
427.00	0.22636
428.00	0.22801
429.00	0.22965
430.00	0.23129
431.00	0.23294
432.00	0.23458
433.00	0.23634
434.00	0.23894
435.00	0.24153
436.00	0.24412
437.00	0.24672
438.00	0.24931
439.00	0.25192
440.00	0.25576
441.00	0.25960
442.00	0.26344
443.00	0.26728
444.00	0.27112
445.00	0.27496
446.00	0.27900
447.00	0.28310
448.00	0.28721
449.00	0.29131
450.00	0.29541
451.00	0.29952
452.00	0.30335
453.00	0.30690
454.00	0.31044
455.00	0.31399
456.00	0.31754
457.00	0.31926
458.00	0.32070
459.00	0.32215
460.00	0.32359
461.00	0.32504
462.00	0.32571
463.00	0.32634
464.00	0.32696
465.00	0.32759
466.00	0.32822
467.00	0.32945
468.00	0.33089
469.00	0.33234
470.00	0.33378
471.00	0.33523
472.00	0.33746
473.00	0.33987
474.00	0.34228
475.00	0.34469
476.00	0.34710
477.00	0.35019
478.00	0.35374
479.00	0.35729
480.00	0.36084
481.00	0.36440
482.00	0.36819
483.00	0.37203
484.00	0.37587
485.00	0.37866
486.00	0.38100
487.00	0.38335
488.00	0.38569
489.00	0.38665
490.00	0.38756
491.00	0.38848
492.00	0.38863
493.00	0.38756
494.00	0.38650
495.00	0.38544
496.00	0.38437
497.00	0.38189
498.00	0.37898
499.00	0.37607
500.00	0.37304
501.00	0.36953
502.00	0.36602
503.00	0.36250
504.00	0.35922
505.00	0.35608
506.00	0.35293
507.00	0.34979
508.00	0.34706
509.00	0.34484
510.00	0.34261
511.00	0.34039
512.00	0.33866
513.00	0.33827
514.00	0.33787
515.00	0.33747
516.00	0.33707
517.00	0.33668
518.00	0.33719
519.00	0.33799
520.00	0.33880
521.00	0.33960
