Wavelength (nm)	PCPB Sci 2020_668, Me-RCC ems [Z]
500.00	0.0011010
501.00	0.0011044
502.00	0.0011274
503.00	0.0011659
504.00	0.0012043
505.00	0.0012428
506.00	0.0012812
507.00	0.0013197
508.00	0.0013581
509.00	0.0013966
510.00	0.0014350
511.00	0.0014735
512.00	0.0015119
513.00	0.0015504
514.00	0.0015888
515.00	0.0016273
516.00	0.0016657
517.00	0.0017042
518.00	0.0017426
519.00	0.0017811
520.00	0.0018195
521.00	0.0018580
522.00	0.0018964
523.00	0.0019349
524.00	0.0019734
525.00	0.0019845
526.00	0.0019845
527.00	0.0019845
528.00	0.0019845
529.00	0.0019845
530.00	0.0019845
531.00	0.0019845
532.00	0.0019845
533.00	0.0019845
534.00	0.0019845
535.00	0.0019845
536.00	0.0019845
537.00	0.0019845
538.00	0.0019845
539.00	0.0020371
540.00	0.0022319
541.00	0.0024267
542.00	0.0026215
543.00	0.0028163
544.00	0.0030110
545.00	0.0032058
546.00	0.0034006
547.00	0.0035954
548.00	0.0039100
549.00	0.0045841
550.00	0.0052581
551.00	0.0059322
552.00	0.0066063
553.00	0.0072803
554.00	0.0079544
555.00	0.0086285
556.00	0.0096414
557.00	0.011104
558.00	0.012566
559.00	0.014028
560.00	0.015490
561.00	0.016952
562.00	0.018414
563.00	0.020024
564.00	0.022155
565.00	0.024286
566.00	0.026418
567.00	0.028549
568.00	0.030680
569.00	0.032811
570.00	0.034943
571.00	0.036971
572.00	0.038973
573.00	0.040975
574.00	0.042978
575.00	0.044980
576.00	0.046982
577.00	0.048985
578.00	0.052515
579.00	0.056476
580.00	0.060437
581.00	0.064398
582.00	0.068360
583.00	0.072321
584.00	0.076796
585.00	0.081659
586.00	0.086521
587.00	0.091384
588.00	0.096247
589.00	0.10153
590.00	0.10921
591.00	0.11688
592.00	0.12455
593.00	0.13223
594.00	0.13990
595.00	0.14925
596.00	0.16002
597.00	0.17080
598.00	0.18157
599.00	0.19235
600.00	0.20312
601.00	0.21390
602.00	0.22492
603.00	0.23771
604.00	0.25050
605.00	0.26330
606.00	0.27609
607.00	0.28888
608.00	0.30167
609.00	0.31447
610.00	0.32999
611.00	0.34579
612.00	0.36158
613.00	0.37738
614.00	0.39317
615.00	0.40897
616.00	0.42476
617.00	0.44008
618.00	0.45424
619.00	0.46840
620.00	0.48255
621.00	0.49671
622.00	0.51086
623.00	0.52502
624.00	0.53918
625.00	0.55250
626.00	0.56488
627.00	0.57725
628.00	0.58963
629.00	0.60201
630.00	0.61439
631.00	0.62676
632.00	0.63914
633.00	0.65074
634.00	0.66139
635.00	0.67203
636.00	0.68268
637.00	0.69333
638.00	0.70397
639.00	0.71462
640.00	0.72527
641.00	0.73591
642.00	0.74656
643.00	0.75572
644.00	0.76401
645.00	0.77230
646.00	0.78059
647.00	0.78888
648.00	0.79717
649.00	0.80546
650.00	0.81375
651.00	0.82204
652.00	0.82994
653.00	0.83728
654.00	0.84463
655.00	0.85197
656.00	0.85932
657.00	0.86666
658.00	0.87378
659.00	0.87996
660.00	0.88614
661.00	0.89232
662.00	0.89850
663.00	0.90468
664.00	0.91086
665.00	0.91704
666.00	0.92274
667.00	0.92763
668.00	0.93252
669.00	0.93741
670.00	0.94230
671.00	0.94719
672.00	0.95208
673.00	0.95697
674.00	0.96186
675.00	0.96675
676.00	0.97165
677.00	0.97495
678.00	0.97817
679.00	0.98139
680.00	0.98461
681.00	0.98783
682.00	0.99105
683.00	0.99404
684.00	0.99553
685.00	0.99702
686.00	0.99851
687.00	1.0000
688.00	0.99938
689.00	0.99877
690.00	0.99815
691.00	0.99753
692.00	0.99692
693.00	0.99560
694.00	0.99272
695.00	0.98984
696.00	0.98696
697.00	0.98408
698.00	0.98120
699.00	0.97832
700.00	0.97498
701.00	0.97051
702.00	0.96603
703.00	0.96155
704.00	0.95708
705.00	0.95260
706.00	0.94812
707.00	0.94365
708.00	0.93917
709.00	0.93469
710.00	0.92868
711.00	0.92243
712.00	0.91619
713.00	0.90994
714.00	0.90370
715.00	0.89746
716.00	0.89121
717.00	0.88497
718.00	0.87909
719.00	0.87328
720.00	0.86746
721.00	0.86165
722.00	0.85584
723.00	0.85003
724.00	0.84422
725.00	0.83840
726.00	0.83259
727.00	0.82638
728.00	0.81993
729.00	0.81349
730.00	0.80704
731.00	0.80060
732.00	0.79415
733.00	0.78770
734.00	0.78126
735.00	0.77481
736.00	0.76837
737.00	0.76192
738.00	0.75518
739.00	0.74843
740.00	0.74169
741.00	0.73495
742.00	0.72821
743.00	0.72146
744.00	0.71472
745.00	0.70798
746.00	0.70123
747.00	0.69449
748.00	0.68775
749.00	0.68101
750.00	0.67426
751.00	0.66752
752.00	0.66077
753.00	0.65403
754.00	0.64728
755.00	0.64054
756.00	0.63379
757.00	0.62705
758.00	0.62030
759.00	0.61356
760.00	0.60682
761.00	0.60007
762.00	0.59333
763.00	0.58658
764.00	0.57984
765.00	0.57309
766.00	0.56650
767.00	0.56021
768.00	0.55391
769.00	0.54762
770.00	0.54133
771.00	0.53504
772.00	0.52874
773.00	0.52245
774.00	0.51616
775.00	0.50986
776.00	0.50357
777.00	0.49728
778.00	0.49099
779.00	0.48469
780.00	0.47842
781.00	0.47231
782.00	0.46619
783.00	0.46008
784.00	0.45397
785.00	0.44786
786.00	0.44174
787.00	0.43563
788.00	0.42952
789.00	0.42341
790.00	0.41729
791.00	0.41118
792.00	0.40507
793.00	0.39896
794.00	0.39284
795.00	0.38746
796.00	0.38218
797.00	0.37689
798.00	0.37161
799.00	0.36633
800.00	0.36105
801.00	0.35577
802.00	0.35049
803.00	0.34521
804.00	0.33993
805.00	0.33465
806.00	0.32937
807.00	0.32409
808.00	0.31881
809.00	0.31380
810.00	0.30973
811.00	0.30565
812.00	0.30158
813.00	0.29750
814.00	0.29343
815.00	0.28936
816.00	0.28528
817.00	0.28121
818.00	0.27713
819.00	0.27306
820.00	0.26898
821.00	0.26491
822.00	0.26083
823.00	0.25676
824.00	0.25302
825.00	0.24929
826.00	0.24555
827.00	0.24182
828.00	0.23808
829.00	0.23435
830.00	0.23061
831.00	0.22688
832.00	0.22314
833.00	0.21941
834.00	0.21567
835.00	0.21194
836.00	0.20820
837.00	0.20447
838.00	0.20073
839.00	0.19700
840.00	0.19326
841.00	0.18972
842.00	0.18653
843.00	0.18334
