Wavelength (nm)	FL093 [11] 28608-75-5, Orientin [D]
240.00	15119
241.00	15367
242.00	15615
243.00	15914
244.00	16288
245.00	16581
246.00	16845
247.00	17108
248.00	17409
249.00	17716
250.00	18021
251.00	18222
252.00	18423
253.00	18597
254.00	18729
255.00	18834
256.00	18796
257.00	18739
258.00	18612
259.00	18483
260.00	18340
261.00	18206
262.00	18131
263.00	18087
264.00	18192
265.00	18280
266.00	18349
267.00	18407
268.00	18461
269.00	18313
270.00	17885
271.00	17315
272.00	16702
273.00	15978
274.00	15169
275.00	14391
276.00	13660
277.00	13164
278.00	12723
279.00	12370
280.00	12111
281.00	11959
282.00	11815
283.00	11737
284.00	11668
285.00	11599
286.00	11546
287.00	11495
288.00	11444
289.00	11410
290.00	11376
291.00	11307
292.00	11156
293.00	11009
294.00	10864
295.00	10720
296.00	10576
297.00	10434
298.00	10302
299.00	10171
300.00	10088
301.00	10022
302.00	9961.5
303.00	9935.6
304.00	9909.7
305.00	9885.9
306.00	9912.7
307.00	9939.4
308.00	9969.3
309.00	10048
310.00	10127
311.00	10212
312.00	10330
313.00	10448
314.00	10594
315.00	10762
316.00	10931
317.00	11171
318.00	11423
319.00	11682
320.00	11980
321.00	12278
322.00	12575
323.00	12880
324.00	13192
325.00	13503
326.00	13815
327.00	14138
328.00	14485
329.00	14833
330.00	15180
331.00	15481
332.00	15776
333.00	16071
334.00	16367
335.00	16620
336.00	16867
337.00	17114
338.00	17361
339.00	17604
340.00	17848
341.00	18016
342.00	18139
343.00	18262
344.00	18365
345.00	18453
346.00	18529
347.00	18565
348.00	18600
349.00	18570
350.00	18539
351.00	18478
352.00	18384
353.00	18290
354.00	18122
355.00	17916
356.00	17671
357.00	17403
358.00	17134
359.00	16865
360.00	16534
361.00	16147
362.00	15759
363.00	15372
364.00	14985
365.00	14533
366.00	14061
367.00	13588
368.00	13099
369.00	12583
370.00	12068
371.00	11550
372.00	11030
373.00	10510
374.00	9989.6
375.00	9467.9
376.00	8941.1
377.00	8414.4
378.00	7887.6
379.00	7365.3
380.00	6852.6
381.00	6339.9
382.00	5884.9
383.00	5430.5
384.00	4976.1
385.00	4622.8
386.00	4279.5
387.00	3977.5
388.00	3718.4
389.00	3464.1
390.00	3224.4
391.00	2984.6
392.00	2764.4
393.00	2555.1
394.00	2347.1
395.00	2178.7
396.00	2010.3
397.00	1865.8
398.00	1727.2
399.00	1591.6
400.00	1485.5
401.00	1379.5
402.00	1282.5
403.00	1206.6
404.00	1130.8
405.00	1054.9
406.00	999.80
407.00	948.32
408.00	896.84
409.00	845.37
410.00	802.18
411.00	763.46
412.00	724.73
413.00	686.01
414.00	653.52
415.00	622.30
416.00	591.09
417.00	559.88
418.00	531.36
419.00	503.44
420.00	475.51
421.00	448.87
422.00	423.24
423.00	397.61
424.00	371.98
425.00	349.11
426.00	327.21
427.00	305.32
428.00	283.46
429.00	265.16
430.00	246.86
431.00	228.57
432.00	210.29
433.00	194.42
434.00	178.54
435.00	163.60
436.00	150.86
437.00	138.13
438.00	126.07
439.00	114.32
440.00	102.93
441.00	95.560
442.00	88.194
443.00	80.896
444.00	73.667
445.00	66.437
446.00	63.545
447.00	60.653
448.00	59.207
449.00	59.207
450.00	59.207
