Wavelength (nm)	FL097 [11] 481-45-8, Kayaflavone [D]
225.00	44236
226.00	43281
227.00	42326
228.00	41378
229.00	40445
230.00	39513
231.00	38581
232.00	37510
233.00	36334
234.00	35186
235.00	34097
236.00	33009
237.00	31877
238.00	30651
239.00	29437
240.00	28386
241.00	27335
242.00	26387
243.00	25490
244.00	24618
245.00	24220
246.00	23822
247.00	23564
248.00	23446
249.00	23328
250.00	23374
251.00	23483
252.00	23703
253.00	24048
254.00	24393
255.00	24859
256.00	25428
257.00	26068
258.00	26883
259.00	27698
260.00	28554
261.00	29422
262.00	30596
263.00	31770
264.00	32843
265.00	33857
266.00	34649
267.00	35441
268.00	36174
269.00	36788
270.00	37289
271.00	37652
272.00	37856
273.00	37651
274.00	37440
275.00	37089
276.00	36737
277.00	35929
278.00	35086
279.00	33569
280.00	32101
281.00	30733
282.00	29452
283.00	28279
284.00	27270
285.00	26479
286.00	25740
287.00	25124
288.00	24835
289.00	24545
290.00	24327
291.00	24163
292.00	24048
293.00	24077
294.00	24106
295.00	24184
296.00	24361
297.00	24539
298.00	24717
299.00	24894
300.00	25176
301.00	25460
302.00	25745
303.00	26029
304.00	26313
305.00	26608
306.00	26932
307.00	27257
308.00	27582
309.00	27907
310.00	28231
311.00	28591
312.00	28969
313.00	29347
314.00	29725
315.00	30103
316.00	30481
317.00	30856
318.00	31229
319.00	31603
320.00	31976
321.00	32349
322.00	32629
323.00	32900
324.00	33170
325.00	33441
326.00	33568
327.00	33672
328.00	33777
329.00	33881
330.00	33951
331.00	34017
332.00	34049
333.00	33930
334.00	33810
335.00	33691
336.00	33541
337.00	33278
338.00	33015
339.00	32752
340.00	32452
341.00	32135
342.00	31819
343.00	31502
344.00	31151
345.00	30706
346.00	30262
347.00	29817
348.00	29325
349.00	28771
350.00	28218
351.00	27648
352.00	27059
353.00	26469
354.00	25879
355.00	25323
356.00	24805
357.00	24287
358.00	23769
359.00	23174
360.00	22495
361.00	21815
362.00	21136
363.00	20541
364.00	19966
365.00	19392
366.00	18817
367.00	18172
368.00	17371
369.00	16570
370.00	15719
371.00	14845
372.00	13971
373.00	13183
374.00	12490
375.00	11797
376.00	11129
377.00	10535
378.00	9940.3
379.00	9345.7
380.00	8814.5
381.00	8292.8
382.00	7771.1
383.00	7239.3
384.00	6703.6
385.00	6187.0
386.00	5824.2
387.00	5461.4
388.00	5098.6
389.00	4698.8
390.00	4273.4
391.00	3973.4
392.00	3722.1
393.00	3470.8
394.00	3207.4
395.00	2942.3
396.00	2697.8
