Wavelength (nm)	K08 abs e
312.50	10214
312.75	9483.2
313.00	10210
313.25	9709.4
313.50	10650
313.75	10350
314.00	7896.0
314.25	9820.5
314.50	9380.2
314.75	7134.6
315.00	8831.0
315.25	9285.3
315.50	8913.8
315.75	7972.7
316.00	7385.0
316.25	8099.9
316.50	6973.1
316.75	8039.3
317.00	6159.3
317.25	7980.8
317.50	8217.0
317.75	6643.9
318.00	7681.9
318.25	6773.2
318.50	5533.2
318.75	5860.4
319.00	6864.0
319.25	8207.0
319.50	6383.4
319.75	6993.3
320.00	8097.9
320.25	4681.0
320.50	7368.9
320.75	6765.1
321.00	6993.3
321.25	6440.0
321.50	5349.5
321.75	6494.5
322.00	5864.4
322.25	6100.7
322.50	5056.6
322.75	4988.0
323.00	6195.6
323.25	7183.1
323.50	6141.1
323.75	5531.2
324.00	6191.6
324.25	5196.0
324.50	5452.5
324.75	5230.3
325.00	6179.4
325.25	5359.6
325.50	5327.2
325.75	6149.2
326.00	4824.4
326.25	4355.9
326.50	4509.4
326.75	4998.1
327.00	5614.0
327.25	3889.4
327.50	4788.1
327.75	4200.4
328.00	5212.1
328.25	5129.3
328.50	4588.1
328.75	4981.9
329.00	3978.3
329.25	5387.8
329.50	4638.6
329.75	3972.2
330.00	4979.9
330.25	4529.6
330.50	4545.7
330.75	5026.4
331.00	3772.3
331.25	3687.5
331.50	2645.4
331.75	3990.4
332.00	4541.7
332.25	5232.3
332.50	4513.4
332.75	4097.4
333.00	4388.2
333.25	3968.2
333.50	3099.8
333.75	4646.7
334.00	3816.7
334.25	3861.1
334.50	3705.6
334.75	4129.7
335.00	3544.1
335.25	3515.8
335.50	3792.5
335.75	3586.5
336.00	2358.7
336.25	2084.0
336.50	2794.9
336.75	3069.5
337.00	3986.3
337.25	3564.3
337.50	3225.0
337.75	2570.7
338.00	3982.3
338.25	2922.1
338.50	2677.8
338.75	3198.8
339.00	1944.7
339.25	3035.2
339.50	2629.3
339.75	2118.4
340.00	2837.3
340.25	2847.4
340.50	2395.0
340.75	3237.1
341.00	3184.6
341.25	2821.1
341.50	2895.9
341.75	2300.1
342.00	2051.7
342.25	2308.2
342.50	1294.5
342.75	1143.0
343.00	1803.3
343.25	2025.5
343.50	2057.8
343.75	2574.8
344.00	1522.6
344.25	1676.1
344.50	565.44
344.75	1698.3
345.00	2494.0
345.25	1732.7
345.50	902.68
345.75	1710.5
346.00	1585.3
346.25	2005.3
346.50	1950.8
346.75	1359.1
347.00	1431.8
347.25	1173.3
347.50	1771.0
347.75	2043.7
348.00	1968.9
348.25	2360.7
348.50	1868.0
348.75	1839.7
349.00	1209.6
349.25	1387.3
349.50	2296.1
349.75	1853.8
350.00	2033.6
350.25	1271.2
350.50	1060.2
350.75	1265.2
351.00	1641.8
351.25	1988.1
351.50	1484.3
351.75	970.33
352.00	1300.5
352.25	1238.9
352.50	795.65
352.75	1529.7
353.00	1355.0
353.25	1218.7
353.50	991.54
353.75	1471.2
354.00	387.73
354.25	1778.1
354.50	1130.9
354.75	681.56
355.00	1494.4
355.25	1232.9
355.50	1752.9
355.75	665.40
356.00	985.48
356.25	1917.4
356.50	1470.1
356.75	1761.9
357.00	1149.1
357.25	1677.1
357.50	1175.3
357.75	1556.0
358.00	1328.8
358.25	1115.7
358.50	1292.4
358.75	1022.8
359.00	1417.6
359.25	1939.7
359.50	391.77
359.75	1812.4
360.00	1530.7
360.25	1978.0
360.50	1702.4
360.75	1041.0
361.00	882.49
361.25	719.93
361.50	1141.0
361.75	1146.0
362.00	1583.2
362.25	715.89
362.50	1264.2
362.75	1236.9
363.00	1831.6
363.25	1089.5
363.50	2213.3
363.75	534.14
364.00	1532.7
364.25	948.12
364.50	943.07
364.75	1271.2
365.00	1108.7
365.25	1465.1
365.50	1603.4
365.75	1909.4
366.00	947.11
366.25	378.64
366.50	573.52
366.75	1170.3
367.00	945.09
367.25	889.56
367.50	1421.7
367.75	1337.9
368.00	1250.0
368.25	940.04
368.50	1306.6
368.75	1685.2
369.00	1064.2
369.25	772.43
369.50	2049.7
369.75	1634.7
370.00	1009.7
370.25	1499.4
370.50	862.30
370.75	459.42
371.00	1128.9
371.25	637.13
371.50	2011.3
371.75	1133.9
372.00	1149.1
372.25	1776.1
372.50	1203.6
372.75	784.55
373.00	755.27
373.25	1871.0
373.50	1286.4
373.75	1293.4
374.00	1225.8
374.25	1127.9
374.50	551.30
374.75	429.13
375.00	739.11
375.25	1600.4
375.50	1544.9
375.75	1392.4
376.00	1326.8
376.25	938.02
376.50	995.58
376.75	1596.4
377.00	951.15
377.25	1683.2
377.50	1284.4
377.75	1299.5
378.00	1377.2
378.25	980.43
378.50	1405.5
378.75	1348.0
379.00	1155.1
379.25	998.61
379.50	1532.7
379.75	1598.4
380.00	1397.4
380.25	1129.9
380.50	1112.7
380.75	1208.6
381.00	1143.0
381.25	1117.8
381.50	1211.7
381.75	1014.8
382.00	1128.9
382.25	560.39
382.50	785.56
382.75	647.23
383.00	930.96
383.25	1790.2
383.50	1581.2
383.75	849.17
384.00	1532.7
384.25	1416.6
384.50	698.72
384.75	1442.9
385.00	1227.8
385.25	873.40
385.50	1353.0
385.75	679.54
386.00	1040.0
386.25	1156.1
386.50	1048.1
386.75	1883.1
387.00	1591.3
387.25	1547.9
387.50	1417.6
387.75	1440.9
388.00	1583.2
388.25	1186.4
388.50	1857.9
388.75	1380.3
389.00	1086.5
389.25	792.63
389.50	1326.8
389.75	1568.1
390.00	1655.9
390.25	1269.2
390.50	977.40
390.75	1652.9
391.00	1258.1
391.25	1384.3
391.50	607.85
391.75	847.15
392.00	1530.7
392.25	2208.2
392.50	698.72
392.75	1265.2
393.00	916.82
393.25	1142.0
393.50	1538.8
393.75	1071.3
394.00	1397.4
394.25	1089.5
394.50	1189.4
394.75	901.67
395.00	1262.1
395.25	1000.6
395.50	1454.0
395.75	1665.0
396.00	1668.0
396.25	1267.2
396.50	1110.7
396.75	1376.2
397.00	1546.9
397.25	1806.4
397.50	1294.5
397.75	873.40
398.00	1445.9
398.25	1079.4
398.50	1316.7
398.75	1140.0
399.00	1431.8
399.25	881.48
399.50	1042.0
399.75	1570.1
400.00	1575.2
400.25	1828.6
400.50	1280.3
400.75	1228.8
401.00	1304.6
401.25	1735.7
401.50	1052.1
401.75	1331.8
402.00	1468.1
402.25	2010.3
402.50	1474.2
402.75	1412.6
403.00	1314.6
403.25	1923.5
403.50	1033.9
403.75	736.08
404.00	1252.0
404.25	883.50
404.50	1227.8
404.75	998.61
405.00	1088.5
405.25	1059.2
405.50	1538.8
405.75	1091.5
406.00	1211.7
406.25	1541.8
406.50	1019.8
406.75	1224.8
407.00	1223.8
407.25	1051.1
407.50	1167.2
407.75	1705.4
408.00	1445.9
408.25	1176.3
408.50	1678.1
408.75	1477.2
409.00	1157.1
409.25	1158.1
409.50	1256.1
409.75	1020.8
410.00	1930.6
410.25	1780.1
410.50	1241.9
410.75	1192.5
411.00	1559.0
411.25	1390.4
411.50	1421.7
411.75	944.08
412.00	1134.9
412.25	1533.8
412.50	1417.6
412.75	1321.7
413.00	1470.1
413.25	1158.1
413.50	1282.3
413.75	1685.2
414.00	1617.6
414.25	1055.2
414.50	1655.9
414.75	1206.6
415.00	1231.9
415.25	976.39
415.50	1423.7
415.75	1483.3
416.00	1363.1
416.25	1360.1
416.50	1195.5
416.75	1448.9
417.00	1139.0
417.25	1117.8
417.50	1375.2
417.75	1348.0
418.00	1385.3
418.25	1360.1
418.50	733.05
418.75	1541.8
419.00	1332.8
419.25	940.04
419.50	1464.1
419.75	1228.8
420.00	1185.4
420.25	1200.5
420.50	941.05
420.75	1073.3
421.00	1466.1
421.25	1549.9
421.50	876.43
421.75	1271.2
422.00	1391.4
422.25	1356.0
422.50	1126.8
422.75	1142.0
423.00	696.70
423.25	1539.8
423.50	1534.8
423.75	1416.6
424.00	1855.9
424.25	1406.5
424.50	1401.5
424.75	1442.9
425.00	1383.3
425.25	1751.9
425.50	1601.4
425.75	881.48
426.00	1225.8
426.25	1374.2
426.50	1391.4
426.75	1483.3
427.00	1546.9
427.25	1251.0
427.50	644.20
427.75	1685.2
428.00	1302.5
428.25	1341.9
428.50	696.70
428.75	1257.1
429.00	1278.3
429.25	1323.7
429.50	1373.2
429.75	1778.1
430.00	1260.1
430.25	1412.6
430.50	1134.9
430.75	1386.3
431.00	1621.6
431.25	859.27
431.50	1070.3
431.75	1757.9
432.00	987.50
432.25	1214.7
432.50	1310.6
432.75	1705.4
433.00	1492.4
433.25	1743.8
433.50	1244.0
433.75	1039.0
434.00	1587.3
434.25	1208.6
434.50	1613.5
434.75	1481.2
435.00	1086.5
435.25	1822.5
435.50	1096.5
435.75	1719.5
436.00	1433.8
436.25	1317.7
436.50	1231.9
436.75	1422.7
437.00	1643.8
437.25	1606.5
437.50	1342.9
437.75	1733.7
438.00	1651.9
438.25	1178.3
438.50	1306.6
438.75	986.49
439.00	1290.4
439.25	1133.9
439.50	1872.0
439.75	1616.6
440.00	1910.4
440.25	1404.5
440.50	1405.5
440.75	1481.2
441.00	1692.3
441.25	1473.2
441.50	1785.2
441.75	1374.2
442.00	1496.4
442.25	1469.1
442.50	1890.2
442.75	1305.6
443.00	1781.1
443.25	1774.1
443.50	1494.4
443.75	1780.1
444.00	1791.2
444.25	1897.3
444.50	1462.1
444.75	1733.7
445.00	1532.7
445.25	1477.2
445.50	1979.0
445.75	982.45
446.00	1258.1
446.25	1495.4
446.50	1908.4
446.75	2141.6
447.00	1924.5
447.25	1568.1
447.50	1839.7
447.75	2018.4
448.00	1837.7
448.25	1634.7
448.50	1975.0
448.75	2052.7
449.00	1819.5
449.25	2089.1
449.50	1866.0
449.75	1828.6
450.00	1999.2
450.25	1889.2
450.50	1958.8
450.75	1707.4
451.00	1748.8
451.25	1776.1
451.50	1760.9
451.75	1727.6
452.00	2415.2
452.25	2101.2
452.50	2183.0
452.75	2254.7
453.00	2195.1
453.25	1812.4
453.50	2170.9
453.75	2030.5
454.00	1819.5
454.25	1661.0
454.50	2217.3
454.75	1893.2
455.00	2098.2
455.25	2323.4
455.50	2086.1
455.75	2135.5
456.00	2207.2
456.25	2222.4
456.50	1964.9
456.75	2583.9
457.00	2215.3
457.25	2301.1
457.50	2176.9
457.75	2175.9
458.00	2049.7
458.25	1933.6
458.50	2611.1
458.75	2517.2
459.00	2447.5
459.25	2462.7
459.50	2807.0
459.75	2608.1
460.00	2354.7
460.25	2925.1
460.50	2689.9
460.75	2581.8
461.00	2463.7
461.25	2719.2
461.50	2506.1
461.75	2911.0
462.00	2673.7
462.25	2482.9
462.50	3124.1
462.75	2432.4
463.00	2891.8
463.25	2969.6
463.50	3188.7
463.75	2864.6
464.00	2788.8
464.25	3127.1
464.50	2631.3
464.75	3062.5
465.00	2984.7
465.25	3193.7
465.50	3291.7
465.75	3292.7
466.00	3340.1
466.25	3050.3
466.50	3330.0
466.75	3098.8
467.00	3606.7
467.25	3415.9
467.50	3330.0
467.75	3611.7
468.00	3324.0
468.25	3448.2
468.50	3404.8
468.75	2921.1
469.00	3067.5
469.25	3524.9
469.50	3822.8
469.75	3926.8
470.00	3097.8
470.25	3106.9
470.50	3586.5
470.75	3510.8
471.00	3606.7
471.25	3890.4
471.50	3774.3
471.75	4157.0
472.00	4036.8
472.25	3476.4
472.50	3925.8
472.75	3654.2
473.00	4355.9
473.25	3763.2
473.50	3960.1
473.75	4712.3
474.00	4254.9
474.25	4056.0
474.50	4248.9
474.75	3999.5
475.00	4462.9
475.25	3932.8
475.50	4759.8
475.75	4512.4
476.00	4440.7
476.25	4896.1
476.50	4697.2
476.75	4258.0
477.00	4735.6
477.25	4940.5
477.50	4727.5
477.75	4793.1
478.00	4743.6
478.25	5009.2
478.50	4773.9
478.75	5148.5
479.00	4743.6
479.25	5273.7
479.50	5488.8
479.75	5229.3
480.00	5242.4
480.25	5437.3
480.50	5422.2
480.75	5677.6
481.00	5464.6
481.25	5693.8
481.50	5832.1
481.75	6049.2
482.00	5836.1
482.25	5857.3
482.50	5670.6
482.75	6119.9
