Wavelength (nm)	21, (Z)-Vv-DPxB-63, ZVVDYCC
353.00	0.10700
354.00	0.11094
355.00	0.11511
356.00	0.11929
357.00	0.12455
358.00	0.12980
359.00	0.13521
360.00	0.14062
361.00	0.14702
362.00	0.15342
363.00	0.16052
364.00	0.16763
365.00	0.17577
366.00	0.18391
367.00	0.19229
368.00	0.20067
369.00	0.20977
370.00	0.21888
371.00	0.22886
372.00	0.23884
373.00	0.24941
374.00	0.25999
375.00	0.27107
376.00	0.28215
377.00	0.29389
378.00	0.30563
379.00	0.31770
380.00	0.32977
381.00	0.34268
382.00	0.35559
383.00	0.36908
384.00	0.38257
385.00	0.39705
386.00	0.41153
387.00	0.42566
388.00	0.43979
389.00	0.45484
390.00	0.46988
391.00	0.48545
392.00	0.50102
393.00	0.51614
394.00	0.53126
395.00	0.54708
396.00	0.56291
397.00	0.57874
398.00	0.59456
399.00	0.60926
400.00	0.62396
401.00	0.63907
402.00	0.65418
403.00	0.66989
404.00	0.68559
405.00	0.69940
406.00	0.71320
407.00	0.72621
408.00	0.73923
409.00	0.75224
410.00	0.76524
411.00	0.77697
412.00	0.78870
413.00	0.79918
414.00	0.80967
415.00	0.81837
416.00	0.82708
417.00	0.83508
418.00	0.84308
419.00	0.84992
420.00	0.85675
421.00	0.86177
422.00	0.86678
423.00	0.86960
424.00	0.87242
425.00	0.87320
426.00	0.87398
427.00	0.87290
428.00	0.87182
429.00	0.86853
430.00	0.86523
431.00	0.85984
432.00	0.85445
433.00	0.84616
434.00	0.83787
435.00	0.82685
436.00	0.81582
437.00	0.80303
438.00	0.79023
439.00	0.77370
440.00	0.75717
441.00	0.74030
442.00	0.72344
443.00	0.70488
444.00	0.68633
445.00	0.66624
446.00	0.64616
447.00	0.62458
448.00	0.60301
449.00	0.58039
450.00	0.55777
451.00	0.53569
452.00	0.51361
453.00	0.49016
454.00	0.46670
455.00	0.44361
456.00	0.42052
457.00	0.39795
458.00	0.37538
459.00	0.35560
460.00	0.33582
461.00	0.31610
462.00	0.29639
463.00	0.27623
464.00	0.25607
465.00	0.23997
466.00	0.22387
467.00	0.20963
468.00	0.19540
469.00	0.18151
470.00	0.16762
471.00	0.15389
472.00	0.14016
473.00	0.12860
474.00	0.11703
475.00	0.10759
476.00	0.098159
477.00	0.089986
478.00	0.081814
479.00	0.074503
480.00	0.067192
481.00	0.061339
482.00	0.055486
483.00	0.047665
484.00	0.039845
485.00	0.036546
486.00	0.033247
487.00	0.031770
488.00	0.030294
489.00	0.028146
490.00	0.025998
491.00	0.023756
492.00	0.021514
493.00	0.019307
494.00	0.017099
495.00	0.015616
496.00	0.014132
497.00	0.013020
498.00	0.011909
499.00	0.010958
500.00	0.010007
501.00	0.0093393
502.00	0.0086715
503.00	0.0082641
504.00	0.0078566
505.00	0.0078747
506.00	0.0078928
507.00	0.0075830
508.00	0.0072732
509.00	0.0072154
510.00	0.0071575
511.00	0.0071141
512.00	0.0070707
513.00	0.0072130
514.00	0.0073552
515.00	0.0073239
516.00	0.0072925
517.00	0.0073130
518.00	0.0073335
519.00	0.0074372
520.00	0.0075408
521.00	0.0077253
522.00	0.0079097
523.00	0.0078289
524.00	0.0077482
525.00	0.0077916
526.00	0.0078349
527.00	0.0078735
528.00	0.0079121
529.00	0.0078952
530.00	0.0078783
531.00	0.0077409
532.00	0.0076035
533.00	0.0074685
