Wavelength (nm)	18, (E)-Ep-PxB-5, EEpPxB5
316.00	0.94128
317.00	0.92915
318.00	0.91701
319.00	0.89909
320.00	0.88117
321.00	0.85779
322.00	0.83440
323.00	0.80685
324.00	0.77929
325.00	0.74752
326.00	0.71576
327.00	0.68034
328.00	0.64493
329.00	0.60832
330.00	0.57170
331.00	0.53422
332.00	0.49674
333.00	0.46038
334.00	0.42402
335.00	0.39067
336.00	0.35731
337.00	0.32794
338.00	0.29857
339.00	0.27476
340.00	0.25094
341.00	0.23150
342.00	0.21205
343.00	0.19731
344.00	0.18257
345.00	0.17203
346.00	0.16149
347.00	0.15465
348.00	0.14781
349.00	0.14347
350.00	0.13914
351.00	0.13700
352.00	0.13486
353.00	0.13422
354.00	0.13359
355.00	0.13391
356.00	0.13423
357.00	0.13587
358.00	0.13751
359.00	0.14037
360.00	0.14324
361.00	0.14614
362.00	0.14904
363.00	0.15303
364.00	0.15702
365.00	0.16183
366.00	0.16664
367.00	0.17184
368.00	0.17704
369.00	0.18272
370.00	0.18840
371.00	0.19493
372.00	0.20147
373.00	0.20823
374.00	0.21499
375.00	0.22271
376.00	0.23042
377.00	0.23839
378.00	0.24636
379.00	0.25514
380.00	0.26392
381.00	0.27281
382.00	0.28169
383.00	0.29156
384.00	0.30143
385.00	0.31166
386.00	0.32189
387.00	0.33263
388.00	0.34337
389.00	0.35437
390.00	0.36537
391.00	0.37705
392.00	0.38872
393.00	0.40046
394.00	0.41221
395.00	0.42461
396.00	0.43702
397.00	0.44922
398.00	0.46142
399.00	0.47319
400.00	0.48495
401.00	0.49823
402.00	0.51150
403.00	0.52476
404.00	0.53801
405.00	0.55058
406.00	0.56315
407.00	0.57558
408.00	0.58802
409.00	0.60060
410.00	0.61318
411.00	0.62609
412.00	0.63900
413.00	0.65085
414.00	0.66271
415.00	0.67455
416.00	0.68640
417.00	0.69712
418.00	0.70785
419.00	0.71896
420.00	0.73007
421.00	0.73980
422.00	0.74953
423.00	0.75819
424.00	0.76685
425.00	0.77505
426.00	0.78325
427.00	0.79003
428.00	0.79681
429.00	0.80265
430.00	0.80849
431.00	0.81260
432.00	0.81671
433.00	0.82031
434.00	0.82391
435.00	0.82556
436.00	0.82720
437.00	0.82783
438.00	0.82845
439.00	0.82674
440.00	0.82504
441.00	0.82282
442.00	0.82059
443.00	0.81644
444.00	0.81229
445.00	0.80703
