Wavelength (nm)	C02 abs e
260.00	5469.0
260.25	4935.5
260.50	4447.5
260.75	4048.2
261.00	3688.5
261.25	3391.1
261.50	3112.2
261.75	2887.4
262.00	2655.3
262.25	2465.8
262.50	2310.8
262.75	2169.0
263.00	2036.1
263.25	1912.9
263.50	1805.2
263.75	1708.5
264.00	1617.9
264.25	1522.5
264.50	1465.4
264.75	1390.8
265.00	1317.7
265.25	1272.4
265.50	1206.1
265.75	1149.1
266.00	1107.1
266.25	1053.1
266.50	1026.7
266.75	984.78
267.00	965.23
267.25	916.87
267.50	886.02
267.75	855.33
268.00	828.34
268.25	801.82
268.50	769.15
268.75	744.52
269.00	722.84
269.25	705.33
269.50	690.40
269.75	664.10
270.00	650.30
270.25	630.14
270.50	611.65
270.75	601.49
271.00	586.94
271.25	579.74
271.50	560.64
271.75	551.77
272.00	513.50
272.25	492.28
272.50	504.48
272.75	485.45
273.00	494.63
273.25	468.93
273.50	464.61
273.75	451.80
274.00	434.22
274.25	431.94
274.50	438.84
274.75	412.31
275.00	411.48
275.25	407.62
275.50	384.80
275.75	374.34
276.00	375.18
276.25	368.66
276.50	363.73
276.75	351.60
277.00	358.73
277.25	340.54
277.50	339.10
277.75	335.08
278.00	345.92
278.25	350.54
278.50	326.97
278.75	344.10
279.00	317.35
279.25	336.98
279.50	325.23
279.75	337.96
280.00	324.55
280.25	328.11
280.50	324.92
280.75	323.48
281.00	322.50
281.25	315.15
281.50	314.77
281.75	319.54
282.00	325.76
282.25	319.39
282.50	327.81
282.75	319.09
283.00	307.95
283.25	313.86
283.50	313.25
283.75	301.28
284.00	313.10
284.25	321.21
284.50	313.86
284.75	307.19
285.00	308.63
285.25	301.73
285.50	290.44
285.75	299.69
286.00	295.37
286.25	292.79
286.50	296.96
286.75	294.84
287.00	308.78
287.25	308.93
287.50	297.49
287.75	292.26
288.00	318.94
288.25	312.19
288.50	323.18
288.75	322.58
289.00	318.41
289.25	328.94
289.50	329.78
289.75	354.48
290.00	339.86
290.25	370.93
290.50	358.88
290.75	386.47
291.00	393.59
291.25	393.06
291.50	397.76
291.75	414.21
292.00	434.90
292.25	437.48
292.50	468.33
292.75	469.24
293.00	500.39
293.25	491.67
293.50	496.60
293.75	517.52
294.00	527.67
294.25	540.40
294.50	545.94
294.75	554.50
295.00	552.00
295.25	552.38
295.50	576.18
295.75	569.13
296.00	593.61
296.25	593.01
296.50	597.70
296.75	609.07
297.00	604.68
297.25	583.83
297.50	613.24
297.75	581.03
298.00	598.61
298.25	588.91
298.50	601.87
298.75	605.89
299.00	586.49
299.25	588.46
299.50	592.78
299.75	613.39
300.00	629.99
300.25	628.02
300.50	631.66
300.75	648.71
301.00	651.52
301.25	660.23
301.50	695.63
301.75	696.84
302.00	726.70
302.25	754.90
302.50	774.38
302.75	797.80
303.00	818.11
303.25	847.97
303.50	884.51
303.75	907.39
304.00	958.25
304.25	979.47
304.50	1006.1
304.75	1028.3
305.00	1070.4
305.25	1107.6
305.50	1140.5
305.75	1171.3
306.00	1201.3
306.25	1257.5
306.50	1269.3
306.75	1310.3
307.00	1333.7
307.25	1358.0
307.50	1391.8
307.75	1416.1
308.00	1438.3
308.25	1466.3
308.50	1476.3
308.75	1498.9
309.00	1507.9
309.25	1514.6
309.50	1514.6
309.75	1490.3
310.00	1458.9
310.25	1478.2
310.50	1459.4
310.75	1435.4
311.00	1379.3
311.25	1404.4
311.50	1410.4
311.75	1407.7
312.00	1372.3
312.25	1421.6
312.50	1395.8
312.75	1339.6
313.00	1371.8
313.25	1340.5
313.50	1316.5
313.75	1363.8
314.00	1372.8
314.25	1400.4
314.50	1361.5
314.75	1481.9
315.00	1445.4
315.25	1517.8
315.50	1515.7
315.75	1617.3
316.00	1623.0
316.25	1679.6
316.50	1744.0
316.75	1782.9
317.00	1821.1
317.25	1891.3
317.50	1986.5
317.75	2052.9
318.00	2166.2
318.25	2240.7
318.50	2296.4
318.75	2327.8
319.00	2396.3
319.25	2480.3
319.50	2571.4
319.75	2555.7
320.00	2639.0
320.25	2655.4
320.50	2724.5
320.75	2796.8
321.00	2905.8
321.25	2904.5
321.50	3033.1
