Wavelength (nm)	FL094 [11] 27740-01-8, Scutellarin [D]
220.00	23487
221.00	22774
222.00	22062
223.00	21349
224.00	20614
225.00	19868
226.00	19199
227.00	18594
228.00	18142
229.00	17749
230.00	17330
231.00	16858
232.00	16387
233.00	15902
234.00	15413
235.00	14737
236.00	13975
237.00	13119
238.00	12116
239.00	11121
240.00	10287
241.00	9605.7
242.00	9016.8
243.00	8536.4
244.00	8056.0
245.00	7742.3
246.00	7451.4
247.00	7197.1
248.00	6982.5
249.00	6852.2
250.00	6777.1
251.00	6828.4
252.00	6909.4
253.00	7056.4
254.00	7231.2
255.00	7430.5
256.00	7629.8
257.00	7938.8
258.00	8309.4
259.00	8680.0
260.00	9068.1
261.00	9483.6
262.00	9899.0
263.00	10314
264.00	10762
265.00	11226
266.00	11691
267.00	12238
268.00	12816
269.00	13395
270.00	13991
271.00	14621
272.00	15251
273.00	15895
274.00	16548
275.00	17178
276.00	17723
277.00	18267
278.00	18758
279.00	19169
280.00	19530
281.00	19776
282.00	19981
283.00	20112
284.00	20182
285.00	20253
286.00	20203
287.00	20154
288.00	20022
289.00	19889
290.00	19566
291.00	19210
292.00	18679
293.00	18084
294.00	17348
295.00	16600
296.00	15834
297.00	15142
298.00	14611
299.00	14192
300.00	13856
301.00	13612
302.00	13408
303.00	13327
304.00	13298
305.00	13317
306.00	13405
307.00	13518
308.00	13703
309.00	14008
310.00	14507
311.00	15019
312.00	15628
313.00	16237
314.00	16864
315.00	17523
316.00	18183
317.00	18836
318.00	19473
319.00	20110
320.00	20747
321.00	21392
322.00	22042
323.00	22691
324.00	23258
325.00	23737
326.00	24173
327.00	24582
328.00	24946
329.00	25211
330.00	25477
331.00	25698
332.00	25840
333.00	25982
334.00	26051
335.00	26100
336.00	26043
337.00	25986
338.00	25822
339.00	25641
340.00	25410
341.00	25035
342.00	24660
343.00	24285
344.00	23798
345.00	23267
346.00	22736
347.00	22205
348.00	21674
349.00	21072
350.00	20386
351.00	19701
352.00	19015
353.00	18330
354.00	17644
355.00	16974
356.00	16313
357.00	15651
358.00	14989
359.00	14327
360.00	13665
361.00	13003
362.00	12341
363.00	11678
364.00	11016
365.00	10353
366.00	9689.6
367.00	9026.7
368.00	8429.5
369.00	7835.9
370.00	7242.2
371.00	6722.9
372.00	6284.2
373.00	5845.6
374.00	5406.9
375.00	5051.1
376.00	4724.5
377.00	4397.9
378.00	4111.4
379.00	3834.9
380.00	3558.4
381.00	3374.7
382.00	3218.7
383.00	3062.7
384.00	2908.6
385.00	2758.8
386.00	2609.1
387.00	2459.3
388.00	2350.2
389.00	2244.5
390.00	2138.9
391.00	2050.0
392.00	1981.6
393.00	1913.3
394.00	1844.9
395.00	1777.2
396.00	1709.8
397.00	1642.5
398.00	1598.8
399.00	1578.0
400.00	1557.1
