Wavelength (nm)	L08 abs e
200.00	9695.1
201.00	9465.1
202.00	11544
203.00	11784
204.00	11511
205.00	12101
206.00	10448
207.00	11603
208.00	11722
209.00	10605
210.00	10624
211.00	11694
212.00	11939
213.00	12495
214.00	13710
215.00	15014
216.00	15019
217.00	14515
218.00	13918
219.00	13330
220.00	12824
221.00	12425
222.00	12106
223.00	11869
224.00	11684
225.00	11540
226.00	11441
227.00	11359
228.00	11295
229.00	11257
230.00	11225
231.00	11204
232.00	11193
233.00	11192
234.00	11195
235.00	11200
236.00	11192
237.00	11172
238.00	11144
239.00	11091
240.00	11026
241.00	10959
242.00	10892
243.00	10827
244.00	10782
245.00	10750
246.00	10716
247.00	10696
248.00	10670
249.00	10644
250.00	10600
251.00	10534
252.00	10444
253.00	10320
254.00	10165
255.00	9984.3
256.00	9769.7
257.00	9532.0
258.00	9272.8
259.00	8992.6
260.00	8717.2
261.00	8424.2
262.00	8152.7
263.00	7874.9
264.00	7623.7
265.00	7387.7
266.00	7178.9
267.00	6988.6
268.00	6837.5
269.00	6702.7
270.00	6598.4
271.00	6515.8
272.00	6444.1
273.00	6387.9
274.00	6345.6
275.00	6315.0
276.00	6300.0
277.00	6290.1
278.00	6287.3
279.00	6284.6
280.00	6283.6
281.00	6293.4
282.00	6304.7
283.00	6315.5
284.00	6320.6
285.00	6330.8
286.00	6344.8
287.00	6349.4
288.00	6357.1
289.00	6353.2
290.00	6335.2
291.00	6314.3
292.00	6272.7
293.00	6216.9
294.00	6148.9
295.00	6062.7
296.00	5966.5
297.00	5844.7
298.00	5706.7
299.00	5558.1
300.00	5381.5
301.00	5193.9
302.00	4978.6
303.00	4751.6
304.00	4501.1
305.00	4243.5
306.00	3978.8
307.00	3712.3
308.00	3450.8
309.00	3204.0
310.00	2971.9
311.00	2753.5
312.00	2557.2
313.00	2381.2
314.00	2230.5
315.00	2090.5
316.00	1975.2
317.00	1869.5
318.00	1785.7
319.00	1706.0
320.00	1642.7
321.00	1589.5
322.00	1543.5
323.00	1503.9
324.00	1473.9
325.00	1452.0
326.00	1431.4
327.00	1416.8
328.00	1408.7
329.00	1404.5
330.00	1406.2
331.00	1412.9
332.00	1426.7
333.00	1439.4
334.00	1459.4
335.00	1481.1
336.00	1509.4
337.00	1538.7
338.00	1575.9
339.00	1606.7
340.00	1652.0
341.00	1695.8
342.00	1744.1
343.00	1797.1
344.00	1847.0
345.00	1907.7
346.00	1966.1
347.00	2025.7
348.00	2092.3
349.00	2160.2
350.00	2232.6
351.00	2304.2
352.00	2379.3
353.00	2465.2
354.00	2543.4
355.00	2625.3
356.00	2704.1
357.00	2784.5
358.00	2867.5
359.00	2938.8
360.00	3016.6
361.00	3095.6
362.00	3175.9
363.00	3251.9
364.00	3332.3
365.00	3399.3
366.00	3470.9
367.00	3534.1
368.00	3588.7
369.00	3642.4
370.00	3695.8
371.00	3734.1
372.00	3767.8
373.00	3796.3
374.00	3816.4
375.00	3834.2
376.00	3841.3
377.00	3822.6
378.00	3808.5
379.00	3781.2
380.00	3736.2
381.00	3680.5
382.00	3611.0
383.00	3526.4
384.00	3438.0
385.00	3335.2
386.00	3220.2
387.00	3094.4
388.00	2968.5
389.00	2834.8
390.00	2683.8
391.00	2538.3
392.00	2390.7
393.00	2240.3
394.00	2102.8
395.00	1965.1
396.00	1821.4
397.00	1681.1
398.00	1543.8
399.00	1428.6
400.00	1323.4
401.00	1207.3
402.00	1104.6
403.00	1010.0
404.00	927.46
405.00	851.92
406.00	781.93
407.00	728.80
408.00	677.71
409.00	621.36
410.00	581.24
411.00	543.15
412.00	518.52
413.00	493.12
414.00	473.04
415.00	455.32
416.00	446.45
417.00	436.81
418.00	433.20
419.00	429.73
420.00	432.11
421.00	434.90
422.00	432.81
423.00	437.32
424.00	454.32
425.00	462.76
426.00	471.50
427.00	496.69
428.00	502.70
429.00	525.30
430.00	547.24
431.00	559.64
432.00	576.94
433.00	604.67
434.00	627.22
435.00	645.12
436.00	677.11
437.00	696.07
438.00	723.52
439.00	745.25
440.00	783.34
441.00	817.96
442.00	833.25
443.00	866.49
444.00	904.02
445.00	932.56
446.00	965.72
447.00	1004.5
448.00	1043.6
449.00	1081.0
450.00	1120.2
451.00	1161.9
452.00	1208.4
453.00	1251.0
454.00	1299.5
455.00	1340.9
456.00	1400.9
457.00	1453.7
458.00	1505.6
459.00	1551.4
460.00	1596.1
461.00	1668.0
462.00	1729.2
463.00	1790.9
464.00	1860.0
465.00	1916.9
466.00	1981.6
467.00	2052.6
468.00	2123.6
469.00	2193.7
470.00	2271.5
471.00	2362.5
472.00	2432.2
473.00	2517.6
474.00	2591.1
475.00	2676.1
476.00	2760.1
477.00	2851.4
478.00	2959.8
479.00	3049.7
480.00	3152.7
481.00	3248.9
482.00	3365.7
483.00	3480.9
484.00	3578.7
485.00	3759.9
486.00	3830.4
487.00	3909.5
488.00	4063.1
489.00	4221.0
490.00	4350.8
491.00	4484.4
492.00	4651.1
493.00	4809.8
494.00	4948.1
495.00	5102.4
496.00	5273.5
497.00	5442.8
498.00	5633.1
499.00	5804.3
500.00	5994.7
501.00	6179.4
502.00	6376.6
503.00	6577.0
