Wavelength (nm)	CoproP I (in DMF).abs
640.00	0.0018690
641.00	0.0018985
642.00	0.0017509
643.00	0.0015739
644.00	0.0023848
645.00	0.0027976
646.00	0.0027694
647.00	0.0029946
648.00	0.0026099
649.00	0.0022535
650.00	0.0019673
651.00	0.0018395
652.00	0.0019280
653.00	0.0018296
654.00	0.0012001
655.00	0.0013238
656.00	0.0013181
657.00	0.0014321
658.00	0.0014865
659.00	0.0017214
660.00	0.0018395
661.00	0.0016231
662.00	0.0017903
663.00	0.0018198
664.00	0.0015935
665.00	0.0015542
666.00	0.0013575
667.00	0.0012886
668.00	0.0015640
669.00	0.0014362
670.00	0.0013771
671.00	0.0015837
672.00	0.0017509
673.00	0.0019378
674.00	0.0015345
675.00	0.0017411
676.00	0.0015640
677.00	0.0013083
678.00	0.0013968
679.00	0.0014755
680.00	0.0017804
681.00	0.0014460
682.00	0.0010329
683.00	0.0012886
684.00	0.0014263
685.00	0.0012591
686.00	0.0014657
687.00	0.0013575
688.00	0.0014362
689.00	0.0014067
690.00	0.0015149
691.00	0.0013575
692.00	0.0014558
693.00	0.0012984
694.00	0.0014460
695.00	0.0015935
696.00	0.0014165
697.00	0.0013378
698.00	0.0015149
699.00	0.0014165
700.00	0.0014657
