Wavelength (nm)	J Agric Food Chem 2020_7132, Ob-YCC-45 abs 
200.00	1.2193
201.00	1.1879
202.00	1.1580
203.00	1.1320
204.00	1.1130
205.00	1.0976
206.00	1.0856
207.00	1.0770
208.00	1.0684
209.00	1.0597
210.00	1.0508
211.00	1.0419
212.00	1.0301
213.00	1.0161
214.00	1.0000
215.00	0.97467
216.00	0.94905
217.00	0.92229
218.00	0.89553
219.00	0.86773
220.00	0.83661
221.00	0.80550
222.00	0.77302
223.00	0.73687
224.00	0.70072
225.00	0.67043
226.00	0.64279
227.00	0.61515
228.00	0.59859
229.00	0.58300
230.00	0.57109
231.00	0.56221
232.00	0.55333
233.00	0.54501
234.00	0.53923
235.00	0.53523
236.00	0.53831
237.00	0.54139
238.00	0.54554
239.00	0.55031
240.00	0.55507
241.00	0.56014
242.00	0.56525
243.00	0.56953
244.00	0.57168
245.00	0.57383
246.00	0.57598
247.00	0.57338
248.00	0.57078
249.00	0.56818
250.00	0.55808
251.00	0.54758
252.00	0.53549
253.00	0.52292
254.00	0.51035
255.00	0.49747
256.00	0.48415
257.00	0.47084
258.00	0.45768
259.00	0.44850
260.00	0.43931
261.00	0.43045
262.00	0.42601
263.00	0.42157
264.00	0.41770
265.00	0.41897
266.00	0.42024
267.00	0.42151
268.00	0.42279
269.00	0.42415
270.00	0.42551
271.00	0.42688
272.00	0.42825
273.00	0.42961
274.00	0.43020
275.00	0.43058
276.00	0.43097
277.00	0.43136
278.00	0.43192
279.00	0.43299
280.00	0.43405
281.00	0.43512
282.00	0.43619
283.00	0.43787
284.00	0.44097
285.00	0.44408
286.00	0.44719
287.00	0.45076
288.00	0.45521
289.00	0.45966
290.00	0.46411
291.00	0.46975
292.00	0.47625
293.00	0.48278
294.00	0.49127
295.00	0.49976
296.00	0.50825
297.00	0.51674
298.00	0.52584
299.00	0.53571
300.00	0.54557
301.00	0.55544
302.00	0.56530
303.00	0.57444
304.00	0.58349
305.00	0.59255
306.00	0.60161
307.00	0.61066
308.00	0.61890
309.00	0.62569
310.00	0.63248
311.00	0.63927
312.00	0.64086
313.00	0.64241
314.00	0.64395
315.00	0.64549
316.00	0.64184
317.00	0.63818
318.00	0.63453
319.00	0.62632
320.00	0.61743
321.00	0.60794
322.00	0.59305
323.00	0.57816
324.00	0.56327
325.00	0.54625
326.00	0.52844
327.00	0.51063
328.00	0.49282
329.00	0.47245
330.00	0.45024
331.00	0.42803
332.00	0.40581
333.00	0.38489
334.00	0.36574
335.00	0.34659
336.00	0.32744
337.00	0.30829
338.00	0.28989
339.00	0.27161
340.00	0.25333
341.00	0.23919
342.00	0.22919
343.00	0.21919
344.00	0.20918
345.00	0.20176
346.00	0.19652
347.00	0.19128
348.00	0.18671
349.00	0.18516
350.00	0.18360
351.00	0.18205
352.00	0.18127
353.00	0.18324
354.00	0.18521
355.00	0.18719
356.00	0.18916
357.00	0.19114
358.00	0.19434
359.00	0.19772
360.00	0.20111
361.00	0.20450
362.00	0.20788
363.00	0.21297
364.00	0.21818
365.00	0.22339
366.00	0.22860
367.00	0.23381
368.00	0.23946
369.00	0.24699
370.00	0.25452
371.00	0.26205
372.00	0.26958
373.00	0.27711
374.00	0.28464
375.00	0.29218
376.00	0.30000
377.00	0.30782
378.00	0.31564
379.00	0.32346
380.00	0.33128
381.00	0.34030
382.00	0.35185
383.00	0.36341
384.00	0.37496
385.00	0.38652
386.00	0.39808
387.00	0.40979
388.00	0.42176
389.00	0.43373
390.00	0.44570
391.00	0.45767
392.00	0.46964
393.00	0.48161
394.00	0.49358
395.00	0.50534
396.00	0.51699
397.00	0.52864
398.00	0.54029
399.00	0.55194
400.00	0.56358
401.00	0.57523
402.00	0.58688
403.00	0.59836
404.00	0.60952
405.00	0.62068
406.00	0.63184
407.00	0.64300
408.00	0.65416
409.00	0.66533
410.00	0.67649
411.00	0.68765
412.00	0.69743
413.00	0.70546
414.00	0.71348
415.00	0.72151
416.00	0.72954
417.00	0.73756
418.00	0.74420
419.00	0.74758
420.00	0.75097
421.00	0.75436
422.00	0.75774
423.00	0.76048
424.00	0.76205
425.00	0.76362
426.00	0.76519
427.00	0.76231
428.00	0.75943
429.00	0.75655
430.00	0.75358
431.00	0.74775
432.00	0.74192
433.00	0.73608
434.00	0.72579
435.00	0.71476
436.00	0.70373
437.00	0.69271
438.00	0.68070
439.00	0.66830
440.00	0.65590
441.00	0.64350
442.00	0.63110
443.00	0.61870
444.00	0.60561
445.00	0.58935
446.00	0.57310
447.00	0.55684
448.00	0.54059
449.00	0.52433
450.00	0.50808
451.00	0.49111
452.00	0.47202
453.00	0.45293
454.00	0.43384
455.00	0.41474
456.00	0.39565
457.00	0.37656
458.00	0.35987
459.00	0.34539
460.00	0.33092
461.00	0.31644
462.00	0.30196
463.00	0.28749
464.00	0.27301
465.00	0.25848
466.00	0.24391
467.00	0.22935
468.00	0.21478
469.00	0.20022
470.00	0.18565
471.00	0.17487
472.00	0.16475
473.00	0.15463
474.00	0.14451
475.00	0.13440
476.00	0.12458
477.00	0.11722
478.00	0.10986
479.00	0.10250
480.00	0.095142
481.00	0.087781
482.00	0.081753
483.00	0.077991
484.00	0.074229
485.00	0.070467
486.00	0.066706
487.00	0.062944
488.00	0.059182
489.00	0.055420
490.00	0.052918
491.00	0.051094
492.00	0.049270
493.00	0.047446
494.00	0.045622
495.00	0.043798
496.00	0.041974
497.00	0.040150
498.00	0.039332
499.00	0.038591
500.00	0.037850
501.00	0.037108
502.00	0.036367
503.00	0.035625
504.00	0.034884
505.00	0.034143
506.00	0.033485
507.00	0.032879
508.00	0.032273
509.00	0.031667
510.00	0.031061
511.00	0.030455
512.00	0.029849
513.00	0.029243
514.00	0.028637
515.00	0.027684
516.00	0.026696
517.00	0.025708
518.00	0.024720
519.00	0.023732
520.00	0.022744
521.00	0.021756
522.00	0.020768
523.00	0.019781
524.00	0.019039
525.00	0.018298
526.00	0.017557
527.00	0.016815
528.00	0.016074
529.00	0.015333
530.00	0.014592
531.00	0.013850
532.00	0.012950
533.00	0.011979
534.00	0.011007
535.00	0.010035
536.00	0.0090635
537.00	0.0080918
538.00	0.0072964
539.00	0.0068283
540.00	0.0063601
541.00	0.0058920
542.00	0.0054239
543.00	0.0049557
544.00	0.0044876
545.00	0.0040195
546.00	0.0039014
547.00	0.0038550
548.00	0.0038086
549.00	0.0037622
550.00	0.0037158
551.00	0.0036694
552.00	0.0036230
553.00	0.0035766
554.00	0.0034734
555.00	0.0033646
556.00	0.0032557
557.00	0.0031469
558.00	0.0030381
559.00	0.0029293
560.00	0.0028205
561.00	0.0027116
562.00	0.0026899
563.00	0.0026899
