Wavelength (nm)	FL046 [8] 87241-80-3, 8-phenylflavanone [D]
220.00	50491
221.00	50326
222.00	50369
223.00	50545
224.00	50721
225.00	50566
226.00	50187
227.00	49807
228.00	48440
229.00	47069
230.00	45738
231.00	44981
232.00	44459
233.00	44459
234.00	44459
235.00	44891
236.00	45399
237.00	45907
238.00	46461
239.00	47044
240.00	47627
241.00	48176
242.00	48720
243.00	49263
244.00	49807
245.00	50193
246.00	50578
247.00	50925
248.00	51152
249.00	51300
250.00	51138
251.00	50876
252.00	50347
253.00	49487
254.00	48628
255.00	47741
256.00	46333
257.00	44925
258.00	43516
259.00	42115
260.00	40761
261.00	39406
262.00	38052
263.00	36724
264.00	35436
265.00	34148
266.00	32860
267.00	31573
268.00	30285
269.00	29156
270.00	28026
271.00	26897
272.00	25768
273.00	24715
274.00	23848
275.00	22981
276.00	22114
277.00	21247
278.00	20380
279.00	19643
280.00	18961
281.00	18280
282.00	17598
283.00	16947
284.00	16426
285.00	15905
286.00	15384
287.00	14862
288.00	14404
289.00	14046
290.00	13689
291.00	13331
292.00	13016
293.00	12823
294.00	12629
295.00	12450
296.00	12376
297.00	12303
298.00	12230
299.00	12233
300.00	12271
301.00	12309
302.00	12350
303.00	12447
304.00	12543
305.00	12640
306.00	12817
307.00	13014
308.00	13210
309.00	13407
310.00	13610
311.00	13814
312.00	14019
313.00	14223
314.00	14433
315.00	14648
316.00	14863
317.00	15078
318.00	15194
319.00	15311
320.00	15427
321.00	15533
322.00	15564
323.00	15595
324.00	15626
325.00	15619
326.00	15594
327.00	15569
328.00	15660
329.00	15772
330.00	15885
331.00	16100
332.00	16317
333.00	16533
334.00	16731
335.00	16923
336.00	17114
337.00	17305
338.00	17579
339.00	17859
340.00	18138
341.00	18418
342.00	18698
343.00	18979
344.00	19300
345.00	19620
346.00	19941
347.00	20261
348.00	20582
349.00	20836
350.00	21091
351.00	21345
352.00	21505
353.00	21665
354.00	21764
355.00	21786
356.00	21667
357.00	21440
358.00	21199
359.00	20792
360.00	20385
361.00	19978
362.00	19571
363.00	19102
364.00	18627
365.00	18152
366.00	17676
367.00	17201
368.00	16700
369.00	16175
370.00	15650
371.00	15125
372.00	14592
373.00	14055
374.00	13519
375.00	12983
376.00	12446
377.00	11929
378.00	11411
379.00	10894
380.00	10377
381.00	9859.3
382.00	9331.3
383.00	8803.4
384.00	8275.5
385.00	7747.6
386.00	7229.1
387.00	6774.2
388.00	6319.3
389.00	5864.4
390.00	5474.1
391.00	5107.5
392.00	4741.0
393.00	4402.6
394.00	4093.4
395.00	3784.3
396.00	3497.0
397.00	3227.5
398.00	3028.4
399.00	2839.0
400.00	2649.5
