Wavelength (nm)	T10 abs e
350.00	8343.1
351.00	8281.1
352.00	8147.5
353.00	8042.7
354.00	7976.1
355.00	8101.3
356.00	8045.2
357.00	8014.3
358.00	8160.8
359.00	8032.8
360.00	8321.5
361.00	8624.1
362.00	8770.5
363.00	8982.1
364.00	9115.3
365.00	9411.1
366.00	9738.2
367.00	10197
368.00	10478
369.00	11001
370.00	11510
371.00	12052
372.00	12787
373.00	13658
374.00	14531
375.00	15588
376.00	16808
377.00	18216
378.00	19609
379.00	21153
380.00	22848
381.00	24697
382.00	26518
383.00	28377
384.00	29999
385.00	31644
386.00	33024
387.00	34033
388.00	34993
389.00	36029
390.00	36930
391.00	38069
392.00	39342
393.00	40853
394.00	42655
395.00	45194
396.00	48447
397.00	52631
398.00	57856
399.00	64452
400.00	72222
401.00	81221
402.00	91546
403.00	1.0334e+05
404.00	1.1696e+05
405.00	1.3112e+05
406.00	1.4382e+05
407.00	1.5393e+05
408.00	1.6034e+05
409.00	1.6200e+05
410.00	1.5859e+05
411.00	1.5095e+05
412.00	1.3959e+05
413.00	1.2595e+05
414.00	1.1119e+05
415.00	96923
416.00	81882
417.00	68757
418.00	57311
419.00	47201
420.00	38689
421.00	31683
422.00	26089
423.00	21582
424.00	18018
425.00	15267
426.00	13316
427.00	11909
428.00	10237
429.00	9016.1
430.00	7812.7
431.00	6902.2
432.00	6103.7
433.00	5450.5
434.00	4808.8
435.00	4446.1
436.00	3893.9
437.00	3715.7
438.00	3390.4
439.00	3196.8
440.00	3089.3
441.00	2883.6
442.00	2683.2
443.00	2493.1
444.00	2412.2
445.00	2297.5
446.00	2237.0
447.00	2100.4
448.00	2053.7
449.00	1962.9
450.00	1952.7
451.00	2101.8
452.00	1886.5
453.00	1881.6
454.00	1878.3
455.00	1825.2
456.00	1818.4
457.00	1936.1
458.00	1925.5
459.00	1937.0
460.00	1869.2
461.00	1898.3
462.00	1951.6
463.00	1953.0
464.00	1918.1
465.00	1868.3
466.00	1935.3
467.00	1892.1
468.00	2019.1
469.00	2049.9
470.00	2042.5
471.00	2038.8
472.00	1940.6
473.00	2002.3
474.00	1999.6
475.00	1977.3
476.00	2031.6
477.00	1949.9
478.00	1955.2
479.00	2056.8
480.00	2015.3
481.00	2032.6
482.00	2093.5
483.00	2086.6
484.00	2196.2
485.00	2307.4
486.00	2428.7
487.00	2434.9
488.00	2549.9
489.00	2700.5
490.00	2862.2
491.00	2957.6
492.00	3223.5
493.00	3302.9
494.00	3456.2
495.00	3587.4
496.00	3792.5
497.00	3939.8
498.00	4062.2
499.00	4072.1
500.00	4185.2
501.00	4174.6
502.00	4150.6
503.00	4164.4
504.00	4082.1
505.00	4126.8
506.00	3981.3
507.00	3952.8
508.00	3804.3
509.00	3723.6
510.00	3619.1
511.00	3485.9
512.00	3346.8
513.00	3250.5
514.00	3163.3
515.00	3122.2
516.00	3109.0
517.00	2868.7
518.00	2861.1
519.00	2827.8
520.00	2756.4
521.00	2749.7
522.00	2633.1
523.00	2600.0
524.00	2611.4
525.00	2526.2
526.00	2501.4
527.00	2488.8
528.00	2446.6
529.00	2320.8
530.00	2286.9
531.00	2221.4
532.00	2347.7
533.00	2242.1
534.00	2306.1
535.00	2320.9
536.00	2255.5
537.00	2281.5
538.00	2250.1
539.00	2247.8
540.00	2242.6
541.00	2268.7
542.00	2198.6
543.00	2267.6
544.00	2275.2
545.00	2372.9
546.00	2334.1
547.00	2436.3
548.00	2586.0
549.00	2691.5
550.00	2985.1
551.00	3161.0
552.00	3491.9
553.00	3807.1
554.00	4027.2
555.00	4267.9
556.00	4632.8
557.00	4916.8
558.00	5058.7
559.00	5272.6
560.00	5440.3
561.00	5561.0
562.00	5519.6
563.00	5480.5
564.00	5444.1
565.00	5549.3
566.00	5446.8
567.00	5438.5
568.00	5501.8
569.00	5439.9
570.00	5335.2
571.00	5190.2
572.00	5144.1
573.00	5050.0
574.00	4956.9
575.00	4925.5
576.00	4874.8
577.00	4771.4
578.00	4730.3
579.00	4733.0
580.00	4790.8
581.00	4802.1
582.00	4797.5
583.00	4819.6
584.00	4991.5
585.00	5231.9
586.00	5361.9
587.00	5577.0
588.00	5861.1
589.00	6134.4
590.00	6515.7
591.00	7020.0
592.00	7634.6
593.00	8358.1
594.00	9401.7
595.00	10607
596.00	12147
597.00	14143
598.00	16265
599.00	18676
600.00	21279
601.00	23784
602.00	25937
603.00	27470
604.00	28285
605.00	28052
606.00	27037
607.00	25546
608.00	23739
609.00	21836
610.00	19820
611.00	17849
612.00	15968
613.00	14204
614.00	12597
615.00	11164
616.00	9950.8
617.00	8834.3
618.00	8000.5
619.00	7395.4
620.00	6832.2
621.00	6242.0
622.00	5634.6
623.00	5213.5
624.00	4774.8
625.00	4312.8
626.00	3966.4
627.00	3682.8
628.00	3377.5
629.00	3088.3
630.00	2875.9
631.00	2703.7
632.00	2487.8
633.00	2215.1
634.00	2073.0
635.00	1944.9
636.00	1762.4
637.00	1636.9
638.00	1507.9
639.00	1409.4
640.00	1260.0
641.00	1187.6
642.00	1160.7
643.00	1009.2
644.00	1021.5
645.00	878.38
646.00	793.23
647.00	772.97
648.00	735.35
649.00	663.86
650.00	615.64
651.00	590.37
652.00	495.61
653.00	606.88
654.00	572.88
655.00	563.03
656.00	505.12
657.00	577.34
658.00	353.03
659.00	481.33
660.00	402.18
661.00	472.21
662.00	315.27
663.00	352.90
664.00	293.05
665.00	308.55
666.00	333.33
667.00	218.54
668.00	215.39
669.00	221.97
670.00	253.69
671.00	321.66
672.00	264.00
673.00	249.25
674.00	244.00
675.00	217.47
676.00	201.41
677.00	205.31
678.00	184.94
679.00	178.56
680.00	54.994
681.00	196.59
682.00	124.11
683.00	153.34
684.00	145.28
685.00	126.96
686.00	218.36
687.00	115.49
688.00	74.534
689.00	105.10
690.00	187.23
691.00	145.64
692.00	55.610
693.00	131.62
694.00	111.51
695.00	99.852
696.00	109.67
697.00	191.09
698.00	91.179
699.00	162.30
700.00	138.14
