Wavelength (nm)	CoproP I (in 1 N aqHCl).abs
300.00	0.016717
301.00	0.016980
302.00	0.017356
303.00	0.017676
304.00	0.018095
305.00	0.018435
306.00	0.018927
307.00	0.019284
308.00	0.019790
309.00	0.020379
310.00	0.020950
311.00	0.021491
312.00	0.022171
313.00	0.022738
314.00	0.023302
315.00	0.023967
316.00	0.024611
317.00	0.025226
318.00	0.025869
319.00	0.026474
320.00	0.027025
321.00	0.027675
322.00	0.028322
323.00	0.028990
324.00	0.029608
325.00	0.030271
326.00	0.030909
327.00	0.031504
328.00	0.032263
329.00	0.032881
330.00	0.033606
331.00	0.034286
332.00	0.034999
333.00	0.035715
334.00	0.036501
335.00	0.037238
336.00	0.038064
337.00	0.038814
338.00	0.039679
339.00	0.040586
340.00	0.041528
341.00	0.042511
342.00	0.043523
343.00	0.044606
344.00	0.045770
345.00	0.046941
346.00	0.048146
347.00	0.049532
348.00	0.050886
349.00	0.052371
350.00	0.053802
351.00	0.055165
352.00	0.056511
353.00	0.057875
354.00	0.059170
355.00	0.060693
356.00	0.062066
357.00	0.063680
358.00	0.065371
359.00	0.067264
360.00	0.069263
361.00	0.071302
362.00	0.073321
363.00	0.075307
364.00	0.077302
365.00	0.079427
366.00	0.081568
367.00	0.083705
368.00	0.086013
369.00	0.088383
370.00	0.090927
371.00	0.093970
372.00	0.097689
373.00	0.10204
374.00	0.10772
375.00	0.11446
376.00	0.12231
377.00	0.13133
378.00	0.14111
379.00	0.15139
380.00	0.16103
381.00	0.17032
382.00	0.17899
383.00	0.18706
384.00	0.19545
385.00	0.20492
386.00	0.21584
387.00	0.22789
388.00	0.24084
389.00	0.25416
390.00	0.26991
391.00	0.28852
392.00	0.31379
393.00	0.34873
394.00	0.39591
395.00	0.46067
396.00	0.54428
397.00	0.64906
398.00	0.76477
399.00	0.87295
400.00	0.95670
401.00	1.0000
402.00	0.98932
403.00	0.93182
404.00	0.83528
405.00	0.71556
406.00	0.59475
407.00	0.47729
408.00	0.37250
409.00	0.28555
410.00	0.21718
411.00	0.16264
412.00	0.12069
413.00	0.089378
414.00	0.067231
415.00	0.050407
416.00	0.038340
417.00	0.029531
418.00	0.023076
419.00	0.018460
420.00	0.014877
421.00	0.012225
422.00	0.010288
423.00	0.0088841
424.00	0.0077338
425.00	0.0067516
426.00	0.0060468
427.00	0.0055192
428.00	0.0049473
429.00	0.0048067
430.00	0.0043062
431.00	0.0041173
432.00	0.0040186
433.00	0.0038981
434.00	0.0035914
435.00	0.0036756
