Wavelength (nm)	FL087 [11] 3468-01-7, 3-Methylflavone-8-carboxylic Acid [C]
210.00	33024
211.00	31864
212.00	30708
213.00	29275
214.00	27560
215.00	25881
216.00	24399
217.00	22928
218.00	21368
219.00	19833
220.00	18603
221.00	17632
222.00	16878
223.00	16304
224.00	15837
225.00	15486
226.00	15209
227.00	15042
228.00	14938
229.00	14886
230.00	14913
231.00	14991
232.00	15150
233.00	15380
234.00	15671
235.00	15985
236.00	16320
237.00	16668
238.00	16995
239.00	17289
240.00	17542
241.00	17729
242.00	17839
243.00	17860
244.00	17782
245.00	17589
246.00	17296
247.00	16919
248.00	16455
249.00	15901
250.00	15280
251.00	14581
252.00	13819
253.00	13004
254.00	12135
255.00	11245
256.00	10325
257.00	9428.8
258.00	8597.2
259.00	7848.6
260.00	7215.5
261.00	6716.9
262.00	6374.8
263.00	6118.5
264.00	5992.0
265.00	5992.3
266.00	6070.7
267.00	6226.3
268.00	6504.8
269.00	6811.4
270.00	7081.3
271.00	7382.3
272.00	7727.9
273.00	8115.3
274.00	8507.2
275.00	8913.8
276.00	9313.2
277.00	9727.6
278.00	10138
279.00	10535
280.00	10929
281.00	11305
282.00	11669
283.00	11995
284.00	12298
285.00	12574
286.00	12821
287.00	13014
288.00	13148
289.00	13247
290.00	13296
291.00	13283
292.00	13233
293.00	13138
294.00	12999
295.00	12870
296.00	12689
297.00	12527
298.00	12348
299.00	12203
300.00	12075
301.00	11963
302.00	11913
303.00	11877
304.00	11895
305.00	11943
306.00	12017
307.00	12114
308.00	12244
309.00	12366
310.00	12482
311.00	12595
312.00	12695
313.00	12757
314.00	12790
315.00	12800
316.00	12775
317.00	12743
318.00	12681
319.00	12569
320.00	12439
321.00	12249
322.00	12003
323.00	11668
324.00	11270
325.00	10770
326.00	10215
327.00	9576.5
328.00	8865.5
329.00	8142.5
330.00	7387.6
331.00	6640.7
332.00	5891.7
333.00	5191.6
334.00	4526.1
335.00	3917.1
336.00	3339.4
337.00	2842.5
338.00	2392.3
339.00	2000.1
340.00	1655.5
341.00	1368.2
342.00	1122.0
343.00	923.87
344.00	752.27
345.00	618.16
346.00	499.32
347.00	412.85
348.00	336.72
349.00	280.30
350.00	236.30
351.00	205.06
352.00	167.85
353.00	148.94
354.00	124.57
355.00	113.96
356.00	105.51
357.00	95.239
358.00	81.418
359.00	83.225
360.00	78.942
361.00	64.271
362.00	63.163
363.00	56.252
364.00	54.141
365.00	59.153
366.00	54.126
367.00	54.384
368.00	53.913
369.00	43.388
370.00	44.664
371.00	44.452
372.00	52.258
373.00	43.343
374.00	46.016
375.00	39.288
376.00	43.312
377.00	31.618
378.00	40.336
379.00	34.640
380.00	48.977
381.00	42.963
382.00	33.942
383.00	35.035
384.00	34.306
385.00	39.941
386.00	44.649
387.00	32.818
388.00	33.927
389.00	30.585
390.00	25.710
391.00	40.138
392.00	30.707
393.00	30.661
394.00	34.063
395.00	29.765
396.00	22.900
397.00	27.335
398.00	28.960
399.00	33.592
400.00	29.750
401.00	31.208
402.00	21.427
403.00	17.372
404.00	27.472
405.00	31.967
406.00	26.287
407.00	18.451
408.00	29.006
409.00	30.373
410.00	26.105
411.00	30.312
412.00	29.902
413.00	22.445
414.00	27.411
415.00	26.743
416.00	21.579
417.00	18.223
418.00	24.283
419.00	26.819
420.00	26.697
421.00	28.489
422.00	23.128
423.00	22.733
424.00	22.597
425.00	24.176
426.00	27.047
427.00	23.295
428.00	20.288
429.00	27.791
430.00	29.021
431.00	22.673
432.00	28.748
433.00	27.138
434.00	25.163
435.00	19.331
436.00	25.103
437.00	29.887
438.00	30.160
439.00	28.095
440.00	33.532
441.00	29.249
442.00	27.487
443.00	23.037
444.00	23.219
445.00	21.640
446.00	24.222
447.00	26.029
448.00	22.931
449.00	22.642
450.00	25.741
451.00	24.829
452.00	25.437
453.00	20.045
454.00	21.731
455.00	22.916
456.00	30.965
457.00	38.969
458.00	40.807
459.00	26.333
460.00	16.203
461.00	27.533
462.00	32.620
463.00	33.820
464.00	26.986
465.00	28.550
466.00	20.820
467.00	26.075
468.00	40.138
469.00	37.572
470.00	27.047
471.00	31.390
472.00	21.746
473.00	33.896
474.00	37.511
475.00	29.735
476.00	20.212
477.00	35.749
478.00	17.752
479.00	30.555
480.00	29.416
481.00	27.062
482.00	24.632
483.00	28.277
484.00	4.5084
485.00	18.724
486.00	18.405
487.00	16.871
488.00	27.517
489.00	35.673
490.00	28.140
491.00	38.878
492.00	34.078
493.00	26.302
494.00	35.126
495.00	43.115
496.00	18.739
497.00	30.494
498.00	24.176
499.00	28.079
500.00	35.764
