Wavelength (nm)	B12 abs e
205.00	8822.0
206.00	8675.9
207.00	8577.7
208.00	8541.8
209.00	8542.3
210.00	8550.0
211.00	8600.3
212.00	8672.9
213.00	8760.3
214.00	8874.3
215.00	9005.0
216.00	9130.2
217.00	9266.1
218.00	9390.9
219.00	9513.9
220.00	9623.5
221.00	9715.3
222.00	9770.7
223.00	9800.0
224.00	9799.3
225.00	9764.1
226.00	9691.2
227.00	9615.6
228.00	9522.5
229.00	9441.6
230.00	9351.8
231.00	9280.1
232.00	9197.0
233.00	9119.3
234.00	9029.1
235.00	8942.4
236.00	8831.0
237.00	8682.2
238.00	8499.7
239.00	8293.5
240.00	8036.6
241.00	7749.8
242.00	7440.3
243.00	7097.4
244.00	6745.4
245.00	6400.0
246.00	6044.4
247.00	5695.8
248.00	5356.5
249.00	5040.0
250.00	4738.6
251.00	4468.6
252.00	4231.3
253.00	4017.2
254.00	3830.8
255.00	3668.4
256.00	3529.3
257.00	3409.0
258.00	3306.0
259.00	3219.3
260.00	3134.1
261.00	3065.3
262.00	3005.6
263.00	2951.5
264.00	2902.8
265.00	2857.3
266.00	2813.9
267.00	2769.8
268.00	2728.5
269.00	2686.2
270.00	2653.6
271.00	2624.4
272.00	2597.0
273.00	2567.0
274.00	2537.8
275.00	2509.1
276.00	2477.3
277.00	2446.5
278.00	2419.4
279.00	2390.5
280.00	2362.1
281.00	2335.2
282.00	2305.9
283.00	2276.7
284.00	2249.1
285.00	2217.6
286.00	2189.0
287.00	2157.5
288.00	2124.0
289.00	2090.8
290.00	2056.1
291.00	2023.2
292.00	1984.6
293.00	1951.2
294.00	1917.7
295.00	1878.9
296.00	1846.2
297.00	1810.8
298.00	1775.4
299.00	1740.3
300.00	1704.6
301.00	1670.5
302.00	1631.7
303.00	1593.4
304.00	1551.1
305.00	1508.5
306.00	1464.4
307.00	1418.4
308.00	1370.3
309.00	1322.2
310.00	1270.1
311.00	1220.7
312.00	1171.8
313.00	1121.6
314.00	1078.1
315.00	1036.5
316.00	996.39
317.00	960.85
318.00	919.19
319.00	879.14
320.00	838.49
321.00	795.17
322.00	754.98
323.00	714.50
324.00	675.31
325.00	631.47
326.00	594.15
327.00	560.69
328.00	528.29
329.00	503.82
330.00	480.89
331.00	464.05
332.00	449.25
333.00	431.50
334.00	405.74
335.00	375.52
336.00	344.38
337.00	311.79
338.00	282.51
339.00	252.09
340.00	230.20
341.00	208.19
342.00	188.69
343.00	171.18
344.00	154.49
345.00	139.06
346.00	127.40
347.00	115.31
348.00	107.84
349.00	99.775
350.00	91.559
351.00	84.277
352.00	73.837
353.00	69.372
354.00	66.389
355.00	61.330
356.00	56.985
357.00	51.673
358.00	48.358
359.00	45.965
360.00	44.948
361.00	41.380
362.00	37.145
363.00	35.230
364.00	31.838
365.00	27.865
366.00	29.444
367.00	28.878
368.00	28.091
369.00	26.636
370.00	22.397
371.00	20.468
372.00	20.325
373.00	19.824
374.00	21.334
375.00	20.537
376.00	18.562
377.00	20.450
378.00	16.463
379.00	15.778
380.00	18.167
381.00	18.834
382.00	13.743
383.00	12.855
384.00	15.833
385.00	14.383
386.00	10.134
387.00	11.892
388.00	13.389
389.00	11.787
390.00	8.1686
391.00	7.6438
392.00	10.194
393.00	10.709
394.00	9.9454
395.00	6.5943
396.00	5.6921
397.00	4.7576
398.00	7.1283
399.00	7.7911
400.00	6.6587
