Wavelength (nm)	FL023 [8] 487-26-3, Flavanone [C]
210.00	27078
211.00	27956
212.00	28603
213.00	29144
214.00	29443
215.00	29064
216.00	28202
217.00	26832
218.00	25066
219.00	23141
220.00	20986
221.00	18673
222.00	16133
223.00	13583
224.00	11145
225.00	9060.5
226.00	7462.8
227.00	6291.1
228.00	5500.7
229.00	4979.6
230.00	4643.8
231.00	4437.0
232.00	4324.1
233.00	4288.5
234.00	4325.0
235.00	4422.3
236.00	4580.8
237.00	4788.7
238.00	5036.3
239.00	5316.1
240.00	5631.8
241.00	5973.2
242.00	6341.4
243.00	6736.2
244.00	7131.4
245.00	7511.6
246.00	7832.9
247.00	8076.5
248.00	8249.4
249.00	8376.7
250.00	8465.7
251.00	8500.0
252.00	8460.6
253.00	8333.2
254.00	8102.8
255.00	7749.8
256.00	7289.8
257.00	6730.7
258.00	6106.2
259.00	5484.0
260.00	4908.4
261.00	4357.7
262.00	3807.7
263.00	3269.8
264.00	2732.2
265.00	2238.8
266.00	1839.1
267.00	1515.7
268.00	1226.2
269.00	997.41
270.00	834.60
271.00	716.26
272.00	637.84
273.00	588.24
274.00	558.03
275.00	541.15
276.00	538.89
277.00	548.05
278.00	563.01
279.00	581.58
280.00	604.45
281.00	637.15
282.00	673.35
283.00	714.45
284.00	759.66
285.00	808.17
286.00	860.73
287.00	915.35
288.00	973.34
289.00	1040.1
290.00	1108.9
291.00	1182.3
292.00	1256.4
293.00	1338.5
294.00	1417.6
295.00	1510.7
296.00	1599.6
297.00	1691.7
298.00	1783.5
299.00	1879.1
300.00	1978.0
301.00	2073.7
302.00	2187.7
303.00	2292.7
304.00	2396.0
305.00	2502.4
306.00	2602.0
307.00	2700.1
308.00	2800.9
309.00	2885.4
310.00	2971.8
311.00	3051.7
312.00	3113.7
313.00	3158.9
314.00	3209.3
315.00	3248.7
316.00	3279.8
317.00	3298.9
318.00	3309.5
319.00	3314.4
320.00	3305.0
321.00	3283.0
322.00	3251.6
323.00	3205.9
324.00	3142.7
325.00	3062.6
326.00	2962.0
327.00	2852.0
328.00	2724.9
329.00	2589.4
330.00	2455.0
331.00	2312.9
332.00	2170.0
333.00	2032.5
334.00	1900.7
335.00	1771.6
336.00	1648.8
337.00	1531.7
338.00	1423.9
339.00	1318.7
340.00	1215.9
341.00	1113.6
342.00	1021.6
343.00	931.88
344.00	845.94
345.00	760.81
346.00	681.71
347.00	605.54
348.00	538.47
349.00	476.23
350.00	422.42
351.00	376.58
352.00	339.08
353.00	300.00
354.00	266.14
355.00	251.55
356.00	237.88
357.00	236.85
358.00	222.08
359.00	211.83
360.00	200.30
361.00	182.74
362.00	172.28
363.00	170.83
364.00	164.36
365.00	159.90
366.00	158.96
367.00	157.41
368.00	152.00
369.00	140.47
370.00	136.31
371.00	138.22
372.00	130.38
373.00	125.90
374.00	128.78
375.00	126.12
376.00	127.96
377.00	120.59
378.00	120.18
379.00	120.30
380.00	118.88
381.00	110.81
382.00	115.72
383.00	109.73
384.00	110.56
385.00	103.98
386.00	96.765
387.00	99.608
388.00	99.465
389.00	96.452
390.00	85.434
391.00	90.454
392.00	85.369
393.00	97.104
394.00	87.638
395.00	83.960
396.00	78.614
397.00	75.941
398.00	76.085
399.00	84.756
400.00	77.884
401.00	66.644
402.00	69.421
403.00	73.112
404.00	64.597
405.00	70.386
406.00	78.797
407.00	64.779
408.00	60.176
409.00	65.588
410.00	64.166
411.00	57.451
412.00	57.855
413.00	64.492
414.00	60.750
415.00	60.737
416.00	62.315
417.00	61.650
418.00	57.673
419.00	53.552
420.00	47.019
421.00	58.429
422.00	65.301
423.00	62.823
424.00	68.378
425.00	66.866
426.00	52.913
427.00	48.271
428.00	54.895
429.00	46.680
430.00	59.068
431.00	78.419
432.00	54.191
433.00	45.376
434.00	61.011
435.00	55.691
436.00	59.094
437.00	56.317
438.00	49.627
439.00	61.467
440.00	49.875
441.00	57.881
442.00	67.100
443.00	50.775
444.00	58.742
445.00	60.646
446.00	63.906
447.00	68.000
448.00	60.880
449.00	62.184
450.00	64.179
451.00	64.245
452.00	62.615
453.00	63.293
454.00	52.613
455.00	51.896
456.00	53.096
457.00	36.692
458.00	50.814
459.00	53.578
460.00	45.455
461.00	56.108
462.00	49.562
463.00	42.182
464.00	44.568
465.00	56.656
466.00	72.473
467.00	53.148
468.00	51.583
469.00	54.048
470.00	39.235
471.00	33.810
472.00	42.573
473.00	50.970
474.00	42.768
475.00	43.629
476.00	47.358
477.00	34.645
478.00	40.930
479.00	39.900
480.00	37.866
481.00	42.312
482.00	41.947
483.00	39.704
484.00	49.555
485.00	38.555
486.00	47.821
487.00	28.001
488.00	44.594
489.00	33.628
490.00	48.610
491.00	43.786
492.00	40.265
493.00	24.239
494.00	26.208
495.00	30.563
496.00	35.492
497.00	29.194
498.00	27.082
499.00	38.661
500.00	
