Wavelength (nm)	23, (Z)-Bos-DPxB, ZBOSDPXB
321.00	0.11048
322.00	0.10691
323.00	0.10365
324.00	0.10040
325.00	0.097122
326.00	0.093844
327.00	0.090816
328.00	0.087787
329.00	0.084603
330.00	0.081418
331.00	0.079410
332.00	0.077402
333.00	0.075484
334.00	0.073565
335.00	0.071455
336.00	0.069345
337.00	0.068227
338.00	0.067109
339.00	0.066346
340.00	0.065583
341.00	0.065857
342.00	0.066132
343.00	0.067244
344.00	0.068356
345.00	0.069447
346.00	0.070539
347.00	0.072453
348.00	0.074367
349.00	0.076440
350.00	0.078512
351.00	0.081755
352.00	0.084998
353.00	0.088660
354.00	0.092323
355.00	0.096414
356.00	0.10050
357.00	0.10553
358.00	0.11057
359.00	0.11574
360.00	0.12092
361.00	0.12731
362.00	0.13370
363.00	0.14110
364.00	0.14850
365.00	0.15651
366.00	0.16451
367.00	0.17322
368.00	0.18193
369.00	0.19082
370.00	0.19970
371.00	0.20960
372.00	0.21951
373.00	0.23063
374.00	0.24176
375.00	0.25273
376.00	0.26370
377.00	0.27610
378.00	0.28850
379.00	0.30085
380.00	0.31320
381.00	0.32680
382.00	0.34039
383.00	0.35467
384.00	0.36895
385.00	0.38376
386.00	0.39857
387.00	0.41386
388.00	0.42916
389.00	0.44541
390.00	0.46166
391.00	0.47833
392.00	0.49501
393.00	0.51187
394.00	0.52874
395.00	0.54598
396.00	0.56323
397.00	0.58128
398.00	0.59932
399.00	0.61615
400.00	0.63299
401.00	0.65096
402.00	0.66892
403.00	0.68766
404.00	0.70639
405.00	0.72323
406.00	0.74007
407.00	0.75635
408.00	0.77264
409.00	0.78951
410.00	0.80638
411.00	0.82250
412.00	0.83862
413.00	0.85304
414.00	0.86746
415.00	0.88069
416.00	0.89391
417.00	0.90640
418.00	0.91888
419.00	0.93028
420.00	0.94167
421.00	0.95146
422.00	0.96126
423.00	0.96854
424.00	0.97583
425.00	0.98224
426.00	0.98865
427.00	0.99238
428.00	0.99611
429.00	0.99805
430.00	1.00000
431.00	0.99987
432.00	0.99974
433.00	0.99712
434.00	0.99450
435.00	0.98886
436.00	0.98323
437.00	0.97525
438.00	0.96727
439.00	0.95555
440.00	0.94384
441.00	0.93157
442.00	0.91930
443.00	0.90443
444.00	0.88956
445.00	0.87279
446.00	0.85603
447.00	0.83673
448.00	0.81743
449.00	0.79655
450.00	0.77567
451.00	0.75377
452.00	0.73188
453.00	0.70783
454.00	0.68378
455.00	0.65900
456.00	0.63421
457.00	0.60870
458.00	0.58320
459.00	0.56017
460.00	0.53714
461.00	0.51311
462.00	0.48907
463.00	0.46311
464.00	0.43715
465.00	0.41575
466.00	0.39434
467.00	0.37439
468.00	0.35444
469.00	0.33464
470.00	0.31484
471.00	0.29315
472.00	0.27146
473.00	0.25298
474.00	0.23449
475.00	0.21857
476.00	0.20265
477.00	0.18871
478.00	0.17477
479.00	0.16141
480.00	0.14805
481.00	0.13644
482.00	0.12483
483.00	0.10975
484.00	0.094668
485.00	0.087648
486.00	0.080628
487.00	0.076802
488.00	0.072975
489.00	0.067356
490.00	0.061738
491.00	0.056389
492.00	0.051041
493.00	0.045778
494.00	0.040515
495.00	0.036507
496.00	0.032499
497.00	0.029165
498.00	0.025831
499.00	0.023488
500.00	0.021146
501.00	0.019254
502.00	0.017363
503.00	0.015901
504.00	0.014440
505.00	0.013471
506.00	0.012503
507.00	0.011935
508.00	0.011368
509.00	0.010507
510.00	0.0096467
511.00	0.0091790
512.00	0.0087113
513.00	0.0086697
514.00	0.0086281
515.00	0.0082789
516.00	0.0079297
517.00	0.0080295
518.00	0.0081293
519.00	0.0078736
520.00	0.0076179
521.00	0.0079339
522.00	0.0082498
523.00	0.0080295
524.00	0.0078092
525.00	0.0077447
526.00	0.0076803
527.00	0.0074994
528.00	0.0073186
529.00	0.0074059
530.00	0.0074932
531.00	0.0073248
532.00	0.0071565
533.00	0.0066888
534.00	0.0062211
535.00	0.0063395
536.00	0.0064580
537.00	0.0063915
538.00	0.0063250
539.00	0.0063188
540.00	0.0063125
541.00	0.0062772
542.00	0.0062419
543.00	0.0063146
544.00	0.0063874
545.00	0.0061733
546.00	0.0059592
547.00	0.0062419
548.00	0.0065245
549.00	0.0066306
550.00	0.0067366
551.00	0.0066035
552.00	0.0064705
553.00	0.0064954
554.00	0.0065204
555.00	0.0066368
556.00	0.0067532
557.00	0.0069694
558.00	0.0071856
559.00	0.0070068
560.00	0.0068280
561.00	0.0069403
562.00	0.0070525
563.00	0.0070525
564.00	0.0070525
565.00	0.0066908
566.00	0.0063292
567.00	0.0050404
568.00	0.0037516
569.00	0.0025273
570.00	0.0021748
571.00	0.0013953
572.00	0.0020232
