Wavelength (nm)	A35 abs e
210.00	13497
211.00	12549
212.00	11843
213.00	11451
214.00	11315
215.00	11384
216.00	11619
217.00	11949
218.00	12355
219.00	12777
220.00	13179
221.00	13536
222.00	13826
223.00	14074
224.00	14276
225.00	14391
226.00	14386
227.00	14216
228.00	13841
229.00	13332
230.00	12792
231.00	12364
232.00	12030
233.00	11626
234.00	10993
235.00	10054
236.00	8973.6
237.00	7909.8
238.00	7063.8
239.00	6518.0
240.00	6223.1
241.00	6125.3
242.00	6153.4
243.00	6258.0
244.00	6413.9
245.00	6597.9
246.00	6804.7
247.00	7027.9
248.00	7272.5
249.00	7538.8
250.00	7828.6
251.00	8130.6
252.00	8433.2
253.00	8737.2
254.00	9024.9
255.00	9303.0
256.00	9573.9
257.00	9849.5
258.00	10143
259.00	10460
260.00	10800
261.00	11140
262.00	11481
263.00	11803
264.00	12121
265.00	12432
266.00	12750
267.00	13101
268.00	13492
269.00	13947
270.00	14434
271.00	14940
272.00	15460
273.00	15997
274.00	16531
275.00	17036
276.00	17562
277.00	18128
278.00	18727
279.00	19362
280.00	20002
281.00	20662
282.00	21345
283.00	22001
284.00	22655
285.00	23319
286.00	23951
287.00	24513
288.00	25062
289.00	25553
290.00	26025
291.00	26414
292.00	26753
293.00	27037
294.00	27297
295.00	27534
296.00	27714
297.00	27811
298.00	27907
299.00	27947
300.00	27961
301.00	27986
302.00	28000
303.00	27960
304.00	27893
305.00	27728
306.00	27512
307.00	27274
308.00	26922
309.00	26442
310.00	25902
311.00	25180
312.00	24343
313.00	23409
314.00	22401
315.00	21354
316.00	20333
317.00	19343
318.00	18420
319.00	17563
320.00	16718
321.00	15882
322.00	14975
323.00	13944
324.00	12781
325.00	11472
326.00	9990.5
327.00	8484.0
328.00	6962.0
329.00	5564.8
330.00	4306.7
331.00	3275.9
332.00	2448.4
333.00	1823.9
334.00	1366.5
335.00	1049.2
336.00	827.97
337.00	679.08
338.00	581.38
339.00	518.40
340.00	474.17
341.00	442.12
342.00	426.40
343.00	410.00
344.00	399.74
345.00	393.72
346.00	388.03
347.00	389.19
348.00	382.81
349.00	385.28
350.00	382.86
351.00	387.47
352.00	387.45
353.00	388.06
354.00	390.40
355.00	390.87
356.00	389.86
357.00	392.55
358.00	384.40
359.00	385.51
360.00	386.83
361.00	388.39
362.00	389.73
363.00	386.24
364.00	384.95
365.00	382.54
366.00	378.07
367.00	375.29
368.00	368.05
369.00	364.99
370.00	355.50
371.00	356.95
372.00	344.42
373.00	348.41
374.00	340.48
375.00	339.18
376.00	330.13
377.00	336.40
378.00	328.34
379.00	320.52
380.00	317.04
381.00	309.54
382.00	302.08
383.00	298.36
384.00	287.68
385.00	277.18
386.00	261.23
387.00	252.11
388.00	246.23
389.00	229.05
390.00	234.80
391.00	229.28
392.00	223.00
393.00	215.08
394.00	207.92
395.00	200.10
396.00	199.71
397.00	200.72
398.00	189.75
399.00	180.19
400.00	174.64
401.00	172.09
402.00	162.11
403.00	147.50
404.00	143.02
405.00	131.63
406.00	121.24
407.00	111.29
408.00	104.53
409.00	96.652
410.00	92.623
411.00	91.225
412.00	86.739
413.00	82.487
414.00	84.025
415.00	78.047
416.00	76.872
417.00	73.360
418.00	71.645
419.00	71.199
420.00	64.246
421.00	60.170
422.00	60.158
423.00	55.953
424.00	49.751
425.00	47.226
426.00	44.325
427.00	38.534
428.00	40.190
429.00	33.037
430.00	30.582
431.00	26.718
432.00	26.131
433.00	29.020
434.00	26.131
435.00	27.681
436.00	24.945
437.00	25.309
438.00	27.446
439.00	26.659
440.00	24.851
441.00	24.745
442.00	29.561
443.00	25.426
444.00	27.035
445.00	29.443
446.00	22.126
447.00	25.285
448.00	27.305
449.00	26.389
450.00	27.810
