Wavelength (nm)	FL129 [12] 301-19-9, Robinin [D]
220.00	20786
221.00	20600
222.00	20414
223.00	20255
224.00	20108
225.00	19961
226.00	19850
227.00	19771
228.00	19688
229.00	19568
230.00	19448
231.00	19260
232.00	19055
233.00	18814
234.00	18572
235.00	18302
236.00	18028
237.00	17817
238.00	17728
239.00	17775
240.00	17890
241.00	18050
242.00	18278
243.00	18519
244.00	18757
245.00	18869
246.00	18941
247.00	18960
248.00	18992
249.00	19057
250.00	19154
251.00	19301
252.00	19459
253.00	19690
254.00	19920
255.00	20207
256.00	20513
257.00	20888
258.00	21284
259.00	21698
260.00	22132
261.00	22565
262.00	22980
263.00	23394
264.00	23792
265.00	24163
266.00	24300
267.00	24231
268.00	24053
269.00	23655
270.00	22735
271.00	21750
272.00	20571
273.00	19202
274.00	17529
275.00	15450
276.00	13704
277.00	12730
278.00	12086
279.00	11560
280.00	11243
281.00	10978
282.00	10805
283.00	10646
284.00	10542
285.00	10446
286.00	10418
287.00	10469
288.00	10567
289.00	10635
290.00	10651
291.00	10619
292.00	10577
293.00	10522
294.00	10467
295.00	10428
296.00	10397
297.00	10366
298.00	10361
299.00	10357
300.00	10353
301.00	10394
302.00	10447
303.00	10500
304.00	10607
305.00	10719
306.00	10867
307.00	11058
308.00	11249
309.00	11440
310.00	11693
311.00	11969
312.00	12246
313.00	12540
314.00	12848
315.00	13156
316.00	13464
317.00	13748
318.00	14021
319.00	14295
320.00	14569
321.00	14842
322.00	15116
323.00	15342
324.00	15564
325.00	15785
326.00	16006
327.00	16228
328.00	16449
329.00	16670
330.00	16891
331.00	17113
332.00	17336
333.00	17561
334.00	17785
335.00	18010
336.00	18234
337.00	18459
338.00	18683
339.00	18908
340.00	19132
341.00	19355
342.00	19549
343.00	19742
344.00	19935
345.00	20114
346.00	20286
347.00	20457
348.00	20628
349.00	20799
350.00	20909
351.00	21019
352.00	21053
353.00	21088
354.00	21060
355.00	21033
356.00	20885
357.00	20738
358.00	20534
359.00	20330
360.00	20127
361.00	19804
362.00	19481
363.00	19137
364.00	18770
365.00	18402
366.00	17919
367.00	17408
368.00	16897
369.00	16341
370.00	15748
371.00	15155
372.00	14562
373.00	13969
374.00	13408
375.00	12851
376.00	12293
377.00	11736
378.00	11178
379.00	10623
380.00	10110
381.00	9597.1
382.00	9084.1
383.00	8571.0
384.00	8057.9
385.00	7551.6
386.00	7072.4
387.00	6593.1
388.00	6113.9
389.00	5634.6
390.00	5165.2
391.00	4761.4
392.00	4357.6
393.00	3953.8
394.00	3587.9
395.00	3281.4
396.00	2974.8
397.00	2698.3
398.00	2492.0
399.00	2285.6
400.00	2081.9
401.00	1940.7
402.00	1799.4
403.00	1658.2
404.00	1517.0
405.00	1430.9
406.00	1353.9
407.00	1276.8
408.00	1199.8
409.00	1124.6
410.00	1085.9
411.00	1047.2
412.00	1008.5
413.00	969.80
414.00	931.10
415.00	893.01
416.00	884.82
417.00	876.63
418.00	868.44
419.00	860.25
420.00	852.06
