Wavelength (nm)	FL169 [14] 1232-43-5, Pinnatin [D]
218.00	25990
219.00	24666
220.00	23420
221.00	22194
222.00	21076
223.00	19961
224.00	18833
225.00	17529
226.00	16238
227.00	15023
228.00	13924
229.00	12815
230.00	11811
231.00	10934
232.00	10337
233.00	10040
234.00	9995.3
235.00	10066
236.00	10264
237.00	10664
238.00	11184
239.00	11765
240.00	12576
241.00	13425
242.00	14365
243.00	15442
244.00	16652
245.00	17786
246.00	18907
247.00	19928
248.00	20941
249.00	21950
250.00	22959
251.00	23912
252.00	24845
253.00	25750
254.00	26552
255.00	27353
256.00	28085
257.00	28793
258.00	29470
259.00	30068
260.00	30665
261.00	31153
262.00	31530
263.00	31907
264.00	32219
265.00	32497
266.00	32774
267.00	32912
268.00	33006
269.00	33100
270.00	33015
271.00	32930
272.00	32845
273.00	32502
274.00	32148
275.00	31655
276.00	31128
277.00	30480
278.00	29690
279.00	28906
280.00	28129
281.00	27352
282.00	26541
283.00	25705
284.00	24881
285.00	24116
286.00	23352
287.00	22561
288.00	21765
289.00	20970
290.00	20236
291.00	19503
292.00	18770
293.00	18055
294.00	17344
295.00	16746
296.00	16186
297.00	15751
298.00	15377
299.00	15082
300.00	14967
301.00	14958
302.00	15073
303.00	15223
304.00	15347
305.00	15421
306.00	15368
307.00	15251
308.00	14916
309.00	14502
310.00	14000
311.00	13408
312.00	12916
313.00	12442
314.00	11995
315.00	11628
316.00	11261
317.00	10894
318.00	10557
319.00	10236
320.00	9913.9
321.00	9630.0
322.00	9372.4
323.00	9114.8
324.00	8881.0
325.00	8676.3
326.00	8476.9
327.00	8305.1
328.00	8133.2
329.00	7996.1
330.00	7873.9
331.00	7751.7
332.00	7657.7
333.00	7573.6
334.00	7489.6
335.00	7408.8
336.00	7328.0
337.00	7276.1
338.00	7224.9
339.00	7174.9
340.00	7127.0
341.00	7078.8
342.00	7026.3
343.00	6973.8
344.00	6891.9
345.00	6808.5
346.00	6722.9
347.00	6595.3
348.00	6467.7
349.00	6332.6
350.00	6197.4
351.00	6062.3
352.00	5901.3
353.00	5740.0
354.00	5578.8
355.00	5411.7
356.00	5243.0
357.00	5070.8
358.00	4884.0
359.00	4697.1
360.00	4515.8
361.00	4339.3
362.00	4164.4
363.00	3992.0
364.00	3817.0
365.00	3637.2
366.00	3459.5
367.00	3268.6
