Wavelength (nm)	Toly N+O (2020)
300.00	0.078030
301.00	0.076198
302.00	0.075201
303.00	0.073354
304.00	0.071290
305.00	0.068297
306.00	0.065207
307.00	0.062494
308.00	0.058679
309.00	0.056033
310.00	0.052545
311.00	0.049497
312.00	0.046585
313.00	0.044387
314.00	0.043641
315.00	0.041954
316.00	0.040774
317.00	0.040552
318.00	0.041278
319.00	0.040040
320.00	0.040038
321.00	0.040212
322.00	0.039857
323.00	0.039061
324.00	0.038121
325.00	0.039632
326.00	0.041670
327.00	0.042565
328.00	0.043374
329.00	0.044173
330.00	0.045616
331.00	0.044722
332.00	0.045740
333.00	0.046650
334.00	0.046298
335.00	0.047314
336.00	0.047750
337.00	0.048700
338.00	0.046864
339.00	0.047963
340.00	0.047858
341.00	0.049713
342.00	0.051440
343.00	0.052982
344.00	0.055194
345.00	0.059104
346.00	0.061586
347.00	0.065842
348.00	0.068166
349.00	0.068789
350.00	0.072231
351.00	0.075011
352.00	0.080073
353.00	0.081768
354.00	0.085456
355.00	0.087801
356.00	0.091983
357.00	0.096274
358.00	0.10025
359.00	0.10391
360.00	0.10912
361.00	0.11536
362.00	0.12180
363.00	0.12658
364.00	0.13547
365.00	0.14421
366.00	0.15571
367.00	0.16891
368.00	0.18096
369.00	0.19175
370.00	0.20661
371.00	0.22073
372.00	0.23580
373.00	0.24626
374.00	0.25851
375.00	0.27133
376.00	0.28376
377.00	0.29697
378.00	0.30756
379.00	0.31961
380.00	0.33493
381.00	0.34922
382.00	0.36758
383.00	0.38464
384.00	0.40297
385.00	0.42603
386.00	0.45148
387.00	0.48800
388.00	0.51998
389.00	0.55287
390.00	0.59503
391.00	0.63153
392.00	0.67026
393.00	0.70251
394.00	0.73323
395.00	0.76064
396.00	0.79081
397.00	0.83502
398.00	0.87682
399.00	0.92042
400.00	0.95873
401.00	0.98697
402.00	1.0000
403.00	0.99062
404.00	0.95924
405.00	0.91113
406.00	0.84197
407.00	0.75692
408.00	0.65708
409.00	0.55670
410.00	0.47020
411.00	0.39209
412.00	0.31695
413.00	0.25674
414.00	0.20806
415.00	0.17605
416.00	0.15285
417.00	0.13311
418.00	0.11695
419.00	0.10212
420.00	0.091537
421.00	0.080419
422.00	0.068780
423.00	0.059371
424.00	0.048612
425.00	0.040705
426.00	0.035177
427.00	0.029080
428.00	0.024715
429.00	0.020770
430.00	0.017136
431.00	0.015274
432.00	0.013119
433.00	0.012296
434.00	0.010358
435.00	0.0095325
436.00	0.0087963
437.00	0.0084068
438.00	0.0080503
439.00	0.0076293
440.00	0.0072424
441.00	0.0071210
442.00	0.0068233
443.00	0.0068258
444.00	0.0066530
445.00	0.0067184
446.00	0.0066857
447.00	0.0068289
448.00	0.0070305
449.00	0.0071061
450.00	0.0072244
451.00	0.0073239
452.00	0.0075681
453.00	0.0076464
454.00	0.0074970
455.00	0.0078239
456.00	0.0077438
457.00	0.0078004
458.00	0.0081214
459.00	0.0086014
460.00	0.0087750
461.00	0.0085621
462.00	0.0089775
463.00	0.0097318
464.00	0.010450
465.00	0.010994
466.00	0.011296
467.00	0.012313
468.00	0.013005
469.00	0.013788
470.00	0.014526
471.00	0.015217
472.00	0.016401
473.00	0.017164
474.00	0.017997
475.00	0.018409
476.00	0.019381
477.00	0.019772
478.00	0.019888
479.00	0.020469
480.00	0.020309
481.00	0.020665
482.00	0.020119
483.00	0.020038
484.00	0.019328
485.00	0.018930
486.00	0.018892
487.00	0.019380
488.00	0.018946
489.00	0.019015
490.00	0.019630
491.00	0.020120
492.00	0.020669
493.00	0.020936
494.00	0.022277
495.00	0.023805
496.00	0.025221
497.00	0.026275
498.00	0.027417
499.00	0.028541
500.00	0.029461
501.00	0.030708
502.00	0.031200
503.00	0.031749
504.00	0.031686
505.00	0.031183
506.00	0.030550
507.00	0.029446
508.00	0.028413
509.00	0.026891
510.00	0.025274
511.00	0.023852
512.00	0.022291
513.00	0.020703
514.00	0.019207
515.00	0.018049
516.00	0.016975
517.00	0.015707
518.00	0.014419
519.00	0.013313
520.00	0.012647
521.00	0.012553
522.00	0.011890
523.00	0.011256
524.00	0.010820
525.00	0.010625
526.00	0.010274
527.00	0.010508
528.00	0.011129
529.00	0.011694
530.00	0.012395
531.00	0.013399
532.00	0.014675
533.00	0.016029
534.00	0.016861
535.00	0.018134
536.00	0.020448
537.00	0.021498
538.00	0.022767
539.00	0.024170
540.00	0.025412
541.00	0.026331
542.00	0.026898
543.00	0.027830
544.00	0.028057
545.00	0.029212
546.00	0.029395
547.00	0.028819
548.00	0.028172
549.00	0.027326
550.00	0.026944
551.00	0.026205
552.00	0.025312
553.00	0.023883
554.00	0.022218
555.00	0.020843
556.00	0.019107
557.00	0.017432
558.00	0.015914
559.00	0.015011
560.00	0.014051
561.00	0.013154
562.00	0.012354
563.00	0.011839
564.00	0.011577
565.00	0.011179
566.00	0.011419
567.00	0.011552
568.00	0.011576
569.00	0.011388
570.00	0.010850
571.00	0.011126
572.00	0.010268
573.00	0.010105
574.00	0.0097779
575.00	0.0093327
576.00	0.0087866
577.00	0.0080330
578.00	0.0075257
579.00	0.0068628
580.00	0.0065029
581.00	0.0060645
582.00	0.0058032
583.00	0.0056279
584.00	0.0059265
585.00	0.0062725
586.00	0.0056699
587.00	0.0061655
588.00	0.0055388
589.00	0.0054330
590.00	0.0052411
591.00	0.0050168
592.00	0.0054231
593.00	0.0066050
594.00	0.0058560
595.00	0.0055998
596.00	0.0055001
597.00	0.0049759
598.00	0.0041142
