Wavelength (nm)	Toly D mod
300.00	0.088654
301.00	0.086902
302.00	0.085366
303.00	0.083100
304.00	0.080459
305.00	0.078034
306.00	0.074723
307.00	0.071037
308.00	0.067234
309.00	0.065155
310.00	0.061474
311.00	0.057771
312.00	0.054476
313.00	0.051291
314.00	0.049828
315.00	0.047730
316.00	0.046354
317.00	0.044298
318.00	0.043296
319.00	0.043171
320.00	0.041999
321.00	0.042018
322.00	0.041138
323.00	0.039836
324.00	0.039860
325.00	0.039987
326.00	0.038921
327.00	0.038943
328.00	0.037993
329.00	0.037344
330.00	0.038300
331.00	0.037236
332.00	0.037460
333.00	0.036881
334.00	0.036498
335.00	0.036431
336.00	0.036694
337.00	0.037358
338.00	0.037644
339.00	0.037723
340.00	0.038986
341.00	0.039606
342.00	0.040948
343.00	0.042739
344.00	0.043821
345.00	0.045556
346.00	0.047657
347.00	0.050006
348.00	0.052659
349.00	0.054192
350.00	0.056691
351.00	0.059633
352.00	0.063542
353.00	0.066471
354.00	0.068768
355.00	0.072406
356.00	0.075642
357.00	0.081433
358.00	0.086008
359.00	0.089046
360.00	0.095124
361.00	0.10111
362.00	0.10851
363.00	0.11592
364.00	0.12353
365.00	0.13519
366.00	0.14516
367.00	0.16019
368.00	0.17330
369.00	0.18701
370.00	0.19932
371.00	0.21319
372.00	0.22790
373.00	0.24119
374.00	0.25518
375.00	0.26685
376.00	0.28006
377.00	0.29659
378.00	0.31043
379.00	0.32462
380.00	0.34171
381.00	0.35810
382.00	0.38069
383.00	0.40397
384.00	0.42702
385.00	0.45225
386.00	0.48082
387.00	0.51390
388.00	0.55454
389.00	0.59224
390.00	0.62683
391.00	0.66358
392.00	0.70057
393.00	0.73197
394.00	0.76980
395.00	0.79890
396.00	0.83324
397.00	0.87175
398.00	0.91220
399.00	0.95263
400.00	0.98047
401.00	0.99500
402.00	1.0000
403.00	0.98603
404.00	0.94804
405.00	0.89550
406.00	0.83300
407.00	0.75000
408.00	0.66190
409.00	0.55811
410.00	0.47142
411.00	0.40598
412.00	0.33941
413.00	0.28891
414.00	0.24193
415.00	0.20522
416.00	0.17837
417.00	0.15732
418.00	0.13816
419.00	0.11736
420.00	0.10126
421.00	0.088611
422.00	0.077198
423.00	0.067121
424.00	0.057525
425.00	0.048712
426.00	0.043050
427.00	0.038243
428.00	0.033902
429.00	0.029867
430.00	0.026613
431.00	0.024078
432.00	0.022061
433.00	0.019900
434.00	0.018221
435.00	0.016884
436.00	0.015179
437.00	0.014921
438.00	0.013969
439.00	0.013065
440.00	0.013024
441.00	0.012717
442.00	0.012565
443.00	0.012559
444.00	0.011724
445.00	0.011677
446.00	0.011825
447.00	0.011953
448.00	0.011689
449.00	0.012058
450.00	0.011550
451.00	0.011436
452.00	0.011997
453.00	0.011811
454.00	0.011558
455.00	0.012088
456.00	0.011851
457.00	0.011346
458.00	0.011374
459.00	0.011667
460.00	0.011952
461.00	0.011368
462.00	0.011869
463.00	0.012365
464.00	0.012756
465.00	0.013160
466.00	0.013424
467.00	0.013920
468.00	0.014876
469.00	0.015656
470.00	0.016578
471.00	0.017034
472.00	0.017685
473.00	0.018523
474.00	0.019103
475.00	0.019601
476.00	0.019426
477.00	0.019206
478.00	0.018749
479.00	0.019108
480.00	0.018395
481.00	0.018529
482.00	0.017586
483.00	0.017534
484.00	0.017117
485.00	0.016245
486.00	0.016038
487.00	0.015352
488.00	0.015270
489.00	0.015610
490.00	0.016496
491.00	0.018417
492.00	0.019467
493.00	0.019990
494.00	0.022028
495.00	0.024386
496.00	0.025768
497.00	0.027657
498.00	0.029004
499.00	0.030935
500.00	0.032317
501.00	0.033562
502.00	0.035209
503.00	0.035390
504.00	0.035272
505.00	0.034989
506.00	0.034253
507.00	0.033099
508.00	0.031421
509.00	0.029406
510.00	0.027742
511.00	0.025691
512.00	0.023825
513.00	0.021346
514.00	0.019289
515.00	0.017282
516.00	0.016026
517.00	0.014675
518.00	0.013920
519.00	0.012568
520.00	0.011753
521.00	0.011204
522.00	0.011089
523.00	0.010673
524.00	0.011130
525.00	0.011078
526.00	0.011404
527.00	0.011976
528.00	0.013025
529.00	0.013870
530.00	0.014654
531.00	0.015852
532.00	0.017625
533.00	0.018635
534.00	0.020369
535.00	0.021464
536.00	0.023088
537.00	0.024748
538.00	0.025949
539.00	0.027059
540.00	0.027945
541.00	0.028939
542.00	0.029569
543.00	0.029690
544.00	0.029784
545.00	0.029649
546.00	0.029419
547.00	0.028605
548.00	0.027748
549.00	0.026408
550.00	0.025594
551.00	0.024216
552.00	0.022912
553.00	0.021937
554.00	0.020137
555.00	0.018265
556.00	0.016799
557.00	0.015249
558.00	0.014559
559.00	0.014157
560.00	0.013233
561.00	0.012754
562.00	0.011776
563.00	0.011445
564.00	0.011590
565.00	0.011024
566.00	0.010650
567.00	0.010899
568.00	0.010811
569.00	0.010801
570.00	0.010086
571.00	0.010297
572.00	0.0092819
573.00	0.0094226
574.00	0.0091952
575.00	0.0083519
576.00	0.0086304
577.00	0.0087027
578.00	0.0074813
579.00	0.0076614
580.00	0.0080917
581.00	0.0066099
582.00	0.0063889
583.00	0.0070610
584.00	0.0057580
585.00	0.0065215
586.00	0.0067874
587.00	0.0072815
588.00	0.0062974
589.00	0.0064918
590.00	0.0061192
591.00	0.0067707
592.00	0.0059012
593.00	0.0052945
594.00	0.0054349
595.00	0.0055613
596.00	0.0062715
597.00	0.0061203
598.00	0.0057394
599.00	0.0066396
600.00	0.0050800
601.00	0.0050684
602.00	0.0059837
603.00	0.0063478
604.00	0.0062938
605.00	0.0061877
606.00	0.0069414
607.00	0.0068627
608.00	0.0082782
609.00	0.0094286
610.00	0.011511
611.00	0.013485
612.00	0.017964
613.00	0.022097
614.00	0.024824
615.00	0.027355
616.00	0.027296
617.00	0.028987
618.00	0.027506
619.00	0.029276
620.00	0.030223
621.00	0.032079
622.00	0.030674
623.00	0.032116
624.00	0.031397
625.00	0.030541
626.00	0.029422
627.00	0.027695
628.00	0.025504
629.00	0.024722
630.00	0.021956
631.00	0.019391
632.00	0.018081
633.00	0.017030
634.00	0.014158
635.00	0.014475
636.00	0.013633
637.00	0.015686
638.00	0.013994
639.00	0.015325
640.00	0.016551
641.00	0.017519
642.00	0.020668
643.00	0.022430
644.00	0.024495
645.00	0.027853
646.00	0.028050
647.00	0.027303
648.00	0.024879
649.00	0.024628
650.00	0.021461
651.00	0.019327
652.00	0.017552
653.00	0.016069
654.00	0.014463
655.00	0.012923
656.00	0.012819
657.00	0.013461
658.00	0.013233
659.00	0.013909
660.00	0.016104
661.00	0.016167
662.00	0.017640
663.00	0.018671
664.00	0.021604
665.00	0.022816
666.00	0.027184
667.00	0.030144
668.00	0.033275
669.00	0.041410
670.00	0.050488
671.00	0.063281
672.00	0.083069
673.00	0.11441
674.00	0.15862
675.00	0.21229
676.00	0.27514
677.00	0.33491
678.00	0.38506
679.00	0.40323
680.00	0.38601
681.00	0.34812
682.00	0.30244
683.00	0.25717
684.00	0.20907
685.00	0.16926
686.00	0.13589
687.00	0.10645
688.00	0.082382
689.00	0.065874
690.00	0.054857
691.00	0.043076
692.00	0.035546
693.00	0.027719
694.00	0.022230
695.00	0.018157
696.00	0.015829
697.00	0.013170
698.00	0.011299
699.00	0.010350
700.00	0.0087640
701.00	0.0070125
702.00	0.0065828
703.00	0.0059299
704.00	0.0054674
705.00	0.0050975
706.00	0.0046261
707.00	0.0051961
708.00	0.0043777
709.00	0.0032499
710.00	0.0035328
711.00	0.0042920
712.00	0.0024614
713.00	0.0042769
714.00	0.0026725
715.00	0.0026843
716.00	0.0028284
717.00	0.0023091
718.00	0.0017732
719.00	0.0025861
720.00	0.0015656
721.00	0.0018757
722.00	0.0030310
723.00	0.0026320
724.00	0.0025965
725.00	0.0030389
726.00	0.0027500
727.00	0.0013319
728.00	0.0029344
729.00	0.0028711
730.00	0.0034531
731.00	0.0025112
732.00	0.0020407
733.00	0.0023873
734.00	0.0026037
735.00	0.0032529
736.00	0.0048429
737.00	0.0032792
738.00	0.0031904
739.00	0.0010313
740.00	0.0012566
741.00	0.0017210
742.00	0.0018278
743.00	0.0044706
744.00	0.0023681
745.00	0.0033778
746.00	0.0038032
747.00	0.0030567
748.00	0.0020583
749.00	0.0016667
750.00	0.00064249
751.00	0.0012252
752.00	0.0010360
753.00	0.0032008
754.00	0.0021746
755.00	0.0040169
756.00	0.0020252
757.00	0.0013871
758.00	0.0037807
759.00	0.0021195
760.00	0.00012321
761.00	0.0010809
762.00	0.0025765
763.00	0.0049481
764.00	0.0029098
765.00	0.0022992
766.00	0.0042116
767.00	0.0026076
768.00	0.0021099
769.00	0.0013471
770.00	0.0046097
771.00	0.00058740
772.00	0.0010619
773.00	0.0012012
774.00	1.2735e-05
775.00	0.0025289
776.00	0.0034683
777.00	0.0018950
778.00	0.0017853
779.00	0.0016388
780.00	0.0032449
781.00	0.0019446
782.00	0.0060942
783.00	0.0041492
784.00	0.0043114
785.00	0.0023288
786.00	0.0044622
787.00	0.0042090
788.00	0.00011922
789.00	0.0038590
790.00	0.0040656
791.00	0.0026696
792.00	0.0013269
793.00	0.00038499
794.00	0.0015910
795.00	0.00029434
796.00	0.0032370
797.00	0.0017319
798.00	0.0027766
799.00	0.00082572
800.00	0.00083318
