Wavelngth (nm)	FL026 [8] 6515-36-2, 7-Hydroxyflavanone [C]
210.00	26579
211.00	27008
212.00	27230
213.00	27133
214.00	26704
215.00	26126
216.00	25617
217.00	25092
218.00	24215
219.00	22525
220.00	20018
221.00	17174
222.00	14670
223.00	12780
224.00	11582
225.00	10899
226.00	10602
227.00	10561
228.00	10681
229.00	10857
230.00	11058
231.00	11255
232.00	11392
233.00	11469
234.00	11474
235.00	11429
236.00	11332
237.00	11211
238.00	10984
239.00	10602
240.00	10025
241.00	9226.2
242.00	8176.6
243.00	6930.1
244.00	5637.9
245.00	4511.5
246.00	3648.9
247.00	3105.4
248.00	2829.4
249.00	2760.1
250.00	2834.8
251.00	3001.9
252.00	3222.2
253.00	3480.4
254.00	3780.5
255.00	4129.1
256.00	4528.0
257.00	4962.2
258.00	5410.1
259.00	5861.1
260.00	6343.8
261.00	6875.9
262.00	7421.8
263.00	7996.2
264.00	8550.4
265.00	9078.9
266.00	9622.5
267.00	10152
268.00	10690
269.00	11171
270.00	11608
271.00	12010
272.00	12364
273.00	12645
274.00	12863
275.00	12973
276.00	13000
277.00	12931
278.00	12783
279.00	12570
280.00	12280
281.00	11922
282.00	11528
283.00	11082
284.00	10604
285.00	10098
286.00	9580.7
287.00	9076.2
288.00	8597.3
289.00	8146.5
290.00	7748.2
291.00	7386.4
292.00	7086.7
293.00	6847.7
294.00	6670.9
295.00	6546.0
296.00	6476.6
297.00	6443.8
298.00	6436.7
299.00	6471.1
300.00	6509.5
301.00	6573.4
302.00	6632.2
303.00	6694.6
304.00	6760.6
305.00	6822.0
306.00	6888.7
307.00	6947.1
308.00	7007.2
309.00	7061.0
310.00	7084.9
311.00	7098.8
312.00	7085.5
313.00	7012.4
314.00	6892.6
315.00	6736.5
316.00	6537.0
317.00	6307.1
318.00	6053.0
319.00	5785.0
320.00	5501.7
321.00	5216.5
322.00	4946.2
323.00	4672.9
324.00	4395.3
325.00	4100.7
326.00	3800.1
327.00	3499.0
328.00	3183.9
329.00	2870.7
330.00	2557.9
331.00	2254.5
332.00	1959.2
333.00	1686.4
334.00	1429.7
335.00	1207.4
336.00	1010.3
337.00	833.43
338.00	691.97
339.00	573.72
340.00	475.11
341.00	395.60
342.00	329.59
343.00	280.88
344.00	238.88
345.00	195.67
346.00	175.56
347.00	152.53
348.00	131.38
349.00	119.52
350.00	103.42
351.00	92.297
352.00	82.714
353.00	78.163
354.00	73.778
355.00	69.296
356.00	65.377
357.00	48.261
358.00	51.024
359.00	43.875
360.00	52.124
361.00	52.426
362.00	46.556
363.00	45.016
364.00	36.231
365.00	37.028
366.00	39.448
367.00	44.384
368.00	41.441
369.00	28.174
370.00	28.628
371.00	31.158
372.00	30.346
373.00	29.920
374.00	24.971
375.00	32.312
376.00	36.231
377.00	38.554
378.00	29.728
379.00	25.287
380.00	24.833
381.00	30.883
382.00	19.925
383.00	20.956
384.00	23.940
385.00	18.427
386.00	22.070
387.00	28.559
388.00	26.964
389.00	29.068
390.00	26.291
391.00	11.071
392.00	16.048
393.00	8.0740
394.00	21.712
395.00	22.744
396.00	18.028
397.00	17.272
398.00	13.573
399.00	17.780
400.00	14.178
401.00	14.206
402.00	14.811
403.00	11.965
404.00	12.749
405.00	17.244
406.00	15.883
407.00	18.014
408.00	8.2665
409.00	12.116
410.00	17.189
411.00	12.611
412.00	24.806
413.00	16.749
414.00	14.673
415.00	9.0639
416.00	15.567
417.00	15.526
418.00	20.269
419.00	9.3939
420.00	13.766
421.00	18.152
422.00	14.605
423.00	23.087
424.00	12.309
425.00	14.288
426.00	7.9503
427.00	9.2152
428.00	12.515
429.00	16.186
430.00	18.289
431.00	22.579
432.00	17.052
433.00	9.3389
434.00	15.045
435.00	24.077
436.00	21.163
437.00	15.581
438.00	18.303
439.00	23.472
440.00	17.327
441.00	12.116
442.00	12.611
443.00	17.519
444.00	19.471
445.00	20.283
446.00	11.841
447.00	20.503
448.00	18.592
449.00	12.666
450.00	25.315
451.00	27.858
452.00	23.376
453.00	26.249
454.00	19.925
455.00	23.569
456.00	28.394
457.00	24.792
458.00	26.731
459.00	24.792
460.00	19.815
461.00	15.045
462.00	14.797
463.00	11.649
464.00	20.640
465.00	24.393
466.00	14.921
467.00	25.273
468.00	21.864
469.00	24.407
470.00	24.063
471.00	21.451
472.00	20.480
473.00	23.156
474.00	18.949
475.00	7.9091
476.00	28.257
477.00	23.514
478.00	18.220
479.00	15.911
480.00	26.799
481.00	14.137
482.00	5.7368
483.00	7.3179
484.00	5.9905
485.00	16.749
486.00	23.170
487.00	12.900
488.00	9.6826
489.00	5.9705
490.00	18.385
491.00	20.901
492.00	19.595
493.00	14.453
494.00	8.6927
495.00	21.396
496.00	10.824
497.00	7.7578
498.00	14.041
499.00	12.817
500.00	21.781
