Wavelength (nm)	FL044 [8] 97080-90-5, 3',4',6,7-Tetramethoxyflavanone [D]
222.00	16895
223.00	16964
224.00	17294
225.00	17780
226.00	18349
227.00	19002
228.00	19824
229.00	20750
230.00	21718
231.00	22805
232.00	23982
233.00	25238
234.00	26366
235.00	27278
236.00	27765
237.00	28200
238.00	27961
239.00	27514
240.00	26728
241.00	25604
242.00	24323
243.00	22628
244.00	20818
245.00	18946
246.00	17042
247.00	15021
248.00	12527
249.00	10350
250.00	8412.9
251.00	7088.7
252.00	6396.9
253.00	6033.3
254.00	5866.0
255.00	5846.9
256.00	5905.1
257.00	6120.6
258.00	6398.0
259.00	6862.0
260.00	7329.6
261.00	7809.8
262.00	8297.2
263.00	8786.7
264.00	9276.1
265.00	9790.3
266.00	10345
267.00	10900
268.00	11437
269.00	11964
270.00	12488
271.00	12987
272.00	13440
273.00	13815
274.00	14155
275.00	14408
276.00	14550
277.00	14424
278.00	14179
279.00	13873
280.00	13514
281.00	13143
282.00	12724
283.00	12305
284.00	11706
285.00	11063
286.00	10239
287.00	9410.9
288.00	8326.6
289.00	7043.6
290.00	5735.3
291.00	4842.5
292.00	4142.5
293.00	3682.6
294.00	3311.3
295.00	3072.4
296.00	2894.3
297.00	2770.3
298.00	2667.9
299.00	2587.2
300.00	2554.2
301.00	2545.7
302.00	2566.4
303.00	2641.3
304.00	2726.7
305.00	2834.2
306.00	2941.7
307.00	3063.1
308.00	3192.1
309.00	3321.1
310.00	3460.3
311.00	3613.9
312.00	3767.5
313.00	3921.1
314.00	4072.8
315.00	4223.4
316.00	4374.0
317.00	4559.2
318.00	4751.1
319.00	4942.9
320.00	5134.8
321.00	5326.2
322.00	5517.6
323.00	5708.9
324.00	5898.7
325.00	6088.6
326.00	6254.3
327.00	6416.2
328.00	6565.9
329.00	6698.1
330.00	6820.3
331.00	6902.6
332.00	6984.9
333.00	7052.3
334.00	7102.7
335.00	7153.2
336.00	7162.5
337.00	7171.8
338.00	7150.7
339.00	7105.9
340.00	7061.2
341.00	6973.5
342.00	6879.3
343.00	6783.7
344.00	6664.3
345.00	6544.9
346.00	6407.2
347.00	6243.4
348.00	6079.5
349.00	5909.3
350.00	5708.4
351.00	5507.5
352.00	5278.5
353.00	5030.9
354.00	4781.1
355.00	4479.9
356.00	4177.9
357.00	3868.6
358.00	3556.2
359.00	3233.0
360.00	2919.4
361.00	2661.0
362.00	2429.7
363.00	2242.8
364.00	2060.7
365.00	1891.2
366.00	1758.2
367.00	1629.6
368.00	1516.4
