Wavelength (nm)	1, Oxo-OEC ZF
569.00	0.0073471
570.00	0.0078675
571.00	0.0083880
572.00	0.0089085
573.00	0.010513
574.00	0.012151
575.00	0.013790
576.00	0.015851
577.00	0.018093
578.00	0.020335
579.00	0.023630
580.00	0.026957
581.00	0.029012
582.00	0.030925
583.00	0.032356
584.00	0.033306
585.00	0.034256
586.00	0.034526
587.00	0.033965
588.00	0.033404
589.00	0.031732
590.00	0.029990
591.00	0.028247
592.00	0.026371
593.00	0.024478
594.00	0.022597
595.00	0.020902
596.00	0.019206
597.00	0.017511
598.00	0.016034
599.00	0.014581
600.00	0.013128
601.00	0.011953
602.00	0.010875
603.00	0.0097972
604.00	0.0098160
605.00	0.0099566
606.00	0.010264
607.00	0.011331
608.00	0.012398
609.00	0.012958
610.00	0.013267
611.00	0.013576
612.00	0.013886
613.00	0.013982
614.00	0.014070
615.00	0.014158
616.00	0.014246
617.00	0.014343
618.00	0.014446
619.00	0.014550
620.00	0.014653
621.00	0.015401
622.00	0.016220
623.00	0.017039
624.00	0.018530
625.00	0.020416
626.00	0.022302
627.00	0.026603
628.00	0.031545
629.00	0.038524
630.00	0.048690
631.00	0.059719
632.00	0.072584
633.00	0.085647
634.00	0.10508
635.00	0.12474
636.00	0.14652
637.00	0.16764
638.00	0.18596
639.00	0.20009
640.00	0.20822
641.00	0.20810
642.00	0.20316
643.00	0.18968
644.00	0.16664
645.00	0.14234
646.00	0.11559
647.00	0.088780
648.00	0.068274
649.00	0.051548
650.00	0.037915
651.00	0.027425
652.00	0.019119
653.00	0.014535
654.00	0.010507
655.00	0.0085668
656.00	0.0066270
657.00	0.0046872
658.00	0.0036237
659.00	0.0030971
660.00	0.0025706
661.00	0.0020441
662.00	0.0015937
663.00	0.0013599
664.00	0.0011261
665.00	0.00089232
666.00	0.00065854
667.00	0.00047662
668.00	0.00039102
669.00	0.00030542
670.00	0.00021983
671.00	0.00013423
672.00	0.00012396
673.00	0.00012396
674.00	0.00012396
675.00	0.00012396
676.00	0.00012396
677.00	0.00012396
678.00	0.00012396
679.00	0.00012395
680.00	0.00012394
681.00	0.00012393
682.00	0.00012392
683.00	0.00012391
684.00	0.00012390
685.00	0.00012389
686.00	0.00012389
687.00	0.00012389
688.00	0.00012389
689.00	0.00012389
690.00	0.00012389
691.00	0.00012389
692.00	0.00012389
693.00	0.00012389
694.00	0.00012389
695.00	0.00012389
696.00	0.00012389
697.00	0.00012389
698.00	0.00012389
699.00	0.00012389
700.00	0.00012389
