Wavelength (nm)	Chem Eur J 2018_17268, Vv_FCC-55 ems [Z]
365.00	0.0017733
366.00	0.0019842
367.00	0.0021950
368.00	0.0024059
369.00	0.0026168
370.00	0.0029197
371.00	0.0032583
372.00	0.0035970
373.00	0.0039357
374.00	0.0042744
375.00	0.0049026
376.00	0.0059835
377.00	0.0070644
378.00	0.0081453
379.00	0.0092261
380.00	0.011234
381.00	0.014753
382.00	0.018272
383.00	0.021791
384.00	0.025377
385.00	0.032242
386.00	0.039106
387.00	0.045971
388.00	0.055265
389.00	0.067298
390.00	0.079332
391.00	0.091365
392.00	0.10541
393.00	0.12491
394.00	0.14441
395.00	0.16390
396.00	0.18340
397.00	0.20411
398.00	0.22811
399.00	0.25211
400.00	0.27612
401.00	0.30012
402.00	0.32412
403.00	0.35343
404.00	0.38423
405.00	0.41503
406.00	0.44583
407.00	0.47663
408.00	0.50743
409.00	0.53781
410.00	0.56773
411.00	0.59766
412.00	0.62758
413.00	0.65750
414.00	0.68742
415.00	0.71123
416.00	0.73498
417.00	0.75873
418.00	0.78249
419.00	0.80624
420.00	0.82999
421.00	0.85221
422.00	0.87309
423.00	0.89397
424.00	0.91146
425.00	0.92499
426.00	0.93851
427.00	0.95203
428.00	0.96286
429.00	0.97180
430.00	0.98075
431.00	0.98714
432.00	0.98900
433.00	0.99086
434.00	0.99272
435.00	0.99458
436.00	0.99600
437.00	0.99700
438.00	0.99800
439.00	0.99900
440.00	1.0000
441.00	0.99583
442.00	0.99165
443.00	0.98748
444.00	0.98296
445.00	0.97572
446.00	0.96847
447.00	0.96123
448.00	0.95398
449.00	0.94443
450.00	0.93411
451.00	0.92379
452.00	0.91347
453.00	0.90315
454.00	0.89338
455.00	0.88398
456.00	0.87459
457.00	0.86520
458.00	0.85580
459.00	0.84641
460.00	0.83701
461.00	0.82644
462.00	0.81458
463.00	0.80271
464.00	0.79085
465.00	0.77899
466.00	0.76713
467.00	0.75527
468.00	0.74147
469.00	0.72736
470.00	0.71325
471.00	0.69914
472.00	0.68503
473.00	0.67092
474.00	0.65606
475.00	0.64008
476.00	0.62411
477.00	0.60813
478.00	0.59216
479.00	0.57618
480.00	0.56221
481.00	0.54891
482.00	0.53561
483.00	0.52230
484.00	0.50900
485.00	0.49570
486.00	0.48415
487.00	0.47309
488.00	0.46204
489.00	0.45098
490.00	0.43993
491.00	0.42887
492.00	0.41782
493.00	0.40722
494.00	0.39748
495.00	0.38774
496.00	0.37800
497.00	0.36826
498.00	0.35852
499.00	0.34878
500.00	0.33918
501.00	0.32979
502.00	0.32039
503.00	0.31100
504.00	0.30161
505.00	0.29221
506.00	0.28282
507.00	0.27342
508.00	0.26484
509.00	0.25644
510.00	0.24805
511.00	0.23965
512.00	0.23126
513.00	0.22286
514.00	0.21544
515.00	0.20976
516.00	0.20408
517.00	0.19839
518.00	0.19271
519.00	0.18702
520.00	0.18134
521.00	0.17566
522.00	0.16997
523.00	0.16439
524.00	0.15942
525.00	0.15445
526.00	0.14948
527.00	0.14451
528.00	0.13954
529.00	0.13457
530.00	0.12960
531.00	0.12463
532.00	0.11966
533.00	0.11469
534.00	0.11132
535.00	0.10799
536.00	0.10465
537.00	0.10131
538.00	0.097978
539.00	0.094642
540.00	0.091306
541.00	0.087971
542.00	0.084635
543.00	0.081299
544.00	0.079211
545.00	0.077162
546.00	0.075113
547.00	0.073064
548.00	0.071014
549.00	0.068965
550.00	0.066916
551.00	0.064867
552.00	0.062817
553.00	0.060799
554.00	0.058859
555.00	0.056918
556.00	0.054978
557.00	0.053038
558.00	0.051098
559.00	0.049158
560.00	0.047218
561.00	0.045277
562.00	0.043337
563.00	0.041397
564.00	0.039457
565.00	0.038070
566.00	0.036981
567.00	0.035892
568.00	0.034803
569.00	0.033714
570.00	0.032624
571.00	0.031535
572.00	0.030446
573.00	0.029357
574.00	0.028268
575.00	0.027179
576.00	0.026090
577.00	0.025103
578.00	0.024482
579.00	0.023861
580.00	0.023240
581.00	0.022619
582.00	0.021998
583.00	0.021377
584.00	0.020756
585.00	0.020135
586.00	0.019668
587.00	0.019357
588.00	0.019046
589.00	0.018735
590.00	0.018424
591.00	0.018113
592.00	0.017801
593.00	0.017490
594.00	0.017179
595.00	0.016868
596.00	0.016557
597.00	0.016246
598.00	0.015934
599.00	0.015623
600.00	0.015312
