Wavelength (nm)	Q33 abs e
350.00	17679
351.00	17252
352.00	16919
353.00	16558
354.00	16237
355.00	15990
356.00	15704
357.00	15458
358.00	15203
359.00	15011
360.00	14713
361.00	14584
362.00	14294
363.00	14134
364.00	13934
365.00	13808
366.00	13597
367.00	13476
368.00	13295
369.00	13166
370.00	12990
371.00	12900
372.00	12731
373.00	12453
374.00	12434
375.00	12191
376.00	12057
377.00	11858
378.00	11854
379.00	11701
380.00	11513
381.00	11239
382.00	11168
383.00	11008
384.00	10968
385.00	10835
386.00	10745
387.00	10592
388.00	10475
389.00	10330
390.00	10232
391.00	10193
392.00	10079
393.00	10111
394.00	9961.7
395.00	10024
396.00	10048
397.00	10048
398.00	10134
399.00	10169
400.00	10259
401.00	10326
402.00	10357
403.00	10400
404.00	10393
405.00	10436
406.00	10459
407.00	10467
408.00	10538
409.00	10549
410.00	10628
411.00	10628
412.00	10769
413.00	10780
414.00	10933
415.00	10976
416.00	11133
417.00	11223
418.00	11466
419.00	11587
420.00	11787
421.00	12046
422.00	12355
423.00	12582
424.00	12900
425.00	13178
426.00	13550
427.00	13836
428.00	14212
429.00	14471
430.00	14784
431.00	15133
432.00	15466
433.00	15775
434.00	16178
435.00	16590
436.00	17072
437.00	17557
438.00	18180
439.00	18928
440.00	19802
441.00	20805
442.00	22094
443.00	23453
444.00	25032
445.00	26826
446.00	28722
447.00	30755
448.00	32941
449.00	35213
450.00	37477
451.00	39690
452.00	41841
453.00	43854
454.00	45703
455.00	47337
456.00	48864
457.00	50259
458.00	51571
459.00	52825
460.00	54098
461.00	55645
462.00	57463
463.00	59708
464.00	62583
465.00	66308
466.00	70860
467.00	76599
468.00	83505
469.00	91970
470.00	1.0201e+05
471.00	1.1387e+05
472.00	1.2740e+05
473.00	1.4308e+05
474.00	1.6048e+05
475.00	1.7982e+05
476.00	2.0070e+05
477.00	2.2306e+05
478.00	2.4630e+05
479.00	2.6993e+05
480.00	2.9333e+05
481.00	3.1547e+05
482.00	3.3600e+05
483.00	3.5367e+05
484.00	3.6846e+05
485.00	3.7946e+05
486.00	3.8646e+05
487.00	3.8900e+05
488.00	3.8732e+05
489.00	3.8112e+05
490.00	3.7104e+05
491.00	3.5694e+05
492.00	3.3965e+05
493.00	3.1949e+05
494.00	2.9726e+05
495.00	2.7352e+05
496.00	2.4887e+05
497.00	2.2412e+05
498.00	1.9966e+05
499.00	1.7617e+05
500.00	1.5382e+05
501.00	1.3320e+05
502.00	1.1439e+05
503.00	97368
504.00	82158
505.00	68831
506.00	57298
507.00	47321
508.00	38914
509.00	31914
510.00	26046
511.00	21349
512.00	17495
513.00	14400
514.00	11960
515.00	10005
516.00	8449.6
517.00	7301.9
518.00	6346.0
519.00	5680.1
520.00	5108.2
521.00	4685.1
522.00	4403.0
523.00	4160.2
524.00	3940.8
525.00	3842.9
526.00	3752.8
527.00	3705.8
528.00	3631.3
529.00	3576.5
530.00	3643.1
531.00	3650.9
532.00	3674.4
533.00	3647.0
534.00	3697.9
535.00	3701.9
536.00	3780.2
537.00	3788.0
538.00	3807.6
539.00	3874.2
540.00	3901.6
541.00	3889.9
542.00	3968.2
543.00	3980.0
544.00	4007.4
545.00	4054.4
546.00	4085.7
547.00	4203.3
548.00	4262.0
549.00	4297.3
550.00	4403.0
551.00	4450.1
552.00	4551.9
553.00	4642.0
554.00	4689.0
555.00	4802.6
556.00	4845.7
557.00	4947.6
558.00	5022.0
559.00	5088.6
560.00	5123.8
561.00	5159.1
562.00	5186.5
563.00	5225.7
564.00	5245.3
565.00	5249.2
566.00	5260.9
567.00	5268.8
568.00	5268.8
569.00	5249.2
570.00	5284.4
571.00	5241.4
572.00	5253.1
573.00	5268.8
574.00	5284.4
575.00	5307.9
576.00	5288.4
577.00	5280.5
578.00	5292.3
579.00	5351.0
580.00	5358.9
581.00	5386.3
582.00	5449.0
583.00	5488.1
584.00	5546.9
585.00	5668.3
586.00	5781.9
587.00	5907.3
588.00	6052.2
589.00	6255.9
590.00	6373.5
591.00	6698.6
592.00	7047.2
593.00	7446.8
594.00	7826.8
595.00	8253.8
596.00	8731.7
597.00	9287.9
598.00	9844.2
599.00	10534
600.00	11243
601.00	12085
602.00	12853
603.00	13754
604.00	14635
605.00	15567
606.00	16492
607.00	17436
608.00	18392
609.00	19289
610.00	20225
611.00	21157
612.00	21996
613.00	22881
614.00	23762
615.00	24491
616.00	25239
617.00	25913
618.00	26504
619.00	27116
620.00	27586
621.00	27942
622.00	28138
623.00	28279
624.00	28267
625.00	28056
626.00	27723
627.00	27241
628.00	26630
629.00	25768
630.00	24961
631.00	24033
632.00	23065
633.00	22074
634.00	21138
635.00	20225
636.00	19351
637.00	18592
638.00	17922
639.00	17385
640.00	16884
641.00	16531
642.00	16359
643.00	16269
644.00	16265
645.00	16472
646.00	16833
647.00	17291
648.00	17933
649.00	18787
650.00	19841
651.00	21024
652.00	22364
653.00	23966
654.00	25654
655.00	27550
656.00	29533
657.00	31609
658.00	33716
659.00	35851
660.00	37927
661.00	39976
662.00	41794
663.00	43459
664.00	44955
665.00	46064
666.00	46933
667.00	47305
668.00	47427
669.00	47043
670.00	46310
671.00	45061
672.00	43478
673.00	41551
674.00	39353
675.00	36897
676.00	34323
677.00	31648
678.00	28976
679.00	26309
680.00	23711
681.00	21287
682.00	18960
683.00	16778
684.00	14839
685.00	13005
686.00	11442
687.00	10020
688.00	8731.7
689.00	7572.1
690.00	6628.1
691.00	5844.6
692.00	5143.4
693.00	4520.6
694.00	3991.7
695.00	3603.9
696.00	3196.5
697.00	2926.2
698.00	2687.3
699.00	2440.5
700.00	2228.9
701.00	2103.6
702.00	1927.3
703.00	1880.3
704.00	1798.0
705.00	1719.7
706.00	1657.0
707.00	1625.7
708.00	1543.4
709.00	1543.4
710.00	1516.0
711.00	1441.6
712.00	1390.6
713.00	1406.3
714.00	1367.1
715.00	1425.9
716.00	1371.1
717.00	1351.5
718.00	1335.8
719.00	1281.0
720.00	1335.8
721.00	1269.2
722.00	1245.7
723.00	1226.1
724.00	1230.0
725.00	1222.2
726.00	1194.8
727.00	1159.5
728.00	1179.1
729.00	1096.8
730.00	1128.2
731.00	1069.4
732.00	1018.5
733.00	1045.9
734.00	987.16
735.00	1022.4
736.00	967.57
737.00	912.73
738.00	916.65
739.00	893.15
740.00	873.56
741.00	787.38
742.00	791.30
743.00	752.12
744.00	724.70
745.00	681.61
