Wavelength (nm)	FL037 [8] 491-69-0, Isosakuranin [D]
220.00	17202
221.00	17382
222.00	17500
223.00	17548
224.00	17498
225.00	17330
226.00	17105
227.00	16850
228.00	16507
229.00	16150
230.00	15717
231.00	15223
232.00	14622
233.00	13887
234.00	13023
235.00	12012
236.00	10972
237.00	9774.2
238.00	8578.8
239.00	7396.0
240.00	6369.2
241.00	5805.9
242.00	5571.9
243.00	5458.0
244.00	5387.3
245.00	5347.8
246.00	5323.3
247.00	5332.3
248.00	5357.8
249.00	5407.7
250.00	5465.7
251.00	5583.8
252.00	5703.7
253.00	5859.2
254.00	6027.7
255.00	6217.1
256.00	6419.1
257.00	6621.1
258.00	6892.8
259.00	7192.9
260.00	7493.1
261.00	7862.2
262.00	8254.4
263.00	8654.8
264.00	9074.6
265.00	9494.4
266.00	9875.7
267.00	10247
268.00	10607
269.00	10953
270.00	11296
271.00	11612
272.00	11928
273.00	12244
274.00	12500
275.00	12747
276.00	12991
277.00	13139
278.00	13287
279.00	13407
280.00	13504
281.00	13587
282.00	13637
283.00	13634
284.00	13600
285.00	13528
286.00	13446
287.00	13312
288.00	13134
289.00	12912
290.00	12634
291.00	12346
292.00	11977
293.00	11608
294.00	11239
295.00	10815
296.00	10385
297.00	9943.6
298.00	9497.9
299.00	9052.0
300.00	8587.1
301.00	8122.2
302.00	7758.2
303.00	7414.9
304.00	7098.3
305.00	6838.8
306.00	6582.9
307.00	6369.3
308.00	6155.7
309.00	6027.3
310.00	5901.5
311.00	5788.2
312.00	5710.4
313.00	5632.6
314.00	5586.1
315.00	5549.9
316.00	5519.0
317.00	5512.6
318.00	5506.2
319.00	5507.6
320.00	5513.9
321.00	5520.3
322.00	5529.4
323.00	5547.5
324.00	5565.6
325.00	5583.7
326.00	5600.9
327.00	5617.2
328.00	5633.5
329.00	5650.8
330.00	5670.1
331.00	5689.4
332.00	5705.5
333.00	5719.5
334.00	5724.8
335.00	5718.6
336.00	5702.6
337.00	5670.9
338.00	5632.7
339.00	5570.5
340.00	5507.6
341.00	5421.8
342.00	5336.0
343.00	5245.9
344.00	5143.6
345.00	5041.2
346.00	4939.1
347.00	4837.8
348.00	4736.5
349.00	4635.0
350.00	4529.9
351.00	4424.8
352.00	4319.8
353.00	4214.9
354.00	4110.0
355.00	4003.7
356.00	3897.2
357.00	3796.7
358.00	3712.4
359.00	3628.1
360.00	3542.1
