Wavelength (nm)	L09 abs e
200.00	5311.8
201.00	6507.8
202.00	6168.9
203.00	5461.5
204.00	6091.5
205.00	5621.6
206.00	6019.3
207.00	5931.9
208.00	4973.4
209.00	6115.1
210.00	6776.3
211.00	6807.2
212.00	6976.4
213.00	7667.9
214.00	9461.4
215.00	11152
216.00	11871
217.00	11683
218.00	11159
219.00	10506
220.00	9796.6
221.00	9083.6
222.00	8367.2
223.00	7656.0
224.00	6965.6
225.00	6355.1
226.00	5835.4
227.00	5407.2
228.00	5046.7
229.00	4735.8
230.00	4467.2
231.00	4218.8
232.00	3999.3
233.00	3787.7
234.00	3581.8
235.00	3386.7
236.00	3198.9
237.00	3013.0
238.00	2849.2
239.00	2702.3
240.00	2573.0
241.00	2459.5
242.00	2370.2
243.00	2300.5
244.00	2249.2
245.00	2217.8
246.00	2204.9
247.00	2212.9
248.00	2238.2
249.00	2277.8
250.00	2336.8
251.00	2412.3
252.00	2492.2
253.00	2593.6
254.00	2701.3
255.00	2825.9
256.00	2953.7
257.00	3100.0
258.00	3259.8
259.00	3432.0
260.00	3619.6
261.00	3821.3
262.00	4037.5
263.00	4267.1
264.00	4510.7
265.00	4769.4
266.00	5022.2
267.00	5287.2
268.00	5528.5
269.00	5759.5
270.00	5984.5
271.00	6178.9
272.00	6363.1
273.00	6518.9
274.00	6635.0
275.00	6749.6
276.00	6834.3
277.00	6899.2
278.00	6953.3
279.00	6988.8
280.00	7021.2
281.00	7051.8
282.00	7072.0
283.00	7100.8
284.00	7126.7
285.00	7155.2
286.00	7179.2
287.00	7207.9
288.00	7230.4
289.00	7253.9
290.00	7274.1
291.00	7273.7
292.00	7263.2
293.00	7249.3
294.00	7216.9
295.00	7155.1
296.00	7078.8
297.00	6970.7
298.00	6839.8
299.00	6685.2
300.00	6505.8
301.00	6311.7
302.00	6096.1
303.00	5868.6
304.00	5630.6
305.00	5369.2
306.00	5116.1
307.00	4859.1
308.00	4620.8
309.00	4383.8
310.00	4161.4
311.00	3971.1
312.00	3792.0
313.00	3650.4
314.00	3512.1
315.00	3385.9
316.00	3297.4
317.00	3220.6
318.00	3162.5
319.00	3107.9
320.00	3060.6
321.00	3036.3
322.00	3019.9
323.00	3021.0
324.00	3021.5
325.00	3030.9
326.00	3051.5
327.00	3083.8
328.00	3120.9
329.00	3162.2
330.00	3213.9
331.00	3265.7
332.00	3325.4
333.00	3382.4
334.00	3453.5
335.00	3516.3
336.00	3585.6
337.00	3662.3
338.00	3735.9
339.00	3810.2
340.00	3895.7
341.00	3979.8
342.00	4064.8
343.00	4158.0
344.00	4236.8
345.00	4327.5
346.00	4424.4
347.00	4527.1
348.00	4614.3
349.00	4724.5
350.00	4819.1
351.00	4930.4
352.00	5009.1
353.00	5095.9
354.00	5178.8
355.00	5256.8
356.00	5320.7
357.00	5358.1
358.00	5400.5
359.00	5417.0
360.00	5426.8
361.00	5430.8
362.00	5396.6
363.00	5354.6
364.00	5277.5
365.00	5191.5
366.00	5078.7
367.00	4940.7
368.00	4788.1
369.00	4625.2
370.00	4429.3
371.00	4243.2
372.00	4029.9
373.00	3821.8
374.00	3590.1
375.00	3374.8
376.00	3139.9
377.00	2922.0
378.00	2700.7
379.00	2493.5
380.00	2299.0
381.00	2110.1
382.00	1932.2
383.00	1783.4
384.00	1629.5
385.00	1491.5
386.00	1367.4
387.00	1268.2
388.00	1160.3
389.00	1080.5
390.00	1005.6
391.00	937.59
392.00	876.64
393.00	841.53
394.00	799.32
395.00	772.68
396.00	740.71
397.00	733.40
398.00	718.00
399.00	709.05
400.00	701.78
401.00	698.48
