Wavelength (nm)	J Agric Food Chem 2020_7132, Ob-NCC-35 abs
200.00	0.91673
201.00	0.91613
202.00	0.91602
203.00	0.91673
204.00	0.92102
205.00	0.92809
206.00	0.93948
207.00	0.95160
208.00	0.96382
209.00	0.97624
210.00	0.98595
211.00	0.99343
212.00	0.99873
213.00	1.0000
214.00	0.99673
215.00	0.99149
216.00	0.98447
217.00	0.97508
218.00	0.96038
219.00	0.94318
220.00	0.92445
221.00	0.90573
222.00	0.88644
223.00	0.86634
224.00	0.84624
225.00	0.82838
226.00	0.81076
227.00	0.79448
228.00	0.78263
229.00	0.77079
230.00	0.76252
231.00	0.75520
232.00	0.75000
233.00	0.74634
234.00	0.74267
235.00	0.74131
236.00	0.74019
237.00	0.73906
238.00	0.73837
239.00	0.73774
240.00	0.73711
241.00	0.73646
242.00	0.73579
243.00	0.73296
244.00	0.72820
245.00	0.72078
246.00	0.71219
247.00	0.69982
248.00	0.68662
249.00	0.67014
250.00	0.65350
251.00	0.63441
252.00	0.61531
253.00	0.59343
254.00	0.57036
255.00	0.54770
256.00	0.52840
257.00	0.50910
258.00	0.49035
259.00	0.47495
260.00	0.45955
261.00	0.44806
262.00	0.43727
263.00	0.42647
264.00	0.41843
265.00	0.41104
266.00	0.40365
267.00	0.39787
268.00	0.39260
269.00	0.38733
270.00	0.38206
271.00	0.37869
272.00	0.37541
273.00	0.37214
274.00	0.36886
275.00	0.36576
276.00	0.36267
277.00	0.35958
278.00	0.35648
279.00	0.35399
280.00	0.35153
281.00	0.34998
282.00	0.34846
283.00	0.34799
284.00	0.34928
285.00	0.35169
286.00	0.35536
287.00	0.35949
288.00	0.36451
289.00	0.37105
290.00	0.37871
291.00	0.38734
292.00	0.39600
293.00	0.40804
294.00	0.42007
295.00	0.43298
296.00	0.44623
297.00	0.46016
298.00	0.47585
299.00	0.49153
300.00	0.50722
301.00	0.52272
302.00	0.53800
303.00	0.55329
304.00	0.56812
305.00	0.58246
306.00	0.59680
307.00	0.61047
308.00	0.62332
309.00	0.63375
310.00	0.64271
311.00	0.65004
312.00	0.65575
313.00	0.65954
314.00	0.66157
315.00	0.66298
316.00	0.65701
317.00	0.64963
318.00	0.64103
319.00	0.63167
320.00	0.61676
321.00	0.59886
322.00	0.58056
323.00	0.55898
324.00	0.53734
325.00	0.51403
326.00	0.49058
327.00	0.46493
328.00	0.43480
329.00	0.40447
330.00	0.37334
331.00	0.34230
332.00	0.31265
333.00	0.28300
334.00	0.25446
335.00	0.22622
336.00	0.19893
337.00	0.17263
338.00	0.15107
339.00	0.13279
340.00	0.11460
341.00	0.097438
342.00	0.083041
343.00	0.070369
344.00	0.060163
345.00	0.051058
346.00	0.043054
347.00	0.037692
348.00	0.032476
349.00	0.027408
350.00	0.023793
351.00	0.020556
352.00	0.018419
353.00	0.016281
354.00	0.014398
355.00	0.012987
356.00	0.011576
357.00	0.010913
358.00	0.010316
359.00	0.0097184
360.00	0.0092750
361.00	0.0089183
362.00	0.0085616
363.00	0.0082049
364.00	0.0078664
365.00	0.0075447
366.00	0.0072229
367.00	0.0069012
368.00	0.0065794
369.00	0.0062577
370.00	0.0059756
371.00	0.0057459
372.00	0.0055163
373.00	0.0052867
374.00	0.0050571
375.00	0.0048274
376.00	0.0045998
377.00	0.0044371
378.00	0.0042743
379.00	0.0041116
380.00	0.0039489
381.00	0.0037861
382.00	0.0036243
383.00	0.0035560
384.00	0.0034877
385.00	0.0034193
386.00	0.0033510
387.00	0.0032827
388.00	0.0032144
389.00	0.0031460
390.00	0.0030202
391.00	0.0028833
392.00	0.0027465
393.00	0.0026097
394.00	0.0024728
395.00	0.0023360
396.00	0.0021992
397.00	0.0020661
398.00	0.0019347
399.00	0.0018034
400.00	0.0016721
401.00	0.0016655
402.00	0.0016655
403.00	0.0016655
404.00	0.0016655
405.00	0.0016655
406.00	0.0016655
407.00	0.0016655
408.00	0.0016655
409.00	0.0016655
410.00	0.0016655
411.00	0.0016655
412.00	0.0016655
413.00	0.0016655
414.00	0.0016655
415.00	0.0016655
416.00	0.0016655
417.00	0.0016655
418.00	0.0016655
419.00	0.0016655
420.00	0.0016655
421.00	0.0016655
422.00	0.0016655
423.00	0.0016655
424.00	0.0016655
425.00	0.0016655
426.00	0.0016655
427.00	0.0016655
428.00	0.0016655
429.00	0.0016655
430.00	0.0016655
431.00	0.0016655
432.00	0.0016655
433.00	0.0016655
434.00	0.0016655
435.00	0.0016655
436.00	0.0016655
437.00	0.0016655
438.00	0.0016655
439.00	0.0016655
440.00	0.0016655
441.00	0.0016655
442.00	0.0016655
443.00	0.0016655
444.00	0.0016655
445.00	0.0016655
446.00	0.0016655
447.00	0.0016655
448.00	0.0016655
449.00	0.0016655
450.00	0.0016655
451.00	0.0016655
452.00	0.0016655
453.00	0.0016655
454.00	0.0016655
455.00	0.0016655
456.00	0.0016655
457.00	0.0016655
458.00	0.0016655
459.00	0.0016655
460.00	0.0016655
461.00	0.0016655
462.00	0.0016655
463.00	0.0016655
464.00	0.0016655
465.00	0.0016655
466.00	0.0016655
467.00	0.0016655
468.00	0.0016655
469.00	0.0016655
470.00	0.0016655
471.00	0.0016655
472.00	0.0016655
473.00	0.0016655
474.00	0.0016655
475.00	0.0016655
476.00	0.0016655
477.00	0.0016655
478.00	0.0016655
479.00	0.0016655
480.00	0.0016655
481.00	0.0016655
482.00	0.0016655
483.00	0.0016655
484.00	0.0016655
485.00	0.0016655
486.00	0.0016655
487.00	0.0016655
488.00	0.0016655
489.00	0.0016655
490.00	0.0016655
491.00	0.0016655
492.00	0.0016655
493.00	0.0016655
494.00	0.0016655
495.00	0.0016655
496.00	0.0016655
497.00	0.0016655
498.00	0.0016655
499.00	0.0016655
500.00	0.0016655
