Wavelength (nm)	D01 abs e
220.00	15298
220.25	15577
220.50	15340
220.75	15370
221.00	15358
221.25	15095
221.50	15281
221.75	14898
222.00	14605
222.25	14176
222.50	13768
222.75	13396
223.00	12712
223.25	12234
223.50	11862
223.75	11227
224.00	10507
224.25	10164
224.50	9911.2
224.75	9558.9
225.00	9057.5
225.25	8771.1
225.50	8596.2
225.75	8617.4
226.00	8204.8
226.25	7990.8
226.50	7877.9
226.75	7967.2
227.00	7647.4
227.25	7528.4
227.50	7458.2
227.75	7345.8
228.00	7467.3
228.25	7366.8
228.50	7302.9
228.75	7369.0
229.00	7318.7
229.25	7242.8
229.50	7235.7
229.75	7283.9
230.00	7223.4
230.25	7360.0
230.50	7372.6
230.75	7303.0
231.00	7337.1
231.25	7254.9
231.50	7287.9
231.75	7296.0
232.00	7189.7
232.25	7341.8
232.50	7202.7
232.75	7268.8
233.00	7346.1
233.25	7420.2
233.50	7153.2
233.75	7312.3
234.00	7400.7
234.25	7303.3
234.50	7453.4
234.75	7571.4
235.00	7412.2
235.25	7728.8
235.50	7740.6
235.75	7708.1
236.00	7545.4
236.25	7712.9
236.50	7567.8
236.75	7637.2
237.00	7654.4
237.25	7540.8
237.50	7538.2
237.75	7508.6
238.00	7574.3
238.25	7569.2
238.50	7517.3
238.75	7384.6
239.00	7433.8
239.25	7407.3
239.50	7483.6
239.75	7533.4
240.00	7563.5
240.25	7444.5
240.50	7599.6
240.75	7545.3
241.00	7588.4
241.25	7604.7
241.50	7732.4
241.75	7809.1
242.00	7814.9
242.25	7953.0
242.50	7912.4
242.75	7912.1
243.00	8028.8
243.25	8164.6
243.50	8051.8
243.75	8220.9
244.00	8263.9
244.25	8508.2
244.50	8472.9
244.75	8496.7
245.00	8708.8
245.25	8757.3
245.50	8768.4
245.75	8968.0
246.00	9046.9
246.25	9057.0
246.50	9210.2
246.75	9263.6
247.00	9264.4
247.25	9255.6
247.50	9463.8
247.75	9558.0
248.00	9532.7
248.25	9535.5
248.50	9644.0
248.75	9814.4
249.00	9995.0
249.25	10058
249.50	10090
249.75	10179
250.00	10350
250.25	10447
250.50	10561
250.75	10561
251.00	10564
251.25	10675
251.50	10657
251.75	10810
252.00	10786
252.25	10888
252.50	11094
252.75	11129
253.00	11023
253.25	11247
253.50	11296
253.75	11512
254.00	11497
254.25	11767
254.50	11825
254.75	11902
255.00	12109
255.25	12305
255.50	12331
255.75	12501
256.00	12547
256.25	12596
256.50	12979
256.75	13098
257.00	13224
257.25	13447
257.50	13539
257.75	13608
258.00	13826
258.25	13843
258.50	14011
258.75	14168
259.00	14324
259.25	14596
259.50	14618
259.75	14893
260.00	15143
260.25	15068
260.50	15432
260.75	15573
261.00	15908
261.25	16065
261.50	16540
261.75	16808
262.00	17327
262.25	17454
262.50	17789
262.75	17950
263.00	18269
263.25	18756
263.50	18851
263.75	18969
264.00	19195
264.25	19090
264.50	19012
264.75	18761
265.00	18873
265.25	18647
265.50	18279
265.75	18224
266.00	18067
266.25	18262
266.50	17999
266.75	18210
267.00	18092
267.25	18068
267.50	18300
267.75	18509
268.00	18331
268.25	18567
268.50	18845
268.75	18936
269.00	19263
269.25	19300
269.50	19523
269.75	19741
270.00	20035
270.25	20061
270.50	20303
270.75	20517
271.00	20671
271.25	20666
271.50	20743
271.75	20766
272.00	20837
272.25	20719
272.50	20650
272.75	20586
273.00	20690
273.25	20570
273.50	20769
273.75	20720
274.00	21050
274.25	21017
274.50	21168
274.75	21571
275.00	21718
275.25	22069
275.50	22228
275.75	22573
276.00	23347
276.25	23534
276.50	24361
276.75	24634
277.00	25330
277.25	25751
277.50	25995
277.75	26540
278.00	27031
278.25	27413
278.50	27361
278.75	27600
279.00	27483
279.25	27035
279.50	26487
279.75	25826
280.00	25139
280.25	24229
280.50	23473
280.75	22436
281.00	21809
281.25	20920
281.50	20199
281.75	19683
282.00	19138
282.25	18819
282.50	18360
282.75	17858
283.00	17662
283.25	17467
283.50	17319
283.75	17223
284.00	17272
284.25	17129
284.50	17462
284.75	17398
285.00	17668
285.25	17810
285.50	17891
285.75	18198
286.00	18463
286.25	18603
286.50	19028
286.75	18787
287.00	19015
287.25	19094
287.50	19103
287.75	19161
288.00	19100
288.25	18852
288.50	18597
288.75	18323
289.00	17821
289.25	17735
289.50	17287
