Wavelength (nm)	FL175 [15] R27863015, CC 2015_881, 81 [D]
220.00	4573.1
221.00	4616.4
222.00	4659.7
223.00	4641.2
224.00	4405.1
225.00	4476.9
226.00	4546.7
227.00	4412.7
228.00	4246.3
229.00	4034.5
230.00	4090.2
231.00	4263.0
232.00	4444.1
233.00	4455.6
234.00	4419.4
235.00	4403.4
236.00	4392.9
237.00	4382.4
238.00	4441.1
239.00	4524.1
240.00	4613.0
241.00	4721.8
242.00	4835.4
243.00	4964.1
244.00	5092.8
245.00	5184.4
246.00	5117.9
247.00	5051.4
248.00	5100.8
249.00	5264.4
250.00	5510.0
251.00	5625.2
252.00	5593.6
253.00	5555.8
254.00	5651.3
255.00	5699.5
256.00	5667.1
257.00	5803.1
258.00	5932.7
259.00	6113.2
260.00	6003.9
261.00	6094.3
262.00	6045.2
263.00	6188.6
264.00	6341.1
265.00	6388.0
266.00	6417.5
267.00	6394.8
268.00	6389.8
269.00	6497.5
270.00	6530.2
271.00	6582.4
272.00	6671.0
273.00	6746.9
274.00	6800.4
275.00	6854.6
276.00	6915.0
277.00	6992.2
278.00	7132.4
279.00	7145.1
280.00	7157.9
281.00	7049.3
282.00	7056.4
283.00	7063.5
284.00	6991.0
285.00	6844.9
286.00	6601.3
287.00	6253.5
288.00	5870.9
289.00	5456.2
290.00	5133.1
291.00	4972.8
292.00	4904.8
293.00	4870.6
294.00	4899.4
295.00	4928.1
296.00	4973.0
297.00	5030.6
298.00	5088.3
299.00	5159.1
300.00	5233.6
301.00	5308.2
302.00	5392.7
303.00	5496.5
304.00	5600.3
305.00	5704.8
306.00	5847.9
307.00	5991.0
308.00	6175.9
309.00	6402.7
310.00	6629.5
311.00	6881.1
312.00	7185.2
313.00	7489.3
314.00	7793.4
315.00	8097.5
316.00	8436.2
317.00	8803.1
318.00	9170.0
319.00	9537.0
320.00	9903.9
321.00	10271
322.00	10657
323.00	11048
324.00	11438
325.00	11828
326.00	12218
327.00	12595
328.00	12962
329.00	13328
330.00	13695
331.00	14035
332.00	14317
333.00	14599
334.00	14881
335.00	15143
336.00	15385
337.00	15605
338.00	15801
339.00	15974
340.00	16074
341.00	16174
342.00	16274
343.00	16346
344.00	16373
345.00	16400
346.00	16370
347.00	16340
348.00	16274
349.00	16186
350.00	16098
351.00	15929
352.00	15725
353.00	15521
354.00	15280
355.00	15036
356.00	14791
357.00	14476
358.00	14134
359.00	13788
360.00	13423
361.00	13058
362.00	12638
363.00	12146
364.00	11653
365.00	11161
366.00	10717
367.00	10292
368.00	9867.3
369.00	9442.4
370.00	9017.5
371.00	8592.6
372.00	8154.6
373.00	7712.3
374.00	7270.1
375.00	6827.9
376.00	6429.2
377.00	6070.8
378.00	5712.4
379.00	5353.9
380.00	4989.6
381.00	4620.3
382.00	4250.9
383.00	3881.6
384.00	3596.1
385.00	3327.8
386.00	3059.5
387.00	2791.2
388.00	2542.8
389.00	2337.0
390.00	2131.1
391.00	1925.2
392.00	1734.7
393.00	1572.8
394.00	1410.8
395.00	1263.0
396.00	1133.8
397.00	1004.6
398.00	891.01
399.00	801.68
400.00	712.35
401.00	632.86
402.00	572.47
403.00	512.08
404.00	451.68
405.00	414.76
406.00	380.74
407.00	346.72
408.00	312.70
409.00	286.69
410.00	264.99
411.00	243.29
412.00	221.59
413.00	199.88
414.00	183.20
415.00	171.95
416.00	160.71
417.00	149.46
418.00	138.21
419.00	126.97
420.00	118.94
421.00	111.83
422.00	104.71
423.00	97.599
424.00	90.484
425.00	83.369
426.00	76.254
427.00	69.139
428.00	62.024
429.00	58.870
430.00	56.898
431.00	54.926
432.00	52.954
433.00	50.983
434.00	49.011
435.00	47.039
436.00	45.067
437.00	43.096
438.00	41.124
439.00	39.152
440.00	37.180
441.00	34.349
442.00	30.894
443.00	27.439
444.00	23.985
445.00	20.530
446.00	17.076
447.00	13.621
448.00	10.167
449.00	6.7119
450.00	3.2573
