Wavelength (nm)	P05 abs e
445.50	1348.8
445.75	1498.9
446.00	1347.9
446.25	1391.8
446.50	1478.7
446.75	1452.3
447.00	1462.6
447.25	1631.0
447.50	1639.7
447.75	1659.4
448.00	1605.9
448.25	1641.3
448.50	1653.6
448.75	1737.5
449.00	1766.1
449.25	1792.8
449.50	1767.2
449.75	1835.7
450.00	1902.9
450.25	1875.3
450.50	1943.0
450.75	1898.5
451.00	2044.5
451.25	1985.8
451.50	1923.2
451.75	1983.8
452.00	2120.2
452.25	1996.5
452.50	2161.9
452.75	2169.3
453.00	2187.3
453.25	2179.8
453.50	2205.7
453.75	2259.1
454.00	2314.9
454.25	2369.1
454.50	2338.7
454.75	2308.5
455.00	2466.7
455.25	2430.7
455.50	2462.1
455.75	2531.0
456.00	2549.8
456.25	2494.0
456.50	2609.0
456.75	2571.0
457.00	2595.9
457.25	2691.6
457.50	2710.6
457.75	2781.8
458.00	2734.1
458.25	2746.2
458.50	2917.5
458.75	2772.5
459.00	2886.5
459.25	2952.0
459.50	2951.3
459.75	3005.0
460.00	3088.5
460.25	3008.2
460.50	3089.8
460.75	3125.3
461.00	3182.4
461.25	3169.1
461.50	3261.8
461.75	3207.7
462.00	3421.2
462.25	3370.6
462.50	3373.1
462.75	3479.3
463.00	3490.5
463.25	3503.5
463.50	3495.9
463.75	3553.9
464.00	3624.8
464.25	3649.3
464.50	3653.1
464.75	3776.8
465.00	3800.4
465.25	3933.6
465.50	3892.1
465.75	3898.3
466.00	4007.7
466.25	4083.2
466.50	4055.1
466.75	4150.8
467.00	4185.5
467.25	4241.9
467.50	4358.1
467.75	4355.1
468.00	4519.6
468.25	4641.9
468.50	4662.4
468.75	4688.7
469.00	4819.6
469.25	4833.0
469.50	4908.8
469.75	5062.3
470.00	5129.0
470.25	5200.3
470.50	5394.6
470.75	5444.5
471.00	5508.8
471.25	5699.8
471.50	5770.4
471.75	5877.4
472.00	5924.8
472.25	6097.6
472.50	6162.2
472.75	6270.3
473.00	6394.7
473.25	6546.8
473.50	6720.8
473.75	6827.4
474.00	6982.6
474.25	7049.7
474.50	7213.6
474.75	7307.8
475.00	7499.3
475.25	7661.9
475.50	7847.0
475.75	8038.2
476.00	8272.0
476.25	8383.5
476.50	8605.9
476.75	8798.2
477.00	8924.2
477.25	9035.7
477.50	9164.2
477.75	9347.0
478.00	9394.2
478.25	9621.3
478.50	9736.7
478.75	9775.8
479.00	10024
479.25	10098
479.50	10380
479.75	10501
480.00	10656
480.25	10786
480.50	10837
480.75	11017
481.00	11215
481.25	11339
481.50	11340
481.75	11471
482.00	11726
482.25	11698
482.50	11888
482.75	12102
483.00	12145
483.25	12290
483.50	12331
483.75	12462
484.00	12587
484.25	12716
484.50	12733
484.75	12942
485.00	12884
485.25	13025
485.50	13053
485.75	13085
486.00	13312
486.25	13364
486.50	13511
486.75	13570
487.00	13681
487.25	13658
487.50	13550
487.75	13747
488.00	13752
488.25	13902
488.50	13852
488.75	13830
489.00	14012
489.25	14022
489.50	14008
489.75	14080
490.00	14207
490.25	14272
490.50	14228
490.75	14260
491.00	14209
491.25	14303
491.50	14401
491.75	14516
492.00	14535
492.25	14567
492.50	14776
492.75	14704
493.00	14803
493.25	14776
493.50	14832
493.75	14934
494.00	15109
494.25	15034
494.50	15130
494.75	15253
495.00	15300
495.25	15309
495.50	15464
495.75	15519
496.00	15690
496.25	15880
496.50	15934
496.75	16124
497.00	16267
497.25	16418
497.50	16643
497.75	16867
498.00	16945
498.25	17232
498.50	17495
498.75	17598
499.00	17853
499.25	18066
499.50	18453
499.75	18733
500.00	18987
500.25	19298
500.50	19721
500.75	19956
501.00	20359
501.25	20745
501.50	21068
501.75	21574
502.00	21948
502.25	22303
502.50	22739
502.75	23291
503.00	23737
503.25	24198
503.50	24725
503.75	25193
504.00	25556
504.25	26334
504.50	26767
504.75	27389
505.00	27867
505.25	28675
505.50	29068
505.75	29736
506.00	30495
506.25	31045
506.50	31637
506.75	32176
507.00	32962
507.25	33460
507.50	34086
507.75	34748
508.00	35540
508.25	35959
508.50	36791
508.75	37469
509.00	38085
509.25	38716
509.50	39473
509.75	40064
510.00	40439
510.25	41109
510.50	41697
510.75	42273
511.00	42934
511.25	43477
511.50	44094
511.75	44392
512.00	44969
512.25	45339
512.50	45884
512.75	46282
513.00	46603
513.25	46953
513.50	47167
513.75	47409
514.00	47753
514.25	47932
514.50	48349
514.75	48199
515.00	48543
515.25	48526
515.50	48594
515.75	48800
516.00	48689
516.25	48508
516.50	48563
516.75	48252
517.00	48232
517.25	48058
517.50	47677
517.75	47433
518.00	47268
518.25	46844
518.50	46709
518.75	46191
519.00	45746
519.25	45419
519.50	45048
519.75	44390
520.00	44184
520.25	43566
520.50	43060
520.75	42291
521.00	41886
521.25	41244
521.50	40862
521.75	40273
522.00	39513
522.25	38700
522.50	38338
522.75	37591
523.00	37064
523.25	36148
523.50	35515
523.75	34875
524.00	34423
524.25	33590
524.50	32884
524.75	32160
525.00	31624
525.25	30922
525.50	30164
525.75	29470
526.00	28724
526.25	27965
526.50	27457
526.75	26617
527.00	26008
527.25	25426
527.50	24716
527.75	24030
528.00	23325
528.25	22818
528.50	22209
528.75	21471
529.00	20742
529.25	20048
529.50	19587
529.75	19118
530.00	18473
530.25	17947
530.50	17280
530.75	16787
531.00	16218
531.25	15700
531.50	15199
531.75	14677
532.00	14161
532.25	13790
532.50	13331
532.75	12849
533.00	12372
533.25	11887
533.50	11448
533.75	11041
534.00	10734
534.25	10474
534.50	10423
534.75	10068
535.00	9737.6
535.25	9395.2
535.50	9027.9
535.75	8670.6
536.00	8343.0
536.25	8106.1
536.50	7832.7
536.75	7371.9
537.00	7144.6
537.25	6934.8
537.50	6600.0
537.75	6360.0
538.00	6106.4
538.25	5830.0
538.50	5639.8
538.75	5377.6
539.00	5189.1
539.25	5030.3
539.50	4810.8
539.75	4637.0
540.00	4394.6
540.25	4192.3
540.50	4043.5
540.75	3844.6
541.00	3694.4
541.25	3524.4
541.50	3362.1
541.75	3282.7
542.00	3144.3
542.25	2948.9
542.50	2864.5
542.75	2804.6
543.00	2662.2
543.25	2497.3
543.50	2355.2
543.75	2397.2
544.00	2159.8
544.25	2164.0
544.50	2011.3
544.75	1943.7
545.00	1873.9
545.25	1810.7
545.50	1801.9
545.75	1631.6
546.00	1560.4
546.25	1502.0
546.50	1436.6
546.75	1382.1
547.00	1358.3
547.25	1257.7
547.50	1240.1
547.75	1237.3
548.00	1143.5
548.25	1055.0
548.50	1061.9
548.75	961.25
549.00	991.85
549.25	878.94
549.50	818.66
549.75	857.64
550.00	871.11
550.25	841.84
550.50	757.79
550.75	807.94
551.00	743.31
551.25	737.13
551.50	633.47
551.75	558.13
552.00	548.46
552.25	594.86
552.50	554.97
552.75	512.87
553.00	500.50
553.25	506.50
553.50	418.01
553.75	407.48
554.00	577.41
554.25	512.46
554.50	386.27
554.75	323.10
555.00	371.15
555.25	407.06
555.50	341.47
555.75	366.39
556.00	318.84
556.25	217.66
556.50	290.22
556.75	226.32
557.00	300.84
557.25	340.92
557.50	241.21
557.75	264.38
558.00	198.47
558.25	216.11
558.50	179.87
558.75	155.60
559.00	208.59
559.25	297.04
559.50	206.44
559.75	167.55
560.00	161.55
560.25	134.39
560.50	161.32
560.75	278.99
561.00	129.95
561.25	119.05
561.50	167.64
561.75	165.31
562.00	131.60
562.25	159.45
562.50	160.54
562.75	207.72
563.00	165.40
563.25	149.14
563.50	162.88
563.75	139.84
564.00	91.151
564.25	151.02
564.50	207.91
564.75	81.898
565.00	91.197
565.25	61.057
565.50	97.518
565.75	131.46
566.00	135.35
566.25	58.950
566.50	102.14
566.75	29.315
567.00	124.50
567.25	42.003
567.50	144.10
567.75	38.018
568.00	122.44
568.25	55.469
568.50	127.38
568.75	69.119
569.00	-19.375
569.25	58.538
569.50	-68.661
569.75	128.07
570.00	79.516
570.25	133.93
570.50	91.197
570.75	75.302
571.00	-25.925
571.25	133.02
571.50	28.903
571.75	-14.337
572.00	99.579
572.25	75.394
572.50	60.828
572.75	30.139
573.00	13.604
573.25	188.16
573.50	91.838
573.75	7.4203
574.00	167.23
574.25	-3.7560
574.50	53.500
574.75	17.314
575.00	52.125
575.25	130.68
575.50	60.141
575.75	60.416
576.00	44.751
576.25	57.622
576.50	89.273
576.75	28.216
577.00	-32.200
577.25	160.41
577.50	-0.59546
577.75	43.697
578.00	91.013
578.25	74.799
578.50	32.567
578.75	113.50
579.00	181.39
579.25	42.048
579.50	12.596
579.75	-7.6951
580.00	88.586
580.25	29.315
580.50	-29.956
580.75	140.71
581.00	85.975
581.25	122.07
581.50	53.683
581.75	38.201
582.00	80.249
582.25	46.171
582.50	49.286
582.75	52.904
583.00	132.10
583.25	94.723
583.50	174.79
583.75	69.760
584.00	148.18
584.25	59.408
584.50	139.75
584.75	2.7941
585.00	85.929
585.25	103.88
585.50	43.789
585.75	40.949
586.00	74.157
586.25	68.157
586.50	-16.077
586.75	65.821
587.00	94.861
587.25	37.972
587.50	13.650
587.75	-20.795
588.00	46.033
588.25	91.884
588.50	14.154
588.75	99.899
589.00	41.865
589.25	104.34
589.50	45.713
589.75	91.609
590.00	96.601
590.25	64.218
590.50	36.552
590.75	21.345
591.00	44.247
591.25	176.99
591.50	49.789
591.75	74.982
592.00	139.84
592.25	56.752
592.50	130.41
592.75	53.362
593.00	97.792
593.25	17.360
593.50	111.26
593.75	70.630
594.00	62.889
594.25	154.36
594.50	10.214
594.75	129.49
595.00	84.326
595.25	96.830
595.50	119.60
595.75	-2.1986
596.00	58.492
596.25	63.531
596.50	106.31
596.75	68.615
597.00	107.09
597.25	96.968
597.50	97.380
597.75	107.41
598.00	82.219
598.25	22.215
598.50	-7.8784
598.75	103.15
599.00	132.28
599.25	66.645
599.50	128.25
599.75	81.715
600.00	34.674
