Wavelength (nm)	EtioP I (in DMF).abs
300.00	0.042219
301.00	0.042578
302.00	0.042947
303.00	0.044393
304.00	0.044199
305.00	0.044830
306.00	0.046562
307.00	0.048022
308.00	0.049648
309.00	0.051448
310.00	0.051725
311.00	0.052945
312.00	0.054304
313.00	0.055639
314.00	0.057583
315.00	0.059061
316.00	0.061166
317.00	0.062124
318.00	0.064325
319.00	0.066061
320.00	0.068189
321.00	0.069764
322.00	0.071648
323.00	0.073338
324.00	0.075779
325.00	0.077566
326.00	0.079380
327.00	0.081208
328.00	0.082641
329.00	0.084036
330.00	0.085924
331.00	0.087919
332.00	0.089807
333.00	0.091718
334.00	0.094306
335.00	0.096779
336.00	0.10043
337.00	0.10429
338.00	0.10867
339.00	0.11403
340.00	0.11906
341.00	0.12488
342.00	0.13199
343.00	0.13931
344.00	0.14695
345.00	0.15452
346.00	0.16242
347.00	0.17099
348.00	0.17895
349.00	0.18718
350.00	0.19395
351.00	0.20130
352.00	0.20922
353.00	0.21650
354.00	0.22472
355.00	0.23531
356.00	0.24736
357.00	0.26013
358.00	0.27382
359.00	0.28770
360.00	0.30401
361.00	0.32200
362.00	0.34136
363.00	0.36230
364.00	0.38406
365.00	0.40676
366.00	0.43047
367.00	0.45560
368.00	0.48113
369.00	0.50539
370.00	0.52789
371.00	0.54791
372.00	0.56688
373.00	0.58200
374.00	0.59548
375.00	0.60667
376.00	0.61634
377.00	0.62459
378.00	0.63513
379.00	0.64812
380.00	0.66148
381.00	0.67706
382.00	0.69625
383.00	0.71720
384.00	0.73940
385.00	0.76391
386.00	0.78736
387.00	0.81713
388.00	0.84797
389.00	0.87267
390.00	0.89700
391.00	0.92179
392.00	0.95057
393.00	0.97921
394.00	0.98794
395.00	0.99804
396.00	1.0000
397.00	0.99908
398.00	0.99644
399.00	0.98179
400.00	0.95334
401.00	0.91884
402.00	0.87896
403.00	0.83549
404.00	0.79010
405.00	0.74528
406.00	0.69378
407.00	0.63761
408.00	0.58437
409.00	0.53456
410.00	0.48811
411.00	0.44294
412.00	0.40311
413.00	0.36694
414.00	0.32951
415.00	0.29352
416.00	0.26264
417.00	0.23622
418.00	0.21075
419.00	0.18894
420.00	0.17001
421.00	0.15878
422.00	0.14573
423.00	0.12934
424.00	0.11216
425.00	0.099672
426.00	0.085188
427.00	0.079454
428.00	0.072431
429.00	0.070367
430.00	0.066895
431.00	0.066738
432.00	0.051573
433.00	0.042836
434.00	0.034629
435.00	0.032368
436.00	0.034243
437.00	0.034376
438.00	0.031272
439.00	0.028458
440.00	0.025580
441.00	0.026754
442.00	0.021167
443.00	0.022886
444.00	0.021380
445.00	0.018801
446.00	0.018637
447.00	0.016348
448.00	0.018154
449.00	0.016058
450.00	0.015730
451.00	0.013760
452.00	0.013151
453.00	0.012201
454.00	0.011363
455.00	0.0091332
456.00	0.0088048
457.00	0.011833
458.00	0.013663
459.00	0.015324
460.00	0.014020
461.00	0.015595
462.00	0.013470
463.00	0.014184
464.00	0.017700
465.00	0.020327
466.00	0.022061
467.00	0.020945
468.00	0.022292
469.00	0.020694
470.00	0.016696
471.00	0.016686
472.00	0.019458
473.00	0.022692
474.00	0.021923
475.00	0.023996
476.00	0.026777
477.00	0.027077
478.00	0.027077
479.00	0.028389
480.00	0.032935
481.00	0.036900
482.00	0.041003
483.00	0.045167
484.00	0.049169
485.00	0.059296
486.00	0.051379
487.00	0.059867
488.00	0.066467
489.00	0.068825
490.00	0.074526
491.00	0.078141
492.00	0.081001
493.00	0.082668
494.00	0.085805
495.00	0.088508
496.00	0.092915
497.00	0.093883
498.00	0.091303
499.00	0.087997
500.00	0.084842
501.00	0.085247
502.00	0.084137
503.00	0.080020
504.00	0.073895
505.00	0.067830
506.00	0.060558
507.00	0.055220
508.00	0.051218
509.00	0.044909
510.00	0.041109
511.00	0.037697
512.00	0.034602
513.00	0.031304
514.00	0.029094
515.00	0.027496
516.00	0.026874
517.00	0.026713
518.00	0.029135
519.00	0.032433
520.00	0.035440
521.00	0.038245
522.00	0.042611
523.00	0.048828
524.00	0.054133
525.00	0.058393
526.00	0.062091
527.00	0.065067
528.00	0.067756
529.00	0.068751
530.00	0.067996
531.00	0.067572
532.00	0.064532
533.00	0.062483
534.00	0.059835
535.00	0.056197
536.00	0.050707
537.00	0.046419
538.00	0.042191
539.00	0.036937
540.00	0.033156
541.00	0.030024
542.00	0.028021
543.00	0.025686
544.00	0.023434
545.00	0.022757
546.00	0.021013
547.00	0.021438
548.00	0.021545
549.00	0.019873
550.00	0.019062
551.00	0.019323
552.00	0.020462
553.00	0.020810
554.00	0.020810
555.00	0.022577
556.00	0.023549
557.00	0.024525
558.00	0.026096
559.00	0.026326
560.00	0.029490
561.00	0.032410
562.00	0.035900
563.00	0.041082
564.00	0.047087
565.00	0.050463
566.00	0.050113
567.00	0.049182
568.00	0.046631
569.00	0.045530
570.00	0.043393
571.00	0.045982
572.00	0.049229
573.00	0.045627
574.00	0.044204
575.00	0.047957
576.00	0.046364
577.00	0.038318
578.00	0.043481
579.00	0.036725
580.00	0.037107
581.00	0.033280
582.00	0.036126
583.00	0.019487
584.00	0.021923
585.00	0.023599
586.00	0.019381
587.00	0.016174
588.00	0.015962
589.00	0.015913
590.00	0.013817
591.00	0.014667
592.00	0.018917
593.00	0.023019
594.00	0.018695
595.00	0.017700
596.00	0.015585
597.00	0.014600
598.00	0.015962
599.00	0.019361
600.00	0.015826
601.00	0.015855
602.00	0.011625
603.00	0.010012
604.00	0.013083
605.00	0.013875
606.00	0.014310
607.00	0.015701
608.00	0.018028
609.00	0.016039
610.00	0.018299
611.00	0.016850
612.00	0.017951
613.00	0.018502
614.00	0.019719
615.00	0.022559
616.00	0.027219
617.00	0.028053
618.00	0.031341
619.00	0.035841
620.00	0.038521
621.00	0.035702
622.00	0.033920
623.00	0.028716
624.00	0.024336
625.00	0.019468
626.00	0.012574
627.00	0.0086406
628.00	0.0076555
629.00	0.0076748
630.00	0.0068152
