Wavelength (nm)	Angew 2007_8699, NCC 2 abs [Z]
200.00	0.73246
201.00	0.73773
202.00	0.74338
203.00	0.75284
204.00	0.76578
205.00	0.78374
206.00	0.80624
207.00	0.83128
208.00	0.85735
209.00	0.88474
210.00	0.91213
211.00	0.93603
212.00	0.95643
213.00	0.97169
214.00	0.98633
215.00	0.99520
216.00	1.0000
217.00	0.99543
218.00	0.98891
219.00	0.98083
220.00	0.95690
221.00	0.93527
222.00	0.91454
223.00	0.89307
224.00	0.86843
225.00	0.84380
226.00	0.82052
227.00	0.80000
228.00	0.77947
229.00	0.76436
230.00	0.75059
231.00	0.73972
232.00	0.73141
233.00	0.72391
234.00	0.72036
235.00	0.71756
236.00	0.71726
237.00	0.71768
238.00	0.71893
239.00	0.72073
240.00	0.72353
241.00	0.72615
242.00	0.72675
243.00	0.72681
244.00	0.72567
245.00	0.72251
246.00	0.71688
247.00	0.70699
248.00	0.69635
249.00	0.68200
250.00	0.66574
251.00	0.64948
252.00	0.63043
253.00	0.60976
254.00	0.58908
255.00	0.56751
256.00	0.54564
257.00	0.52499
258.00	0.50815
259.00	0.49132
260.00	0.47465
261.00	0.46329
262.00	0.45193
263.00	0.44056
264.00	0.43012
265.00	0.42448
266.00	0.41885
267.00	0.41321
268.00	0.40902
269.00	0.40505
270.00	0.40107
271.00	0.39876
272.00	0.39728
273.00	0.39579
274.00	0.39462
275.00	0.39382
276.00	0.39302
277.00	0.39221
278.00	0.39207
279.00	0.39257
280.00	0.39306
281.00	0.39412
282.00	0.39648
283.00	0.39884
284.00	0.40120
285.00	0.40356
286.00	0.40790
287.00	0.41362
288.00	0.41933
289.00	0.42505
290.00	0.43406
291.00	0.44394
292.00	0.45382
293.00	0.46383
294.00	0.47516
295.00	0.48649
296.00	0.49782
297.00	0.50960
298.00	0.52165
299.00	0.53369
300.00	0.54574
301.00	0.55897
302.00	0.57257
303.00	0.58618
304.00	0.59978
305.00	0.61288
306.00	0.62576
307.00	0.63864
308.00	0.64991
309.00	0.65895
310.00	0.66800
311.00	0.67655
312.00	0.68206
313.00	0.68701
314.00	0.68796
315.00	0.68680
316.00	0.68504
317.00	0.68034
318.00	0.67309
319.00	0.66294
320.00	0.64987
321.00	0.63681
322.00	0.61927
323.00	0.60099
324.00	0.58272
325.00	0.55717
326.00	0.53155
327.00	0.50598
328.00	0.48044
329.00	0.45490
330.00	0.42370
331.00	0.39080
332.00	0.35987
333.00	0.33036
334.00	0.30098
335.00	0.27190
336.00	0.24282
337.00	0.21642
338.00	0.19343
339.00	0.17044
340.00	0.14876
341.00	0.12843
342.00	0.10833
343.00	0.093628
344.00	0.078925
345.00	0.066975
346.00	0.055847
347.00	0.047421
348.00	0.040952
349.00	0.034483
350.00	0.029084
351.00	0.024559
352.00	0.020035
353.00	0.015511
354.00	0.013386
355.00	0.011469
356.00	0.0095526
357.00	0.0076977
358.00	0.0070150
359.00	0.0063323
360.00	0.0056495
361.00	0.0050440
362.00	0.0048152
363.00	0.0045863
364.00	0.0043575
365.00	0.0041287
366.00	0.0037695
367.00	0.0032993
368.00	0.0028291
369.00	0.0024131
370.00	0.0022820
371.00	0.0021508
372.00	0.0020197
373.00	0.0019043
374.00	0.0019043
375.00	0.0019043
376.00	0.0019043
377.00	0.0019043
378.00	0.0019043
379.00	0.0019043
380.00	0.0019043
381.00	0.0019043
382.00	0.0019043
383.00	0.0019043
384.00	0.0019043
385.00	0.0019043
386.00	0.0019043
387.00	0.0019043
388.00	0.0019043
389.00	0.0019043
390.00	0.0019043
391.00	0.0019043
392.00	0.0019043
393.00	0.0019043
394.00	0.0019043
395.00	0.0019043
396.00	0.0019043
397.00	0.0019043
398.00	0.0019043
399.00	0.0019043
400.00	0.0019043
