Wavelength (nm)	FL141 [12] 93655-95-9, JCS 1951_3136, A5 [D]
220.00	18985
221.00	18597
222.00	18259
223.00	17917
224.00	17569
225.00	17229
226.00	16896
227.00	16580
228.00	16279
229.00	16002
230.00	15736
231.00	15520
232.00	15328
233.00	15161
234.00	15007
235.00	14879
236.00	14809
237.00	14759
238.00	14784
239.00	14849
240.00	14987
241.00	15125
242.00	15329
243.00	15574
244.00	15876
245.00	16252
246.00	16721
247.00	17255
248.00	17798
249.00	18345
250.00	18926
251.00	19500
252.00	20056
253.00	20565
254.00	20783
255.00	20900
256.00	20710
257.00	20352
258.00	19968
259.00	19511
260.00	19054
261.00	18627
262.00	18194
263.00	17693
264.00	17242
265.00	16950
266.00	16695
267.00	16497
268.00	16316
269.00	16177
270.00	15868
271.00	15413
272.00	14608
273.00	13803
274.00	12871
275.00	11919
276.00	10947
277.00	10068
278.00	9344.5
279.00	8710.1
280.00	8270.1
281.00	7870.4
282.00	7514.4
283.00	7288.4
284.00	7082.9
285.00	7006.8
286.00	7010.1
287.00	7155.9
288.00	7665.7
289.00	8080.8
290.00	8333.1
291.00	8457.4
292.00	8536.0
293.00	8601.1
294.00	8652.0
295.00	8703.0
296.00	8751.7
297.00	8796.8
298.00	8841.9
299.00	8886.9
300.00	8932.0
301.00	8979.4
302.00	9045.5
303.00	9111.5
304.00	9177.6
305.00	9254.5
306.00	9336.8
307.00	9419.1
308.00	9504.1
309.00	9623.7
310.00	9743.2
311.00	9862.8
312.00	10028
313.00	10204
314.00	10380
315.00	10556
316.00	10732
317.00	10945
318.00	11158
319.00	11370
320.00	11583
321.00	11861
322.00	12152
323.00	12444
324.00	12741
325.00	13056
326.00	13371
327.00	13686
328.00	14001
329.00	14318
330.00	14636
331.00	14955
332.00	15274
333.00	15587
334.00	15846
335.00	16104
336.00	16363
337.00	16622
338.00	16880
339.00	17118
340.00	17348
341.00	17577
342.00	17807
343.00	18034
344.00	18250
345.00	18467
346.00	18672
347.00	18831
348.00	18990
349.00	19112
350.00	19163
351.00	19208
352.00	19234
353.00	19261
354.00	19171
355.00	19062
356.00	18906
357.00	18750
358.00	18592
359.00	18433
360.00	18273
361.00	18085
362.00	17858
363.00	17631
364.00	17375
365.00	17057
366.00	16739
367.00	16363
368.00	15901
369.00	15438
370.00	14965
371.00	14487
372.00	14009
373.00	13496
374.00	12977
375.00	12454
376.00	11881
377.00	11308
378.00	10739
379.00	10172
380.00	9650.1
381.00	9219.9
382.00	8789.8
