Wavelength (nm)	FL098 [11] 481-46-9, Ginkgetin [D]
225.00	41798
226.00	41140
227.00	40418
228.00	39532
229.00	38568
230.00	37481
231.00	36322
232.00	35050
233.00	33726
234.00	32401
235.00	30853
236.00	29281
237.00	27882
238.00	26475
239.00	25018
240.00	23581
241.00	22183
242.00	20943
243.00	19773
244.00	18668
245.00	17775
246.00	17003
247.00	16321
248.00	15800
249.00	15458
250.00	15295
251.00	15217
252.00	15407
253.00	15753
254.00	16227
255.00	16886
256.00	17560
257.00	18315
258.00	19126
259.00	20169
260.00	21436
261.00	22851
262.00	24269
263.00	25648
264.00	27085
265.00	28783
266.00	30417
267.00	31983
268.00	33714
269.00	35605
270.00	37452
271.00	38836
272.00	39634
273.00	40191
274.00	40493
275.00	40769
276.00	40434
277.00	39895
278.00	39006
279.00	38060
280.00	36738
281.00	35317
282.00	33874
283.00	32525
284.00	31289
285.00	30385
286.00	29522
287.00	29014
288.00	28506
289.00	28182
290.00	27883
291.00	27676
292.00	27479
293.00	27424
294.00	27397
295.00	27479
296.00	27615
297.00	27751
298.00	27926
299.00	28217
300.00	28508
301.00	28799
302.00	29090
303.00	29434
304.00	29782
305.00	30130
306.00	30478
307.00	30915
308.00	31356
309.00	31796
310.00	32216
311.00	32619
312.00	33021
313.00	33502
314.00	34164
315.00	34791
316.00	35195
317.00	35599
318.00	36003
319.00	36408
320.00	36812
321.00	37250
322.00	37701
323.00	38152
324.00	38532
325.00	38807
326.00	39081
327.00	39360
328.00	39643
329.00	39926
330.00	40190
331.00	40367
332.00	40544
333.00	40666
334.00	40666
335.00	40666
336.00	40635
337.00	40543
338.00	40451
339.00	40316
340.00	40145
341.00	39915
342.00	39640
343.00	39355
344.00	39005
345.00	38654
346.00	38177
347.00	37668
348.00	37159
349.00	36644
350.00	36127
351.00	35559
352.00	34873
353.00	34188
354.00	33505
355.00	32826
356.00	32106
357.00	31201
358.00	30296
359.00	29450
360.00	28607
361.00	27765
362.00	26838
363.00	25873
364.00	24908
365.00	23927
366.00	22944
367.00	21966
368.00	20994
369.00	20009
370.00	18935
371.00	17860
372.00	16797
373.00	15744
374.00	14717
375.00	13698
376.00	12643
377.00	11584
378.00	10538
379.00	9650.3
380.00	8973.6
381.00	8296.9
382.00	7723.8
383.00	7150.6
384.00	6673.3
385.00	6265.2
386.00	5857.2
387.00	5454.5
388.00	5062.0
389.00	4669.6
390.00	4327.2
391.00	4013.0
392.00	3703.6
393.00	3425.6
394.00	3157.8
395.00	2921.9
396.00	2747.2
397.00	2686.1
398.00	2625.1
399.00	2564.0
400.00	2502.9
