Wavelength (nm)	FL173 [15] 479-13-0, Coumestrol [C]
210.00	37146
211.00	34554
212.00	32083
213.00	29778
214.00	27607
215.00	25532
216.00	23684
217.00	21953
218.00	20411
219.00	18975
220.00	17673
221.00	16446
222.00	15301
223.00	14219
224.00	13308
225.00	12592
226.00	12155
227.00	11973
228.00	12021
229.00	12232
230.00	12607
231.00	13074
232.00	13617
233.00	14251
234.00	14936
235.00	15633
236.00	16325
237.00	16969
238.00	17531
239.00	18016
240.00	18433
241.00	18799
242.00	19115
243.00	19333
244.00	19409
245.00	19323
246.00	19050
247.00	18621
248.00	18091
249.00	17503
250.00	16910
251.00	16350
252.00	15872
253.00	15449
254.00	15090
255.00	14756
256.00	14399
257.00	14027
258.00	13655
259.00	13298
260.00	12974
261.00	12646
262.00	12318
263.00	11993
264.00	11640
265.00	11239
266.00	10706
267.00	9983.7
268.00	9106.7
269.00	8173.9
270.00	7281.2
271.00	6490.2
272.00	5852.9
273.00	5339.1
274.00	4926.9
275.00	4599.7
276.00	4331.4
277.00	4124.6
278.00	3972.1
279.00	3854.5
280.00	3750.5
281.00	3658.3
282.00	3582.3
283.00	3525.3
284.00	3497.1
285.00	3506.9
286.00	3556.0
287.00	3641.9
288.00	3782.6
289.00	3965.9
290.00	4165.5
291.00	4367.7
292.00	4515.2
293.00	4615.7
294.00	4677.6
295.00	4740.1
296.00	4843.1
297.00	4984.8
298.00	5179.0
299.00	5439.7
300.00	5799.9
301.00	6307.1
302.00	6893.7
303.00	7383.3
304.00	7584.5
305.00	7447.3
306.00	7137.7
307.00	6803.2
308.00	6601.0
309.00	6537.5
310.00	6600.9
311.00	6789.5
312.00	7064.4
313.00	7395.4
314.00	7799.9
315.00	8245.9
316.00	8720.0
317.00	9246.1
318.00	9783.8
319.00	10350
320.00	10952
321.00	11566
322.00	12196
323.00	12847
324.00	13474
325.00	14098
326.00	14692
327.00	15260
328.00	15819
329.00	16381
330.00	16916
331.00	17434
332.00	17970
333.00	18509
334.00	19062
335.00	19625
336.00	20197
337.00	20730
338.00	21267
339.00	21741
340.00	22127
341.00	22447
342.00	22686
343.00	22797
344.00	22800
345.00	22706
346.00	22511
347.00	22222
348.00	21883
349.00	21586
350.00	21259
351.00	20966
352.00	20687
353.00	20441
354.00	20166
355.00	19905
356.00	19699
357.00	19476
358.00	19213
359.00	18857
360.00	18330
361.00	17675
362.00	16853
363.00	15895
364.00	14792
365.00	13610
366.00	12315
367.00	11003
368.00	9713.5
369.00	8461.5
370.00	7307.8
371.00	6229.7
372.00	5234.5
373.00	4374.6
374.00	3619.8
375.00	2954.5
376.00	2407.1
377.00	1936.9
378.00	1558.8
379.00	1255.2
380.00	1011.8
381.00	822.33
382.00	657.01
383.00	524.90
384.00	429.13
385.00	337.93
386.00	280.00
387.00	240.90
388.00	188.59
389.00	159.90
390.00	127.27
391.00	104.13
392.00	91.627
393.00	77.659
394.00	68.137
395.00	67.678
396.00	52.543
397.00	48.727
398.00	34.588
399.00	34.313
400.00	41.631
401.00	40.320
402.00	30.103
403.00	30.313
404.00	25.290
405.00	18.326
406.00	26.575
407.00	30.182
408.00	21.749
409.00	18.916
410.00	20.188
411.00	23.663
412.00	25.434
413.00	16.634
414.00	14.968
415.00	30.759
416.00	26.234
417.00	21.736
418.00	19.676
419.00	19.755
420.00	19.231
421.00	21.460
422.00	22.929
423.00	22.286
424.00	16.188
425.00	12.988
426.00	18.457
427.00	24.765
428.00	26.050
429.00	33.474
430.00	24.713
431.00	20.608
432.00	24.752
433.00	28.595
434.00	32.582
435.00	35.848
436.00	32.438
437.00	33.552
438.00	35.677
439.00	31.336
440.00	27.073
441.00	21.801
442.00	24.096
443.00	38.680
444.00	40.320
445.00	34.510
446.00	33.002
447.00	31.060
448.00	29.539
449.00	38.025
450.00	38.903
451.00	37.120
452.00	34.195
453.00	29.408
454.00	33.906
455.00	38.864
456.00	45.697
457.00	38.339
458.00	34.602
459.00	38.025
460.00	33.067
461.00	43.677
462.00	45.645
463.00	40.215
464.00	38.851
465.00	48.189
466.00	38.772
467.00	40.687
468.00	30.378
469.00	24.883
470.00	44.871
471.00	60.347
472.00	46.143
473.00	44.950
474.00	42.379
475.00	40.490
476.00	28.201
477.00	45.946
478.00	46.891
479.00	36.739
480.00	39.533
481.00	34.798
482.00	37.526
483.00	42.208
484.00	41.933
485.00	33.959
486.00	17.093
487.00	19.152
488.00	27.690
489.00	21.172
490.00	41.212
491.00	35.428
492.00	31.834
493.00	18.653
494.00	26.444
495.00	17.512
496.00	21.224
497.00	11.375
498.00	18.116
499.00	29.972
500.00	17.880
