Wavelength (nm)	Angew 2016_15760, Z1-Me (MeOH) abs [Z]
250.00	0.47932
251.00	0.46790
252.00	0.45541
253.00	0.44202
254.00	0.43156
255.00	0.42341
256.00	0.41526
257.00	0.40711
258.00	0.40444
259.00	0.40281
260.00	0.40118
261.00	0.39991
262.00	0.40134
263.00	0.40277
264.00	0.40419
265.00	0.40581
266.00	0.40772
267.00	0.40963
268.00	0.41154
269.00	0.41311
270.00	0.41422
271.00	0.41533
272.00	0.41644
273.00	0.41756
274.00	0.41867
275.00	0.41923
276.00	0.41979
277.00	0.42034
278.00	0.42090
279.00	0.42145
280.00	0.42381
281.00	0.42782
282.00	0.43183
283.00	0.43584
284.00	0.44141
285.00	0.44826
286.00	0.45511
287.00	0.46196
288.00	0.46881
289.00	0.47710
290.00	0.48807
291.00	0.49903
292.00	0.51000
293.00	0.52097
294.00	0.53193
295.00	0.54550
296.00	0.55938
297.00	0.57327
298.00	0.58715
299.00	0.60103
300.00	0.61492
301.00	0.62523
302.00	0.63531
303.00	0.64540
304.00	0.65548
305.00	0.66557
306.00	0.67206
307.00	0.67848
308.00	0.68245
309.00	0.68396
310.00	0.68548
311.00	0.68302
312.00	0.68055
313.00	0.67480
314.00	0.66624
315.00	0.65718
316.00	0.64037
317.00	0.62356
318.00	0.60676
319.00	0.58995
320.00	0.57248
321.00	0.54905
322.00	0.52562
323.00	0.50220
324.00	0.47877
325.00	0.45513
326.00	0.43028
327.00	0.40544
328.00	0.38059
329.00	0.35574
330.00	0.33089
331.00	0.30607
332.00	0.28125
333.00	0.25643
334.00	0.23161
335.00	0.21389
336.00	0.19894
337.00	0.18655
338.00	0.17682
339.00	0.16710
340.00	0.15738
341.00	0.14859
342.00	0.14221
343.00	0.13582
344.00	0.13153
345.00	0.12895
346.00	0.12637
347.00	0.12522
348.00	0.12710
349.00	0.12899
350.00	0.13112
351.00	0.13554
352.00	0.13996
353.00	0.14438
354.00	0.14880
355.00	0.15321
356.00	0.15763
357.00	0.16345
358.00	0.17128
359.00	0.17910
360.00	0.18693
361.00	0.19559
362.00	0.20533
363.00	0.21507
364.00	0.22480
365.00	0.23454
366.00	0.24428
367.00	0.25401
368.00	0.26375
369.00	0.27485
370.00	0.28731
371.00	0.29977
372.00	0.31224
373.00	0.32470
374.00	0.33716
375.00	0.34962
376.00	0.36573
377.00	0.38269
378.00	0.39965
379.00	0.41661
380.00	0.43358
381.00	0.45054
382.00	0.46750
383.00	0.48446
384.00	0.50142
385.00	0.51838
386.00	0.53692
387.00	0.55566
388.00	0.57439
389.00	0.59312
390.00	0.61186
391.00	0.63059
392.00	0.64933
393.00	0.66806
394.00	0.68527
395.00	0.70242
396.00	0.71957
397.00	0.73672
398.00	0.75387
399.00	0.77101
400.00	0.78816
401.00	0.80499
402.00	0.82097
403.00	0.83694
404.00	0.85292
405.00	0.86889
406.00	0.88266
407.00	0.89590
408.00	0.90914
409.00	0.92206
410.00	0.93169
411.00	0.94133
412.00	0.95096
413.00	0.96060
414.00	0.96972
415.00	0.97797
416.00	0.98622
417.00	0.98986
418.00	0.99292
419.00	0.99598
420.00	0.99742
421.00	0.99871
422.00	1.0000
423.00	0.99839
424.00	0.99677
425.00	0.99516
426.00	0.99003
427.00	0.98352
428.00	0.97184
429.00	0.95833
430.00	0.94483
431.00	0.93041
432.00	0.91335
433.00	0.89630
434.00	0.87924
435.00	0.86219
436.00	0.84445
437.00	0.81597
438.00	0.78748
439.00	0.75899
440.00	0.73051
441.00	0.70025
442.00	0.66875
443.00	0.63726
444.00	0.60576
445.00	0.57427
446.00	0.54277
447.00	0.51128
448.00	0.48314
449.00	0.45537
450.00	0.42760
451.00	0.39983
452.00	0.37206
453.00	0.34429
454.00	0.31927
455.00	0.29440
456.00	0.26952
457.00	0.24768
458.00	0.22701
459.00	0.20634
460.00	0.19007
461.00	0.17526
462.00	0.16046
463.00	0.14565
464.00	0.13090
465.00	0.11744
466.00	0.10397
467.00	0.090509
468.00	0.081334
469.00	0.072159
470.00	0.062984
471.00	0.054676
472.00	0.049834
473.00	0.044992
474.00	0.040150
475.00	0.035541
476.00	0.032489
477.00	0.029437
478.00	0.026386
479.00	0.023334
480.00	0.020432
481.00	0.017607
482.00	0.014782
483.00	0.012673
484.00	0.011477
485.00	0.010280
486.00	0.0090836
487.00	0.0078870
488.00	0.0066903
489.00	0.0059606
490.00	0.0053950
491.00	0.0048294
492.00	0.0042638
493.00	0.0036981
494.00	0.0031325
495.00	0.0025794
496.00	0.0023267
497.00	0.0020740
498.00	0.0018212
499.00	0.0015685
500.00	0.0013158
