Wavelength (nm)	Fe(III) UroP I (in DMSO).abs
300.00	0.13494
301.00	0.13381
302.00	0.13234
303.00	0.13088
304.00	0.13013
305.00	0.12950
306.00	0.12858
307.00	0.12788
308.00	0.12765
309.00	0.12750
310.00	0.12764
311.00	0.12778
312.00	0.12834
313.00	0.12846
314.00	0.12914
315.00	0.13013
316.00	0.13095
317.00	0.13220
318.00	0.13322
319.00	0.13475
320.00	0.13610
321.00	0.13771
322.00	0.13931
323.00	0.14112
324.00	0.14248
325.00	0.14419
326.00	0.14585
327.00	0.14751
328.00	0.14931
329.00	0.15121
330.00	0.15295
331.00	0.15464
332.00	0.15664
333.00	0.15867
334.00	0.16045
335.00	0.16264
336.00	0.16502
337.00	0.16722
338.00	0.16949
339.00	0.17177
340.00	0.17418
341.00	0.17649
342.00	0.17886
343.00	0.18097
344.00	0.18289
345.00	0.18446
346.00	0.18615
347.00	0.18765
348.00	0.18860
349.00	0.18975
350.00	0.19045
351.00	0.19114
352.00	0.19153
353.00	0.19224
354.00	0.19297
355.00	0.19405
356.00	0.19525
357.00	0.19676
358.00	0.19873
359.00	0.20063
360.00	0.20339
361.00	0.20676
362.00	0.21044
363.00	0.21517
364.00	0.22061
365.00	0.22700
366.00	0.23392
367.00	0.24211
368.00	0.25114
369.00	0.26092
370.00	0.27218
371.00	0.28365
372.00	0.29608
373.00	0.30917
374.00	0.32214
375.00	0.33595
376.00	0.35098
377.00	0.36660
378.00	0.38278
379.00	0.40094
380.00	0.42040
381.00	0.44275
382.00	0.46817
383.00	0.49532
384.00	0.52645
385.00	0.56173
386.00	0.60060
387.00	0.64328
388.00	0.68941
389.00	0.73693
390.00	0.78942
391.00	0.84136
392.00	0.89172
393.00	0.93628
394.00	0.97114
395.00	0.99370
396.00	1.0000
397.00	0.98651
398.00	0.95458
399.00	0.90808
400.00	0.84978
401.00	0.78274
402.00	0.71462
403.00	0.64910
404.00	0.58784
405.00	0.53160
406.00	0.48416
407.00	0.44154
408.00	0.40344
409.00	0.37037
410.00	0.34329
411.00	0.31970
412.00	0.29939
413.00	0.28171
414.00	0.26659
415.00	0.25104
416.00	0.23467
417.00	0.21749
418.00	0.20000
419.00	0.18329
420.00	0.16770
421.00	0.15405
422.00	0.14268
423.00	0.13303
424.00	0.12468
425.00	0.11698
426.00	0.11059
427.00	0.10370
428.00	0.098148
429.00	0.093307
430.00	0.088210
431.00	0.084661
432.00	0.081258
433.00	0.077549
434.00	0.073916
435.00	0.071358
436.00	0.068797
437.00	0.066418
438.00	0.064301
439.00	0.062406
440.00	0.060679
441.00	0.058849
442.00	0.057821
443.00	0.056705
444.00	0.055888
