Wavelength (nm)	Chem Eur J 2016_9498, Ug-NCC-53 abs [Z]
210.00	0.83736
211.00	0.95417
212.00	0.95917
213.00	0.92281
214.00	0.88448
215.00	0.88605
216.00	0.92106
217.00	0.97415
218.00	1.00000
219.00	0.99058
220.00	0.95894
221.00	0.95402
222.00	0.96843
223.00	0.96502
224.00	0.95370
225.00	0.92816
226.00	0.90676
227.00	0.89467
228.00	0.88033
229.00	0.86162
230.00	0.85014
231.00	0.84160
232.00	0.82997
233.00	0.81859
234.00	0.80780
235.00	0.79828
236.00	0.79125
237.00	0.78956
238.00	0.79102
239.00	0.78684
240.00	0.77957
241.00	0.77044
242.00	0.76228
243.00	0.75571
244.00	0.74962
245.00	0.73621
246.00	0.72215
247.00	0.70486
248.00	0.68575
249.00	0.66664
250.00	0.64358
251.00	0.61971
252.00	0.59582
253.00	0.57188
254.00	0.54794
255.00	0.52828
256.00	0.50949
257.00	0.49116
258.00	0.47654
259.00	0.46192
260.00	0.45102
261.00	0.44143
262.00	0.43184
263.00	0.42644
264.00	0.42178
265.00	0.41712
266.00	0.41422
267.00	0.41211
268.00	0.41000
269.00	0.40788
270.00	0.40770
271.00	0.40752
272.00	0.40734
273.00	0.40715
274.00	0.40712
275.00	0.40749
276.00	0.40786
277.00	0.40824
278.00	0.40861
279.00	0.40958
280.00	0.41092
281.00	0.41227
282.00	0.41361
283.00	0.41647
284.00	0.41984
285.00	0.42320
286.00	0.42657
287.00	0.43280
288.00	0.43938
289.00	0.44597
290.00	0.45255
291.00	0.46103
292.00	0.47040
293.00	0.47977
294.00	0.48913
295.00	0.49846
296.00	0.50780
297.00	0.51713
298.00	0.52961
299.00	0.54235
300.00	0.55510
301.00	0.56715
302.00	0.57871
303.00	0.59028
304.00	0.60128
305.00	0.61176
306.00	0.62225
307.00	0.63007
308.00	0.63680
309.00	0.64354
310.00	0.64976
311.00	0.65181
312.00	0.65387
313.00	0.65032
314.00	0.64524
315.00	0.63973
316.00	0.63065
317.00	0.61898
318.00	0.60677
319.00	0.59088
320.00	0.57499
321.00	0.55453
322.00	0.53320
323.00	0.51188
324.00	0.48854
325.00	0.46328
326.00	0.43802
327.00	0.41276
328.00	0.38623
329.00	0.35959
330.00	0.33294
331.00	0.30629
332.00	0.27969
333.00	0.25310
334.00	0.22651
335.00	0.20160
336.00	0.17734
337.00	0.15308
338.00	0.13291
339.00	0.11495
340.00	0.096992
341.00	0.082578
342.00	0.069991
343.00	0.057404
344.00	0.048808
345.00	0.041406
346.00	0.034003
347.00	0.027548
348.00	0.023793
349.00	0.020038
350.00	0.016282
351.00	0.013462
352.00	0.011348
353.00	0.0092337
354.00	0.0071194
355.00	0.0063608
356.00	0.0059411
357.00	0.0055213
358.00	0.0051016
359.00	0.0046917
360.00	0.0044350
361.00	0.0041784
362.00	0.0039217
363.00	0.0036651
364.00	0.0034084
365.00	0.0031823
366.00	0.0030389
367.00	0.0028954
368.00	0.0027520
369.00	0.0026085
370.00	0.0024574
371.00	0.0022921
372.00	0.0021267
373.00	0.0019614
374.00	0.0017961
375.00	0.0016754
376.00	0.0016754
377.00	0.0016754
378.00	0.0016754
379.00	0.0016754
380.00	0.0016754
381.00	0.0016754
382.00	0.0016754
383.00	0.0016754
384.00	0.0016754
385.00	0.0016754
386.00	0.0016754
387.00	0.0016754
388.00	0.0016754
389.00	0.0016754
390.00	0.0016754
391.00	0.0016754
392.00	0.0016754
393.00	0.0016754
394.00	0.0016754
395.00	0.0016754
396.00	0.0016754
397.00	0.0016754
398.00	0.0016754
399.00	0.0016754
400.00	0.0016754
