Wavelength (nm)	FL106 [12] 528-48-3, Fisetin [M]
210.00	32417
211.00	30752
212.00	28958
213.00	27183
214.00	25691
215.00	24495
216.00	23616
217.00	22945
218.00	22329
219.00	21783
220.00	21263
221.00	20738
222.00	20210
223.00	19627
224.00	19019
225.00	18412
226.00	17794
227.00	17200
228.00	16642
229.00	16125
230.00	15636
231.00	15189
232.00	14808
233.00	14433
234.00	14061
235.00	13722
236.00	13358
237.00	13053
238.00	12810
239.00	12676
240.00	12655
241.00	12738
242.00	12907
243.00	13139
244.00	13385
245.00	13617
246.00	13824
247.00	13972
248.00	14056
249.00	14052
250.00	13994
251.00	13926
252.00	13805
253.00	13647
254.00	13482
255.00	13296
256.00	13095
257.00	12887
258.00	12654
259.00	12382
260.00	12094
261.00	11803
262.00	11515
263.00	11212
264.00	10866
265.00	10414
266.00	9897.5
267.00	9287.8
268.00	8642.0
269.00	8010.3
270.00	7387.0
271.00	6823.3
272.00	6314.8
273.00	5891.1
274.00	5528.2
275.00	5240.9
276.00	5025.6
277.00	4876.8
278.00	4764.1
279.00	4672.3
280.00	4602.8
281.00	4577.2
282.00	4560.0
283.00	4554.1
284.00	4565.0
285.00	4592.7
286.00	4649.6
287.00	4722.8
288.00	4819.1
289.00	4908.8
290.00	5006.6
291.00	5116.4
292.00	5253.3
293.00	5406.4
294.00	5586.0
295.00	5768.6
296.00	5959.6
297.00	6160.0
298.00	6375.2
299.00	6618.4
300.00	6903.4
301.00	7192.0
302.00	7488.6
303.00	7776.9
304.00	8065.8
305.00	8314.0
306.00	8552.5
307.00	8787.5
308.00	8959.2
309.00	9084.9
310.00	9207.4
311.00	9324.7
312.00	9445.2
313.00	9550.5
314.00	9688.0
315.00	9834.9
316.00	9977.1
317.00	10107
318.00	10182
319.00	10193
320.00	10148
321.00	10047
322.00	9917.8
323.00	9764.9
324.00	9607.7
325.00	9490.8
326.00	9418.6
327.00	9412.5
328.00	9469.6
329.00	9601.9
330.00	9800.4
331.00	10043
332.00	10333
333.00	10638
334.00	10968
335.00	11337
336.00	11733
337.00	12141
338.00	12574
339.00	12994
340.00	13410
341.00	13834
342.00	14284
343.00	14723
344.00	15154
345.00	15570
346.00	16001
347.00	16408
348.00	16787
349.00	17187
350.00	17536
351.00	17838
352.00	18189
353.00	18506
354.00	18819
355.00	19105
356.00	19304
357.00	19466
358.00	19642
359.00	19777
360.00	19960
361.00	20076
362.00	20100
363.00	20096
364.00	20061
365.00	20032
366.00	19969
367.00	19827
368.00	19646
369.00	19429
370.00	19157
371.00	18863
372.00	18596
373.00	18205
374.00	17861
375.00	17522
376.00	17146
377.00	16700
378.00	16192
379.00	15613
380.00	15049
381.00	14474
382.00	13871
383.00	13292
384.00	12656
385.00	11974
386.00	11288
387.00	10580
388.00	9929.5
389.00	9327.0
390.00	8692.8
391.00	8008.6
392.00	7367.5
393.00	6791.6
394.00	6247.2
395.00	5718.2
396.00	5238.7
397.00	4777.0
398.00	4314.6
399.00	3900.8
400.00	3536.7
401.00	3206.8
402.00	2905.9
403.00	2620.6
404.00	2360.8
405.00	2135.6
406.00	1942.5
407.00	1765.3
408.00	1584.8
409.00	1424.9
410.00	1302.1
411.00	1184.3
412.00	1096.0
413.00	984.35
414.00	898.77
415.00	817.36
416.00	750.50
417.00	695.68
418.00	639.02
419.00	608.71
420.00	566.52
421.00	513.05
422.00	468.64
423.00	424.03
424.00	403.49
425.00	388.36
426.00	378.79
427.00	364.09
428.00	336.01
429.00	298.91
430.00	303.50
431.00	270.49
432.00	253.64
433.00	263.72
434.00	241.98
435.00	216.33
436.00	223.42
437.00	216.30
438.00	183.96
439.00	156.93
440.00	151.51
441.00	169.28
442.00	160.52
443.00	142.69
444.00	125.15
445.00	107.35
446.00	104.47
447.00	110.03
448.00	100.96
449.00	108.88
450.00	78.687
451.00	61.347
452.00	49.091
453.00	62.605
454.00	76.358
455.00	75.423
456.00	69.966
457.00	57.012
458.00	49.703
459.00	34.998
460.00	38.517
461.00	49.992
462.00	54.734
463.00	59.766
464.00	74.369
465.00	73.706
466.00	30.170
467.00	17.200
468.00	6.3201
469.00	16.962
470.00	35.287
471.00	81.236
472.00	39.486
473.00	21.127
474.00	63.642
475.00	32.788
476.00	36.443
477.00	50.672
478.00	62.418
479.00	38.041
480.00	11.930
481.00	24.713
482.00	33.672
483.00	59.239
484.00	62.690
485.00	94.037
486.00	89.005
487.00	53.057
488.00	64.939
489.00	38.704
490.00	90.875
491.00	71.445
492.00	47.051
493.00	38.313
494.00	77.973
495.00	30.646
496.00	20.719
497.00	32.788
498.00	29.388
499.00	106.85
500.00	63.642
