Wavelength (nm)	FL029 [8] 108837-20-3, Pratol [D]
220.00	25358
221.00	24598
222.00	23817
223.00	22966
224.00	22115
225.00	21263
226.00	20412
227.00	19437
228.00	18397
229.00	17357
230.00	16675
231.00	16033
232.00	15603
233.00	15216
234.00	14829
235.00	14489
236.00	14174
237.00	13858
238.00	13543
239.00	13188
240.00	12830
241.00	12472
242.00	11917
243.00	11313
244.00	10528
245.00	9251.8
246.00	7815.6
247.00	6255.9
248.00	5346.1
249.00	4899.6
250.00	4780.6
251.00	4741.4
252.00	4820.3
253.00	4899.1
254.00	5078.5
255.00	5271.6
256.00	5590.6
257.00	5971.7
258.00	6432.6
259.00	6946.8
260.00	7461.0
261.00	8071.6
262.00	8700.5
263.00	9329.4
264.00	9981.9
265.00	10655
266.00	11315
267.00	11970
268.00	12380
269.00	12789
270.00	13199
271.00	13608
272.00	13847
273.00	14086
274.00	14325
275.00	14441
276.00	14556
277.00	14464
278.00	14371
279.00	14146
280.00	13921
281.00	13696
282.00	13331
283.00	12965
284.00	12600
285.00	12060
286.00	11520
287.00	10970
288.00	10374
289.00	9778.0
290.00	9182.0
291.00	8682.1
292.00	8215.9
293.00	7749.7
294.00	7350.2
295.00	7106.6
296.00	6862.9
297.00	6619.3
298.00	6375.7
299.00	6286.2
300.00	6219.8
301.00	6153.3
302.00	6142.0
303.00	6173.9
304.00	6205.8
305.00	6237.7
306.00	6307.0
307.00	6384.0
308.00	6461.1
309.00	6544.9
310.00	6639.7
311.00	6734.6
312.00	6829.5
313.00	6911.2
314.00	6993.0
315.00	7074.7
316.00	7108.9
317.00	7143.1
318.00	7086.3
319.00	7029.5
320.00	6923.0
321.00	6816.5
322.00	6710.0
323.00	6581.8
324.00	6453.7
325.00	6325.5
326.00	6126.5
327.00	5892.7
328.00	5654.1
329.00	5325.3
330.00	4996.6
331.00	4667.8
332.00	4335.9
333.00	3990.5
334.00	3645.1
335.00	3305.8
336.00	3000.9
337.00	2696.0
338.00	2416.7
339.00	2143.7
340.00	1892.3
341.00	1667.2
342.00	1448.1
343.00	1238.7
344.00	1012.4
345.00	780.00
