Wavelength (nm)	FL167 [14] 82-57-5, Visnagin [C]
210.00	7964.4
211.00	8129.3
212.00	8295.3
213.00	8471.9
214.00	8646.3
215.00	8766.3
216.00	8827.6
217.00	8834.2
218.00	8809.3
219.00	8787.9
220.00	8775.4
221.00	8757.6
222.00	8719.1
223.00	8681.9
224.00	8666.0
225.00	8736.3
226.00	8907.4
227.00	9206.7
228.00	9662.5
229.00	10231
230.00	10930
231.00	11757
232.00	12640
233.00	13586
234.00	14593
235.00	15636
236.00	16757
237.00	17935
238.00	19105
239.00	20219
240.00	21156
241.00	21828
242.00	22236
243.00	22400
244.00	22369
245.00	22242
246.00	22003
247.00	21584
248.00	20986
249.00	20203
250.00	19217
251.00	18023
252.00	16679
253.00	15292
254.00	13945
255.00	12758
256.00	11727
257.00	10885
258.00	10182
259.00	9508.9
260.00	8780.6
261.00	7968.9
262.00	7091.2
263.00	6177.3
264.00	5321.2
265.00	4610.5
266.00	4072.8
267.00	3711.1
268.00	3485.5
269.00	3363.8
270.00	3305.9
271.00	3292.3
272.00	3297.5
273.00	3311.1
274.00	3329.7
275.00	3338.6
276.00	3339.4
277.00	3320.3
278.00	3289.0
279.00	3238.1
280.00	3161.2
281.00	3067.2
282.00	2947.4
283.00	2817.8
284.00	2682.6
285.00	2541.3
286.00	2394.8
287.00	2249.2
288.00	2106.1
289.00	1966.8
290.00	1835.3
291.00	1707.4
292.00	1605.9
293.00	1519.8
294.00	1457.9
295.00	1413.3
296.00	1393.4
297.00	1383.6
298.00	1393.9
299.00	1422.3
300.00	1459.8
301.00	1507.5
302.00	1565.2
303.00	1626.3
304.00	1697.6
305.00	1769.2
306.00	1846.4
307.00	1921.9
308.00	1986.7
309.00	2068.1
310.00	2141.0
311.00	2209.5
312.00	2280.8
313.00	2351.6
314.00	2421.1
315.00	2490.0
316.00	2546.9
317.00	2596.8
318.00	2639.0
319.00	2677.1
320.00	2707.9
321.00	2738.2
322.00	2754.0
323.00	2768.7
324.00	2760.2
325.00	2745.0
326.00	2728.3
327.00	2711.3
328.00	2677.6
329.00	2646.8
330.00	2595.4
331.00	2540.8
332.00	2481.4
333.00	2421.4
334.00	2355.3
335.00	2286.4
336.00	2213.3
337.00	2126.5
338.00	2040.4
339.00	1946.8
340.00	1854.0
341.00	1767.3
342.00	1662.2
343.00	1562.5
344.00	1465.2
345.00	1366.0
346.00	1264.5
347.00	1165.9
348.00	1069.6
349.00	978.36
350.00	901.77
351.00	818.76
352.00	743.11
353.00	668.97
354.00	601.77
355.00	541.23
356.00	495.39
357.00	454.01
358.00	416.05
359.00	365.49
360.00	317.36
361.00	290.00
362.00	257.22
363.00	233.16
364.00	215.42
365.00	196.36
366.00	175.89
367.00	143.03
368.00	138.29
369.00	124.24
370.00	110.01
371.00	105.98
372.00	86.007
373.00	83.922
374.00	85.572
375.00	70.413
376.00	71.930
377.00	60.650
378.00	60.425
379.00	57.681
380.00	52.364
381.00	58.512
382.00	48.578
383.00	39.131
384.00	31.849
385.00	37.891
386.00	46.783
387.00	39.461
388.00	35.226
389.00	24.381
390.00	19.407
391.00	37.957
392.00	41.994
393.00	35.556
394.00	36.915
395.00	21.122
396.00	23.128
397.00	23.378
398.00	26.215
399.00	31.756
400.00	33.405
401.00	31.360
402.00	21.281
403.00	30.490
404.00	24.671
405.00	23.049
406.00	27.996
407.00	36.216
408.00	43.854
409.00	32.020
410.00	27.653
411.00	26.439
412.00	26.875
413.00	24.262
414.00	36.295
415.00	34.698
416.00	31.321
417.00	36.954
418.00	29.843
419.00	29.487
420.00	33.247
421.00	37.377
422.00	37.047
423.00	32.944
424.00	28.009
425.00	26.558
426.00	28.629
427.00	37.271
428.00	40.451
429.00	38.881
430.00	24.830
431.00	22.363
432.00	25.450
433.00	33.471
434.00	22.561
435.00	40.226
436.00	45.213
437.00	36.849
438.00	33.722
439.00	18.866
440.00	30.688
441.00	38.670
442.00	29.184
443.00	36.123
444.00	39.356
445.00	30.714
446.00	26.479
447.00	31.967
448.00	37.443
449.00	42.720
450.00	36.176
451.00	43.037
452.00	26.347
453.00	23.405
454.00	33.511
455.00	49.066
456.00	44.197
457.00	33.089
458.00	28.880
459.00	27.640
460.00	36.783
461.00	40.437
462.00	52.021
463.00	42.456
464.00	47.377
465.00	36.361
466.00	31.743
467.00	18.444
468.00	26.413
469.00	31.835
470.00	36.572
471.00	51.098
472.00	38.854
473.00	24.698
474.00	23.062
475.00	40.279
476.00	38.788
477.00	61.560
478.00	40.622
479.00	33.696
480.00	40.358
481.00	39.580
482.00	38.458
483.00	50.675
484.00	47.694
485.00	52.048
486.00	24.671
487.00	19.421
488.00	28.036
489.00	33.577
490.00	54.396
491.00	46.124
492.00	43.881
493.00	34.355
494.00	43.723
495.00	13.550
496.00	16.716
497.00	40.649
498.00	50.596
499.00	47.087
500.00	43.393
