Wavelength (nm)	C15 abs e
210.00	19974
211.00	19838
212.00	19932
213.00	20070
214.00	20394
215.00	20662
216.00	20897
217.00	21340
218.00	22034
219.00	23096
220.00	24645
221.00	26645
222.00	28992
223.00	31361
224.00	33652
225.00	35545
226.00	36844
227.00	37208
228.00	36725
229.00	35786
230.00	34538
231.00	33122
232.00	31589
233.00	29797
234.00	27835
235.00	25635
236.00	23198
237.00	20465
238.00	17677
239.00	15146
240.00	12909
241.00	11028
242.00	9518.6
243.00	8293.9
244.00	7331.6
245.00	6582.7
246.00	5970.7
247.00	5454.3
248.00	4974.1
249.00	4513.8
250.00	4058.3
251.00	3623.2
252.00	3243.4
253.00	2905.7
254.00	2611.3
255.00	2370.4
256.00	2173.6
257.00	2007.0
258.00	1874.8
259.00	1773.4
260.00	1691.8
261.00	1644.8
262.00	1632.7
263.00	1630.3
264.00	1629.4
265.00	1620.4
266.00	1596.5
267.00	1555.1
268.00	1502.9
269.00	1457.6
270.00	1428.8
271.00	1423.9
272.00	1440.3
273.00	1468.8
274.00	1523.5
275.00	1573.0
276.00	1592.3
277.00	1558.8
278.00	1465.7
279.00	1343.0
280.00	1217.0
281.00	1110.2
282.00	1034.2
283.00	990.59
284.00	981.58
285.00	1000.2
286.00	1032.2
287.00	1064.0
288.00	1087.9
289.00	1099.6
290.00	1116.6
291.00	1142.0
292.00	1191.2
293.00	1257.9
294.00	1351.3
295.00	1456.7
296.00	1570.9
297.00	1697.6
298.00	1825.4
299.00	1947.8
300.00	2069.1
301.00	2190.6
302.00	2327.9
303.00	2499.1
304.00	2698.6
305.00	2931.1
306.00	3195.4
307.00	3487.2
308.00	3803.2
309.00	4131.1
310.00	4467.6
311.00	4811.6
312.00	5118.9
313.00	5369.6
314.00	5591.9
315.00	5812.8
316.00	6040.2
317.00	6328.3
318.00	6688.8
319.00	7144.6
320.00	7702.8
321.00	8342.6
322.00	9025.9
323.00	9775.5
324.00	10529
325.00	11255
326.00	11902
327.00	12409
328.00	12761
329.00	12966
330.00	13105
331.00	13194
332.00	13272
333.00	13402
334.00	13663
335.00	14127
336.00	14839
337.00	15788
338.00	16930
339.00	18181
340.00	19474
341.00	20647
342.00	21624
343.00	22317
344.00	22800
345.00	23105
346.00	23203
347.00	23019
348.00	22466
349.00	21466
350.00	20280
351.00	19022
352.00	17910
353.00	17088
354.00	16717
355.00	16818
356.00	17279
357.00	17974
358.00	18838
359.00	19810
360.00	21106
361.00	22882
362.00	25200
363.00	27662
364.00	29625
365.00	30601
366.00	29669
367.00	27166
368.00	23420
369.00	19182
370.00	15135
371.00	11507
372.00	8609.1
373.00	6310.3
374.00	4585.9
375.00	3318.2
376.00	2419.1
377.00	1777.3
378.00	1323.9
379.00	1020.9
380.00	794.37
381.00	636.17
382.00	531.86
383.00	437.98
384.00	365.51
385.00	318.63
386.00	275.71
387.00	243.04
388.00	217.87
389.00	181.36
390.00	161.93
391.00	132.39
392.00	123.87
393.00	103.46
394.00	102.28
395.00	84.287
396.00	84.345
397.00	77.493
398.00	59.927
399.00	58.906
400.00	57.623
401.00	50.188
402.00	46.107
403.00	48.133
404.00	43.672
405.00	33.555
406.00	31.310
407.00	35.202
408.00	36.033
409.00	25.945
410.00	27.899
411.00	16.017
412.00	27.009
413.00	22.490
414.00	27.680
415.00	26.237
416.00	27.607
417.00	19.837
418.00	22.140
419.00	25.056
420.00	25.129
421.00	21.134
422.00	27.724
423.00	24.123
424.00	17.606
425.00	22.009
426.00	29.779
427.00	29.313
428.00	20.303
429.00	17.971
430.00	21.076
431.00	14.749
432.00	21.324
433.00	15.478
434.00	14.195
435.00	17.883
436.00	21.819
437.00	23.846
438.00	22.578
439.00	22.694
440.00	22.738
441.00	18.729
442.00	23.102
443.00	23.511
444.00	17.548
445.00	19.312
446.00	18.190
447.00	20.143
448.00	29.036
449.00	20.668
450.00	22.096
451.00	28.846
452.00	27.519
453.00	31.747
454.00	26.849
455.00	12.737
456.00	30.027
457.00	30.610
458.00	20.551
459.00	24.895
460.00	23.394
461.00	25.158
462.00	20.930
463.00	18.714
464.00	32.316
465.00	23.204
466.00	25.974
467.00	22.344
468.00	15.638
469.00	24.633
470.00	26.120
471.00	23.511
472.00	21.615
473.00	22.242
474.00	28.977
475.00	16.309
476.00	22.315
477.00	11.761
478.00	31.324
479.00	40.377
480.00	25.202
481.00	22.519
482.00	34.007
483.00	35.333
484.00	24.035
485.00	32.010
486.00	21.542
487.00	17.431
488.00	20.784
489.00	26.018
490.00	32.724
491.00	27.228
492.00	22.169
493.00	27.053
494.00	23.467
495.00	31.922
496.00	33.671
497.00	32.316
498.00	35.042
499.00	24.531
500.00	26.616
