Wavelength (nm)	D04 abs e
240.00	23959
240.25	24191
240.50	24237
240.75	24150
241.00	24261
241.25	24399
241.50	24554
241.75	24432
242.00	24862
242.25	24843
242.50	24774
242.75	24903
243.00	25243
243.25	24995
243.50	25199
243.75	25306
244.00	25686
244.25	25787
244.50	25680
244.75	25980
245.00	26200
245.25	26445
245.50	26727
245.75	26772
246.00	26890
246.25	27112
246.50	26976
246.75	27207
247.00	27057
247.25	26714
247.50	26660
247.75	26620
248.00	26226
248.25	25993
248.50	25963
248.75	25666
249.00	25317
249.25	25516
249.50	24857
249.75	24757
250.00	24618
250.25	24196
250.50	24520
250.75	24485
251.00	24296
251.25	24137
251.50	24101
251.75	23942
252.00	24029
252.25	24120
252.50	24003
252.75	24096
253.00	23768
253.25	23924
253.50	23905
253.75	23728
254.00	23664
254.25	23507
254.50	23482
254.75	23479
255.00	23363
255.25	23404
255.50	23395
255.75	23294
256.00	23203
256.25	23291
256.50	23266
256.75	23472
257.00	23525
257.25	23926
257.50	24404
257.75	24447
258.00	24938
258.25	25625
258.50	25927
258.75	26396
259.00	26515
259.25	26583
259.50	26483
259.75	25840
260.00	25435
260.25	24807
260.50	23824
260.75	22845
261.00	21554
261.25	20766
261.50	19867
261.75	18755
262.00	17910
262.25	17076
262.50	16022
262.75	15343
263.00	14539
263.25	14060
263.50	13772
263.75	13251
264.00	12881
264.25	12599
264.50	12544
264.75	12333
265.00	12259
265.25	12227
265.50	12148
265.75	11799
266.00	11836
266.25	11822
266.50	11903
266.75	11834
267.00	11735
267.25	12012
267.50	11729
267.75	11788
268.00	12009
268.25	12036
268.50	12101
268.75	12222
269.00	12212
269.25	12426
269.50	12633
269.75	12505
270.00	12884
270.25	12835
270.50	12825
270.75	12964
271.00	12851
271.25	12916
271.50	12593
271.75	12782
272.00	12578
272.25	12560
272.50	12593
272.75	12519
273.00	12583
273.25	12740
273.50	12682
273.75	12566
274.00	12684
274.25	12665
274.50	12551
274.75	12389
275.00	12455
275.25	12681
275.50	12460
275.75	12546
276.00	12387
276.25	12290
276.50	12505
276.75	12537
277.00	12577
277.25	12580
277.50	12397
277.75	12794
278.00	12886
278.25	12809
278.50	12824
278.75	13020
279.00	12804
279.25	12939
279.50	12962
279.75	12857
280.00	12865
280.25	13384
280.50	13156
280.75	13228
281.00	13258
281.25	13464
281.50	13570
281.75	13615
282.00	13666
282.25	13963
282.50	14194
282.75	14268
283.00	14522
283.25	14840
283.50	15057
283.75	15467
284.00	15903
284.25	16338
284.50	16680
284.75	17330
285.00	17980
285.25	18390
285.50	18765
285.75	19221
286.00	19581
286.25	19832
286.50	20288
286.75	20379
287.00	20276
287.25	20143
287.50	20201
287.75	19778
288.00	19644
288.25	19338
288.50	19225
288.75	19117
289.00	18746
289.25	18687
289.50	18302
289.75	18253
290.00	18299
290.25	17793
290.50	17890
290.75	17797
291.00	17737
291.25	17593
291.50	17656
291.75	17232
292.00	17261
292.25	16945
292.50	16844
292.75	16635
293.00	16764
293.25	16293
293.50	16520
293.75	16583
294.00	16460
294.25	16518
294.50	16681
294.75	16509
295.00	16500
295.25	16515
295.50	16451
295.75	16641
296.00	16675
296.25	16613
296.50	16488
296.75	16758
297.00	16358
297.25	16460
297.50	16198
297.75	16174
298.00	16159
298.25	15696
298.50	15825
298.75	15716
299.00	16024
299.25	15766
299.50	16117
299.75	15979
300.00	16452
300.25	16609
300.50	16827
300.75	17219
301.00	17873
301.25	18335
301.50	19008
301.75	19856
302.00	20759
302.25	21476
302.50	22677
302.75	23387
303.00	24553
303.25	25814
303.50	26754
303.75	27468
304.00	28816
304.25	30227
304.50	30417
304.75	30745
305.00	31001
305.25	30902
305.50	30438
305.75	30375
306.00	29425
306.25	28399
306.50	27551
306.75	26441
307.00	25124
307.25	24455
307.50	23487
307.75	22413
308.00	21456
308.25	20532
308.50	19819
308.75	19114
309.00	18384
309.25	17697
309.50	17443
309.75	16922
310.00	16474
310.25	15993
310.50	15590
310.75	15194
311.00	14645
311.25	14419
311.50	14347
311.75	14139
312.00	13680
312.25	13434
312.50	13449
312.75	12957
313.00	13165
313.25	13004
313.50	13049
313.75	12837
314.00	12877
314.25	13153
314.50	12883
314.75	13085
315.00	13116
315.25	13228
315.50	13211
315.75	13100
316.00	13062
316.25	12742
316.50	12765
316.75	12511
317.00	12501
317.25	12293
317.50	11970
317.75	11996
318.00	12010
318.25	11517
318.50	11738
318.75	11757
319.00	11829
319.25	11751
319.50	11921
319.75	12034
320.00	12075
320.25	12314
320.50	12491
320.75	13002
321.00	13348
321.25	14097
321.50	14654
321.75	14895
322.00	15574
322.25	16194
322.50	17069
322.75	17943
323.00	19024
323.25	19538
323.50	20800
323.75	21738
324.00	22813
324.25	24368
324.50	25111
324.75	25786
325.00	26679
325.25	27283
325.50	28211
325.75	28106
326.00	28477
326.25	28386
326.50	28120
326.75	27461
327.00	26758
327.25	25291
327.50	24201
327.75	23043
328.00	21305
328.25	19834
328.50	18163
328.75	16611
329.00	14881
329.25	13549
329.50	12306
329.75	11003
330.00	9735.6
330.25	8789.1
330.50	7526.2
330.75	6936.8
331.00	6041.9
331.25	5078.7
331.50	4530.4
331.75	4230.7
332.00	3395.2
332.25	3148.2
332.50	2795.5
332.75	2491.4
333.00	2022.3
333.25	1926.7
333.50	1570.5
333.75	1484.7
334.00	1376.4
334.25	1285.2
334.50	937.06
334.75	1046.8
335.00	781.17
335.25	697.42
335.50	794.94
335.75	552.30
336.00	854.67
336.25	600.22
336.50	399.14
336.75	214.15
337.00	574.23
337.25	274.64
337.50	230.38
337.75	245.66
338.00	341.09
338.25	302.23
338.50	44.839
338.75	396.99
339.00	427.77
339.25	184.90
339.50	281.38
339.75	166.81
340.00	216.38
340.25	234.82
340.50	282.63
340.75	-15.508
341.00	139.89
341.25	167.36
341.50	238.43
341.75	175.64
342.00	80.647
342.25	-87.849
342.50	78.875
342.75	202.79
343.00	-16.989
343.25	-25.963
343.50	-95.487
343.75	-46.843
344.00	209.99
344.25	54.481
344.50	-86.106
344.75	215.95
345.00	260.03
345.25	63.890
345.50	117.56
345.75	-35.459
346.00	-129.20
346.25	-34.849
346.50	-32.816
346.75	-18.557
347.00	97.287
347.25	144.39
347.50	86.745
347.75	16.321
348.00	-81.547
348.25	59.911
348.50	-2.4975
348.75	-22.245
349.00	19.225
349.25	-27.328
349.50	-15.827
349.75	280.83
350.00	138.96
350.25	268.51
350.50	127.87
350.75	226.98
351.00	125.46
351.25	146.57
351.50	86.164
351.75	37.259
352.00	58.605
352.25	134.14
352.50	182.93
352.75	135.74
353.00	113.20
353.25	10.629
353.50	168.87
353.75	223.85
354.00	61.654
354.25	218.36
354.50	-59.214
354.75	150.00
355.00	5.9824
355.25	-0.49370
355.50	94.209
355.75	100.48
356.00	103.30
356.25	32.874
356.50	54.277
356.75	110.38
357.00	133.85
357.25	132.14
357.50	85.206
357.75	114.45
358.00	-15.914
358.25	38.189
358.50	72.864
358.75	138.96
359.00	78.817
359.25	-5.5178
359.50	107.95
359.75	134.08
360.00	-101.35
360.25	177.99
360.50	58.314
360.75	97.955
361.00	-19.283
361.25	-35.604
361.50	101.09
361.75	136.17
362.00	19.080
362.25	90.637
362.50	-19.428
362.75	48.818
363.00	-41.819
363.25	23.349
363.50	66.997
363.75	74.141
364.00	-12.923
364.25	43.590
364.50	85.264
364.75	129.73
365.00	54.365
365.25	41.412
365.50	20.735
365.75	48.876
366.00	169.02
366.25	68.653
366.50	6.3890
366.75	91.769
367.00	51.577
367.25	105.39
367.50	-41.180
367.75	-32.874
368.00	58.808
368.25	41.122
368.50	10.193
368.75	-18.122
369.00	43.271
369.25	153.89
369.50	93.802
369.75	-89.562
370.00	132.14
370.25	162.60
370.50	35.372
370.75	148.81
371.00	59.621
371.25	81.053
371.50	136.64
371.75	44.984
372.00	109.37
372.25	20.735
372.50	76.929
372.75	153.45
373.00	163.27
373.25	73.212
373.50	35.517
373.75	103.73
374.00	21.258
374.25	94.180
374.50	173.08
374.75	4.2980
375.00	7.9572
375.25	31.655
375.50	100.77
375.75	141.31
376.00	107.42
376.25	-35.836
376.50	89.911
376.75	22.216
377.00	-9.6416
377.25	41.703
377.50	7.9282
377.75	56.920
378.00	99.581
378.25	62.961
378.50	58.692
378.75	35.517
379.00	38.015
379.25	13.010
379.50	60.144
379.75	36.446
380.00	36.040
380.25	0.58081
380.50	-25.701
380.75	32.003
381.00	99.059
381.25	68.972
381.50	122.32
381.75	102.31
382.00	51.286
382.25	-6.7085
382.50	-2.6718
382.75	71.905
383.00	14.898
383.25	74.780
383.50	-29.157
383.75	63.309
384.00	-3.1364
384.25	74.083
384.50	92.815
384.75	114.94
385.00	-10.890
385.25	105.56
385.50	45.565
385.75	89.882
386.00	-0.34849
386.25	33.775
386.50	1.2488
386.75	21.403
387.00	60.986
387.25	138.35
387.50	105.62
387.75	96.213
388.00	160.42
388.25	180.92
388.50	22.797
388.75	107.74
389.00	140.70
389.25	141.08
389.50	150.69
389.75	-0.058090
390.00	84.248
390.25	113.64
390.50	127.00
390.75	13.794
391.00	88.981
391.25	98.826
391.50	35.982
391.75	-35.633
392.00	100.28
392.25	-32.990
392.50	24.481
392.75	81.663
393.00	169.34
393.25	32.671
393.50	108.32
393.75	17.947
394.00	72.864
394.25	128.74
394.50	119.18
394.75	53.174
395.00	31.248
395.25	69.960
395.50	82.592
395.75	25.701
396.00	52.332
396.25	80.705
396.50	89.417
396.75	94.615
397.00	74.025
397.25	16.263
397.50	158.27
397.75	-15.943
398.00	127.08
398.25	136.41
398.50	153.77
398.75	54.597
399.00	62.728
399.25	137.62
399.50	118.31
399.75	38.218
400.00	2.9041
