Wavelength (nm)	N14 abs e
603.00	2956.2
604.00	2652.3
605.00	2386.6
606.00	2131.9
607.00	1940.6
608.00	1728.4
609.00	1608.3
610.00	1457.3
611.00	1353.1
612.00	1252.8
613.00	1162.1
614.00	1092.8
615.00	1034.2
616.00	960.57
617.00	908.65
618.00	855.18
619.00	807.56
620.00	766.06
621.00	750.71
622.00	699.38
623.00	676.53
624.00	631.38
625.00	615.61
626.00	584.30
627.00	568.13
628.00	539.79
629.00	522.42
630.00	494.13
631.00	471.42
632.00	470.05
633.00	468.13
634.00	479.97
635.00	480.61
636.00	442.72
637.00	409.31
638.00	390.94
639.00	374.49
640.00	338.20
641.00	301.38
642.00	293.09
643.00	283.45
644.00	248.26
645.00	275.27
646.00	263.16
647.00	306.98
648.00	230.80
649.00	226.18
650.00	232.76
651.00	204.25
652.00	205.21
653.00	222.12
654.00	193.11
655.00	186.87
656.00	177.70
657.00	160.19
658.00	146.91
659.00	123.86
660.00	141.50
661.00	103.06
662.00	114.76
663.00	160.05
664.00	132.54
665.00	101.19
666.00	105.76
667.00	77.514
668.00	108.91
669.00	94.287
670.00	106.31
671.00	98.263
672.00	107.22
673.00	106.17
674.00	88.483
675.00	90.402
676.00	107.22
677.00	91.865
678.00	116.32
679.00	85.055
680.00	59.462
681.00	77.697
682.00	74.864
683.00	92.368
684.00	87.203
685.00	80.211
686.00	77.194
687.00	71.939
688.00	67.231
689.00	80.851
690.00	69.288
691.00	60.239
692.00	73.127
693.00	141.03
694.00	59.462
695.00	65.358
696.00	52.744
697.00	73.036
698.00	89.900
699.00	74.315
700.00	76.224
