Wavelength (nm)	B05 abs e
210.00	49448
211.00	47499
212.00	45346
213.00	42900
214.00	40362
215.00	37708
216.00	35406
217.00	33476
218.00	31683
219.00	30013
220.00	28154
221.00	26304
222.00	24629
223.00	23398
224.00	22650
225.00	22348
226.00	22377
227.00	22662
228.00	23108
229.00	23678
230.00	24369
231.00	25194
232.00	26230
233.00	27481
234.00	28928
235.00	30666
236.00	32604
237.00	34777
238.00	37101
239.00	39458
240.00	41927
241.00	44409
242.00	46795
243.00	49134
244.00	51336
245.00	53334
246.00	55135
247.00	56727
248.00	58023
249.00	58971
250.00	59612
251.00	60000
252.00	59992
253.00	59697
254.00	59060
255.00	58179
256.00	57021
257.00	55654
258.00	54036
259.00	52289
260.00	50326
261.00	48215
262.00	46038
263.00	43820
264.00	41487
265.00	39140
266.00	36833
267.00	34607
268.00	32378
269.00	30208
270.00	28009
271.00	25949
272.00	23939
273.00	22012
274.00	20163
275.00	18388
276.00	16655
277.00	14999
278.00	13423
279.00	11962
280.00	10613
281.00	9378.7
282.00	8272.2
283.00	7254.7
284.00	6298.3
285.00	5424.9
286.00	4593.0
287.00	3820.7
288.00	3104.7
289.00	2483.7
290.00	1986.0
291.00	1631.6
292.00	1378.7
293.00	1211.7
294.00	1098.7
295.00	1019.4
296.00	947.36
297.00	899.76
298.00	869.86
299.00	829.57
300.00	803.81
301.00	771.62
302.00	731.10
303.00	703.00
304.00	676.03
305.00	633.44
306.00	605.45
307.00	561.83
308.00	524.99
309.00	481.23
310.00	446.77
311.00	413.30
312.00	387.30
313.00	349.99
314.00	311.13
315.00	282.58
316.00	256.12
317.00	226.82
318.00	189.13
319.00	182.49
320.00	165.01
321.00	152.01
322.00	136.13
323.00	128.33
324.00	110.13
325.00	111.87
326.00	78.878
327.00	79.431
328.00	70.165
329.00	67.400
330.00	64.744
331.00	63.223
332.00	60.319
333.00	55.230
334.00	49.532
335.00	47.651
336.00	57.249
337.00	55.506
338.00	46.185
339.00	45.079
340.00	37.086
341.00	43.447
342.00	39.907
343.00	29.313
344.00	40.488
345.00	33.075
346.00	25.192
347.00	32.549
348.00	29.535
349.00	33.905
350.00	25.137
351.00	32.992
352.00	36.062
353.00	41.732
354.00	41.124
355.00	41.207
356.00	32.107
357.00	41.539
358.00	62.061
359.00	45.826
360.00	28.816
361.00	31.554
362.00	30.641
363.00	41.207
364.00	47.872
365.00	32.715
366.00	38.164
367.00	30.254
368.00	26.575
369.00	36.754
370.00	15.014
371.00	15.567
372.00	30.309
373.00	15.650
374.00	25.386
375.00	43.226
376.00	33.047
377.00	22.067
378.00	26.630
379.00	41.981
380.00	37.307
381.00	39.879
382.00	45.826
383.00	37.058
384.00	30.060
385.00	34.015
386.00	24.307
387.00	15.235
388.00	21.790
389.00	27.128
390.00	63.278
391.00	49.864
392.00	56.032
393.00	40.736
394.00	29.839
395.00	25.579
396.00	37.860
397.00	26.105
398.00	31.886
399.00	17.697
400.00	44.194
