Wavelength (nm)	FL128 [12] 1324-63-6, Xanthorhamnin [D]
220.00	20797
221.00	20371
222.00	19945
223.00	19520
224.00	19063
225.00	18529
226.00	17995
227.00	17460
228.00	16926
229.00	16361
230.00	15793
231.00	15225
232.00	14835
233.00	14448
234.00	14081
235.00	13761
236.00	13507
237.00	13300
238.00	13189
239.00	13089
240.00	13087
241.00	13188
242.00	13452
243.00	13827
244.00	14194
245.00	14560
246.00	15009
247.00	15495
248.00	15980
249.00	16551
250.00	17122
251.00	17693
252.00	18439
253.00	19186
254.00	19932
255.00	20643
256.00	21168
257.00	21693
258.00	21900
259.00	21812
260.00	21725
261.00	21445
262.00	21165
263.00	20749
264.00	20333
265.00	19888
266.00	19444
267.00	19000
268.00	18532
269.00	17873
270.00	17214
271.00	16555
272.00	15753
273.00	14919
274.00	14084
275.00	13033
276.00	11934
277.00	10753
278.00	9577.7
279.00	9003.4
280.00	8577.6
281.00	8356.6
282.00	8172.9
283.00	8068.7
284.00	7966.2
285.00	7948.9
286.00	7931.7
287.00	7934.9
288.00	8006.5
289.00	8078.0
290.00	8149.5
291.00	8213.9
292.00	8268.8
293.00	8323.6
294.00	8378.5
295.00	8401.4
296.00	8421.9
297.00	8442.4
298.00	8462.0
299.00	8450.3
300.00	8438.5
301.00	8426.8
302.00	8415.0
303.00	8377.6
304.00	8338.6
305.00	8299.6
306.00	8260.6
307.00	8210.9
308.00	8159.3
309.00	8107.7
310.00	8061.6
311.00	8017.3
312.00	7973.1
313.00	8002.2
314.00	8044.3
315.00	8086.3
316.00	8133.5
317.00	8277.2
318.00	8421.0
319.00	8564.7
320.00	8708.5
321.00	8852.2
322.00	8998.5
323.00	9158.6
324.00	9318.8
325.00	9478.9
326.00	9639.1
327.00	9799.2
328.00	9959.4
329.00	10166
330.00	10380
331.00	10594
332.00	10808
333.00	11022
334.00	11236
335.00	11450
336.00	11690
337.00	11961
338.00	12231
339.00	12501
340.00	12771
341.00	13041
342.00	13311
343.00	13581
344.00	13845
345.00	14079
346.00	14313
347.00	14546
348.00	14776
349.00	14993
350.00	15211
351.00	15428
352.00	15645
353.00	15802
354.00	15959
355.00	16116
356.00	16273
357.00	16429
358.00	16549
359.00	16669
360.00	16789
361.00	16909
362.00	16957
363.00	17006
364.00	16957
365.00	16909
366.00	16784
367.00	16659
368.00	16534
369.00	16376
370.00	16136
371.00	15896
372.00	15656
373.00	15404
374.00	15141
375.00	14878
376.00	14608
377.00	14280
378.00	13951
379.00	13622
380.00	13294
381.00	12965
382.00	12630
383.00	12230
384.00	11830
385.00	11430
386.00	11030
387.00	10630
388.00	10205
389.00	9721.2
390.00	9237.6
391.00	8754.0
392.00	8270.4
393.00	7786.8
394.00	7265.1
395.00	6727.9
396.00	6190.7
397.00	5764.5
398.00	5338.3
399.00	4931.2
400.00	4678.8
401.00	4426.4
402.00	4174.0
403.00	3921.5
404.00	3692.6
405.00	3478.6
406.00	3264.7
407.00	3070.6
408.00	2918.9
409.00	2767.1
410.00	2615.4
411.00	2468.1
412.00	2327.2
413.00	2186.3
414.00	2045.3
415.00	1912.1
416.00	1806.2
417.00	1700.3
418.00	1594.5
419.00	1488.6
420.00	1382.7
421.00	1309.9
422.00	1256.6
423.00	1203.3
424.00	1149.9
425.00	1096.6
426.00	1043.3
427.00	996.72
428.00	963.93
429.00	931.14
430.00	898.35
431.00	865.57
432.00	846.88
433.00	829.10
434.00	811.32
435.00	789.82
436.00	761.10
437.00	732.39
438.00	703.67
439.00	685.91
440.00	682.11
441.00	678.30
442.00	674.49
443.00	668.63
444.00	656.30
445.00	643.96
446.00	631.62
447.00	622.82
448.00	620.58
449.00	618.35
450.00	616.11
