Wavelength (nm)	FL149 [12] 1251-84-9, Quercetagetin hxamethyl ether [D]
220.00	28514
221.00	28031
222.00	27549
223.00	26978
224.00	26385
225.00	25580
226.00	24877
227.00	24218
228.00	23634
229.00	23117
230.00	22754
231.00	22493
232.00	22403
233.00	22418
234.00	22496
235.00	22602
236.00	22720
237.00	22843
238.00	22972
239.00	23099
240.00	23223
241.00	23207
242.00	23169
243.00	23106
244.00	23049
245.00	23011
246.00	22973
247.00	22922
248.00	22864
249.00	22805
250.00	22722
251.00	22607
252.00	22438
253.00	22208
254.00	21966
255.00	21525
256.00	21069
257.00	20574
258.00	20065
259.00	19557
260.00	19055
261.00	18560
262.00	18125
263.00	17765
264.00	17407
265.00	17049
266.00	16659
267.00	16140
268.00	15455
269.00	14642
270.00	13775
271.00	12999
272.00	12235
273.00	11376
274.00	10708
275.00	10136
276.00	9629.1
277.00	9283.0
278.00	8967.4
279.00	8726.5
280.00	8520.1
281.00	8398.2
282.00	8295.1
283.00	8216.9
284.00	8164.9
285.00	8150.0
286.00	8176.7
287.00	8268.0
288.00	8414.0
289.00	8595.7
290.00	8820.9
291.00	9086.2
292.00	9351.5
293.00	9646.9
294.00	9965.9
295.00	10285
296.00	10604
297.00	11008
298.00	11417
299.00	11826
300.00	12236
301.00	12722
302.00	13210
303.00	13698
304.00	14186
305.00	14685
306.00	15237
307.00	15790
308.00	16342
309.00	16895
310.00	17437
311.00	17944
312.00	18450
313.00	18956
314.00	19462
315.00	19997
316.00	20552
317.00	21107
318.00	21619
319.00	22110
320.00	22600
321.00	23039
322.00	23447
323.00	23831
324.00	24199
325.00	24481
326.00	24763
327.00	24984
328.00	25195
329.00	25378
330.00	25536
331.00	25694
332.00	25787
333.00	25876
334.00	25940
335.00	25985
336.00	25969
337.00	25926
338.00	25796
339.00	25641
340.00	25423
341.00	25180
342.00	24920
343.00	24650
344.00	24308
345.00	23967
346.00	23562
347.00	23141
348.00	22708
349.00	22188
350.00	21669
351.00	21124
352.00	20503
353.00	19883
354.00	19224
355.00	18526
356.00	17821
357.00	17079
358.00	16336
359.00	15523
360.00	14696
361.00	13812
362.00	12944
363.00	12126
364.00	11308
365.00	10490
366.00	9684.2
367.00	8853.5
368.00	7909.8
