Wavelength (nm)	F07 abs e
230.00	10777
230.25	10670
230.50	10661
230.75	10454
231.00	10555
231.25	10465
231.50	10219
231.75	10313
232.00	10355
232.25	10287
232.50	10226
232.75	10299
233.00	10234
233.25	10114
233.50	10135
233.75	10138
234.00	10047
234.25	9961.4
234.50	10149
234.75	10128
235.00	10197
235.25	10043
235.50	10119
235.75	10142
236.00	10149
236.25	10201
236.50	10258
236.75	10252
237.00	10181
237.25	10251
237.50	10348
237.75	10343
238.00	10340
238.25	10275
238.50	10345
238.75	10333
239.00	10378
239.25	10474
239.50	10427
239.75	10538
240.00	10488
240.25	10526
240.50	10530
240.75	10520
241.00	10688
241.25	10510
241.50	10540
241.75	10595
242.00	10542
242.25	10589
242.50	10554
242.75	10567
243.00	10700
243.25	10602
243.50	10590
243.75	10622
244.00	10638
244.25	10595
244.50	10610
244.75	10649
245.00	10589
245.25	10618
245.50	10587
245.75	10414
246.00	10625
246.25	10552
246.50	10511
246.75	10445
247.00	10450
247.25	10678
247.50	10437
247.75	10538
248.00	10624
248.25	10584
248.50	10438
248.75	10536
249.00	10451
249.25	10416
249.50	10521
249.75	10405
250.00	10335
250.25	10458
250.50	10404
250.75	10287
251.00	10407
251.25	10316
251.50	10336
251.75	10279
252.00	10255
252.25	10310
252.50	10202
252.75	10242
253.00	10244
253.25	10225
253.50	10195
253.75	10153
254.00	10181
254.25	10072
254.50	10058
254.75	10189
255.00	10108
255.25	10089
255.50	10029
255.75	10202
256.00	10167
256.25	10187
256.50	10203
256.75	10116
257.00	10142
257.25	10185
257.50	10300
257.75	10203
258.00	10253
258.25	10198
258.50	10304
258.75	10297
259.00	10364
259.25	10382
259.50	10446
259.75	10448
260.00	10698
260.25	10644
260.50	10692
260.75	10684
261.00	10709
261.25	10891
261.50	10859
261.75	10806
262.00	10982
262.25	11039
262.50	11269
262.75	11101
263.00	11313
263.25	11295
263.50	11485
263.75	11480
264.00	11459
264.25	11567
264.50	11722
264.75	11634
265.00	11781
265.25	11829
265.50	11853
265.75	12020
266.00	12142
266.25	12069
266.50	12164
266.75	12163
267.00	12317
267.25	12303
267.50	12391
267.75	12445
268.00	12530
268.25	12572
268.50	12532
268.75	12784
269.00	12703
269.25	12788
269.50	12664
269.75	12850
270.00	12856
270.25	12845
270.50	12873
270.75	12939
271.00	12939
271.25	13005
271.50	13022
271.75	13068
272.00	12898
272.25	13094
272.50	13126
272.75	13164
273.00	12946
273.25	13141
273.50	13096
273.75	13102
274.00	13112
274.25	13008
274.50	13088
274.75	12997
275.00	12938
275.25	12888
275.50	12925
275.75	12754
276.00	12743
276.25	12696
276.50	12643
276.75	12595
277.00	12511
277.25	12479
277.50	12462
277.75	12344
278.00	12104
278.25	12136
278.50	12068
278.75	11916
279.00	11766
279.25	11761
279.50	11568
279.75	11475
280.00	11374
280.25	11349
280.50	11261
280.75	11094
281.00	10930
281.25	10804
281.50	10739
281.75	10521
282.00	10418
282.25	10297
282.50	10183
282.75	10177
283.00	9926.4
283.25	9815.7
283.50	9666.2
283.75	9531.0
284.00	9410.1
284.25	9238.3
284.50	9189.0
284.75	8896.5
285.00	8799.6
285.25	8697.6
285.50	8486.2
285.75	8445.1
286.00	8254.0
286.25	8179.8
286.50	8046.0
286.75	7817.0
287.00	7650.0
287.25	7593.1
287.50	7325.7
287.75	7219.9
288.00	7016.7
288.25	6854.1
288.50	6810.2
288.75	6645.2
