Wavelength (nm)	Q18 abs e
300.00	14710
301.00	14519
302.00	14337
303.00	14125
304.00	13902
305.00	13722
306.00	13520
307.00	13344
308.00	13144
309.00	12981
310.00	12838
311.00	12704
312.00	12626
313.00	12525
314.00	12462
315.00	12412
316.00	12377
317.00	12363
318.00	12332
319.00	12318
320.00	12310
321.00	12293
322.00	12290
323.00	12293
324.00	12290
325.00	12318
326.00	12362
327.00	12416
328.00	12482
329.00	12561
330.00	12668
331.00	12779
332.00	12929
333.00	13043
334.00	13182
335.00	13309
336.00	13447
337.00	13542
338.00	13661
339.00	13756
340.00	13836
341.00	13923
342.00	13985
343.00	14088
344.00	14166
345.00	14240
346.00	14362
347.00	14471
348.00	14593
349.00	14721
350.00	14842
351.00	14991
352.00	15162
353.00	15310
354.00	15457
355.00	15631
356.00	15837
357.00	15995
358.00	16212
359.00	16361
360.00	16466
361.00	16611
362.00	16731
363.00	16884
364.00	17321
365.00	17967
366.00	18685
367.00	19214
368.00	19485
369.00	19642
370.00	19918
371.00	20293
372.00	20748
373.00	21219
374.00	21688
375.00	22086
376.00	22554
377.00	23016
378.00	23431
379.00	23806
380.00	24230
381.00	24536
382.00	24904
383.00	25208
384.00	25449
385.00	25696
386.00	25936
387.00	26087
388.00	26185
389.00	26325
390.00	26451
391.00	26508
392.00	26530
393.00	26625
394.00	26711
395.00	26766
396.00	26787
397.00	26840
398.00	26877
399.00	27078
400.00	27327
401.00	27588
402.00	27871
403.00	28283
404.00	28848
405.00	29571
406.00	30404
407.00	31512
408.00	32809
409.00	34304
410.00	35972
411.00	37832
412.00	40004
413.00	42176
414.00	44500
415.00	47016
416.00	49564
417.00	52221
418.00	54941
419.00	57701
420.00	60432
421.00	63375
422.00	66158
423.00	68911
424.00	71954
425.00	75296
426.00	78973
427.00	83271
428.00	87796
429.00	93163
430.00	98963
431.00	1.0488e+05
432.00	1.1110e+05
433.00	1.1864e+05
434.00	1.2640e+05
435.00	1.3323e+05
436.00	1.4075e+05
437.00	1.4725e+05
438.00	1.5255e+05
439.00	1.5666e+05
440.00	1.5900e+05
441.00	1.5896e+05
442.00	1.5681e+05
443.00	1.5223e+05
444.00	1.4593e+05
445.00	1.3837e+05
446.00	1.2946e+05
447.00	1.2020e+05
448.00	1.1108e+05
449.00	1.0204e+05
450.00	93654
451.00	86148
452.00	79056
453.00	72777
454.00	67215
455.00	62105
456.00	57716
457.00	53394
458.00	49303
459.00	45397
460.00	41623
461.00	37843
462.00	34215
463.00	30310
464.00	26660
465.00	23431
466.00	20635
467.00	18116
468.00	15565
469.00	13593
470.00	11865
471.00	10225
472.00	8908.8
473.00	7795.4
474.00	6989.9
475.00	6228.4
476.00	5647.1
477.00	5176.9
478.00	4744.8
479.00	4391.5
480.00	4066.8
481.00	3883.8
482.00	3641.6
483.00	3479.6
484.00	3316.8
485.00	3063.3
486.00	2948.4
487.00	3283.4
488.00	3147.0
489.00	3004.7
490.00	2933.1
491.00	2938.1
492.00	2914.5
493.00	2964.0
494.00	3046.5
495.00	3116.2
496.00	3168.7
497.00	3285.0
498.00	3415.4
499.00	3479.6
500.00	3606.5
501.00	3710.6
502.00	3778.8
503.00	3840.9
504.00	3962.3
505.00	3977.0
506.00	4017.3
507.00	4064.4
508.00	4032.7
509.00	4082.7
510.00	4068.9
511.00	4060.9
512.00	3992.9
513.00	3946.8
514.00	3901.8
515.00	3912.7
516.00	3850.5
517.00	3797.1
518.00	3828.4
519.00	3768.1
520.00	3809.9
521.00	3841.5
522.00	3917.4
523.00	4022.6
524.00	4153.8
525.00	4302.0
526.00	4472.5
527.00	4698.8
528.00	4930.1
529.00	5205.1
530.00	5495.4
531.00	5785.6
532.00	6095.5
533.00	6404.0
534.00	6707.1
535.00	7006.5
536.00	7240.9
537.00	7450.6
538.00	7610.7
539.00	7788.0
540.00	7908.6
541.00	7931.8
542.00	7916.5
543.00	7950.6
544.00	7858.7
545.00	7774.3
546.00	7664.7
547.00	7455.1
548.00	7321.2
549.00	7144.4
550.00	6936.6
551.00	6682.6
552.00	6388.3
553.00	6215.4
554.00	5996.7
555.00	5714.9
556.00	5503.8
557.00	5308.6
558.00	5127.8
559.00	4952.0
560.00	4749.9
561.00	4628.3
562.00	4576.6
563.00	4526.0
564.00	4537.8
565.00	4572.8
566.00	4679.5
567.00	4777.5
568.00	4970.4
569.00	5211.3
570.00	5551.9
571.00	5905.0
572.00	6330.4
573.00	6776.6
574.00	7228.9
575.00	7738.0
576.00	8242.5
577.00	8697.7
578.00	9147.0
579.00	9593.9
580.00	9961.8
581.00	10193
582.00	10469
583.00	10724
584.00	10723
585.00	10646
586.00	10681
587.00	10512
588.00	10298
589.00	10075
590.00	9741.7
591.00	9354.6
592.00	8957.3
593.00	8495.0
594.00	8205.5
595.00	7708.1
596.00	7328.3
597.00	6878.1
598.00	6386.7
599.00	6014.6
600.00	5658.6
601.00	5284.2
602.00	4927.2
603.00	4551.0
604.00	4285.3
605.00	3971.6
606.00	3669.5
607.00	3436.5
608.00	3198.5
609.00	2996.0
610.00	2773.0
611.00	2593.4
612.00	2451.8
613.00	2271.7
614.00	2132.6
615.00	1983.8
616.00	1884.9
617.00	1756.6
618.00	1641.7
619.00	1562.9
620.00	1456.2
621.00	1448.8
622.00	1336.0
623.00	1281.5
624.00	1229.9
625.00	1154.1
626.00	1123.0
627.00	1058.7
628.00	1025.7
629.00	988.85
630.00	964.17
631.00	958.36
632.00	937.40
633.00	911.50
634.00	883.96
635.00	848.78
636.00	819.70
637.00	837.43
638.00	831.62
639.00	865.13
640.00	885.06
641.00	901.67
642.00	887.14
643.00	923.27
644.00	970.70
645.00	977.53
646.00	1003.8
647.00	1075.1
648.00	1096.6
649.00	1168.2
650.00	1218.5
651.00	1236.5
652.00	1281.7
653.00	1328.4
654.00	1439.6
655.00	1307.4
656.00	1262.4
657.00	1879.4
658.00	1732.6
659.00	1635.3
660.00	1654.7
661.00	1696.6
662.00	1759.9
663.00	1794.9
664.00	1805.2
665.00	1844.5
666.00	1884.6
667.00	1908.7
668.00	1943.4
669.00	1936.4
670.00	1956.0
671.00	1938.5
672.00	1952.6
673.00	1963.2
674.00	1971.9
675.00	1954.3
676.00	1961.3
677.00	1970.9
678.00	1951.4
679.00	1959.7
680.00	1964.9
681.00	1968.4
682.00	1969.7
683.00	1994.1
684.00	1983.1
685.00	1996.4
686.00	2020.5
687.00	2045.6
688.00	2044.0
689.00	2073.8
690.00	2091.2
691.00	2120.5
692.00	2151.6
693.00	2194.4
694.00	2252.7
695.00	2271.8
696.00	2343.7
697.00	2410.8
698.00	2482.8
699.00	2557.1
700.00	2673.1
701.00	2783.9
702.00	2889.9
703.00	3037.6
704.00	3195.7
705.00	3357.2
706.00	3560.7
707.00	3779.7
708.00	4026.3
709.00	4282.6
710.00	4562.9
711.00	4882.5
712.00	5192.7
713.00	5552.8
714.00	5922.0
715.00	6315.8
716.00	6724.5
717.00	7111.4
718.00	7519.5
719.00	7934.9
720.00	8310.6
721.00	8685.9
722.00	9017.1
723.00	9319.9
724.00	9602.7
725.00	9822.2
726.00	9998.2
727.00	10139
728.00	10191
729.00	10225
730.00	10178
731.00	10092
732.00	9963.5
733.00	9810.6
734.00	9583.4
735.00	9320.8
736.00	9046.1
737.00	8740.1
738.00	8407.5
739.00	8034.3
740.00	7679.7
741.00	7315.6
742.00	6935.0
743.00	6552.3
744.00	6203.8
745.00	5818.3
746.00	5463.5
747.00	5121.4
748.00	4808.0
749.00	4481.6
750.00	4165.0
751.00	3856.3
752.00	3594.0
753.00	3326.7
754.00	3077.6
755.00	2855.9
756.00	2629.7
757.00	2437.3
758.00	2245.8
759.00	2073.6
760.00	1899.3
761.00	1782.7
762.00	1643.6
763.00	1519.5
764.00	1430.8
765.00	1314.9
766.00	1235.8
767.00	1150.7
768.00	1074.4
769.00	1000.3
770.00	948.78
771.00	902.64
772.00	841.86
773.00	794.64
774.00	761.00
775.00	711.02
776.00	695.79
777.00	662.43
778.00	607.32
779.00	576.58
780.00	561.90
781.00	527.02
782.00	508.74
783.00	494.06
784.00	451.42
785.00	432.04
786.00	428.57
787.00	405.31
788.00	380.66
789.00	349.92
790.00	350.77
791.00	319.33
792.00	305.21
793.00	293.16
794.00	270.73
795.00	260.07
796.00	236.94
797.00	214.79
798.00	202.88
799.00	174.37
800.00	176.30
