Wavelength (nm)	C05 abs e
200.00	17105
201.00	18478
202.00	20230
203.00	22030
204.00	24460
205.00	27250
206.00	29539
207.00	31057
208.00	32002
209.00	32719
210.00	33758
211.00	35780
212.00	36820
213.00	34368
214.00	30430
215.00	28126
216.00	27036
217.00	25175
218.00	22560
219.00	21692
220.00	23278
221.00	24088
222.00	20264
223.00	14909
224.00	11104
225.00	9076.5
226.00	8539.0
227.00	8936.0
228.00	9849.7
229.00	11029
230.00	12382
231.00	13934
232.00	15707
233.00	17761
234.00	20065
235.00	22729
236.00	25407
237.00	27898
238.00	30227
239.00	32748
240.00	36076
241.00	40118
242.00	44534
243.00	49156
244.00	52575
245.00	53808
246.00	53564
247.00	53668
248.00	55628
249.00	59391
250.00	63929
251.00	68064
252.00	69200
253.00	64742
254.00	56713
255.00	48600
256.00	41739
257.00	37087
258.00	34421
259.00	31684
260.00	27845
261.00	23976
262.00	20931
263.00	18859
264.00	17990
265.00	17371
266.00	16481
267.00	15886
268.00	15361
269.00	14477
270.00	13817
271.00	13990
272.00	14517
273.00	14991
274.00	15626
275.00	15800
276.00	14790
277.00	12946
278.00	11383
279.00	10930
280.00	11458
281.00	12175
282.00	11943
283.00	10468
284.00	8833.9
285.00	7667.3
286.00	6788.8
287.00	6090.5
288.00	5919.9
289.00	6771.1
290.00	7864.8
291.00	9134.7
292.00	12360
293.00	15429
294.00	14056
295.00	9699.5
296.00	5994.6
297.00	3717.5
298.00	2326.6
299.00	1509.8
300.00	1023.7
301.00	767.79
302.00	635.98
303.00	558.62
304.00	482.79
305.00	455.48
306.00	422.46
307.00	416.26
308.00	417.34
309.00	409.21
310.00	385.78
311.00	386.45
312.00	379.40
313.00	388.34
314.00	405.40
315.00	420.27
316.00	416.80
317.00	382.51
318.00	355.09
319.00	319.35
320.00	331.05
321.00	360.02
322.00	399.13
323.00	425.70
324.00	410.63
325.00	380.15
326.00	350.14
327.00	338.97
328.00	346.90
329.00	389.49
330.00	436.46
331.00	391.61
332.00	335.10
333.00	306.54
334.00	290.69
335.00	269.44
336.00	284.65
337.00	326.46
338.00	367.10
339.00	366.22
340.00	309.74
341.00	244.66
342.00	204.70
343.00	192.56
344.00	207.54
345.00	291.87
346.00	346.86
347.00	297.63
348.00	217.65
349.00	174.73
350.00	148.12
