Wavelength (nm)	Toly Q (2021)
300.00	0.11940
301.00	0.12077
302.00	0.12309
303.00	0.12370
304.00	0.12398
305.00	0.12507
306.00	0.12601
307.00	0.12834
308.00	0.12917
309.00	0.13082
310.00	0.13299
311.00	0.13477
312.00	0.13637
313.00	0.13954
314.00	0.14180
315.00	0.14666
316.00	0.14950
317.00	0.15204
318.00	0.15601
319.00	0.16012
320.00	0.16427
321.00	0.16751
322.00	0.17107
323.00	0.17103
324.00	0.17371
325.00	0.17286
326.00	0.17430
327.00	0.17360
328.00	0.17431
329.00	0.17462
330.00	0.17340
331.00	0.17068
332.00	0.17018
333.00	0.16802
334.00	0.16807
335.00	0.16971
336.00	0.16794
337.00	0.16752
338.00	0.16807
339.00	0.16841
340.00	0.17121
341.00	0.17298
342.00	0.17548
343.00	0.17973
344.00	0.18611
345.00	0.19066
346.00	0.19957
347.00	0.20674
348.00	0.21542
349.00	0.22385
350.00	0.23484
351.00	0.24707
352.00	0.25557
353.00	0.26827
354.00	0.28085
355.00	0.29367
356.00	0.30834
357.00	0.31860
358.00	0.33365
359.00	0.34487
360.00	0.35890
361.00	0.37229
362.00	0.38486
363.00	0.39474
364.00	0.40581
365.00	0.41884
366.00	0.43368
367.00	0.44832
368.00	0.45981
369.00	0.47250
370.00	0.49112
371.00	0.50683
372.00	0.52464
373.00	0.53771
374.00	0.55816
375.00	0.57725
376.00	0.60324
377.00	0.62597
378.00	0.64787
379.00	0.66903
380.00	0.69415
381.00	0.71919
382.00	0.74457
383.00	0.76430
384.00	0.78363
385.00	0.80090
386.00	0.81954
387.00	0.83868
388.00	0.85604
389.00	0.87255
390.00	0.89412
391.00	0.91708
392.00	0.94076
393.00	0.96000
394.00	0.97891
395.00	0.99343
396.00	1.0000
397.00	0.99951
398.00	0.99051
399.00	0.97461
400.00	0.95137
401.00	0.92594
402.00	0.88704
403.00	0.85458
404.00	0.82459
405.00	0.78535
406.00	0.75062
407.00	0.71331
408.00	0.67065
409.00	0.63594
410.00	0.60177
411.00	0.56896
412.00	0.53134
413.00	0.49455
414.00	0.46134
415.00	0.43119
416.00	0.39999
417.00	0.36825
418.00	0.33295
419.00	0.30414
420.00	0.27990
421.00	0.25159
422.00	0.22705
423.00	0.20244
424.00	0.17720
425.00	0.15703
426.00	0.14072
427.00	0.12179
428.00	0.10608
429.00	0.090965
430.00	0.079844
431.00	0.070516
432.00	0.061023
433.00	0.053710
434.00	0.046121
435.00	0.040986
436.00	0.037010
437.00	0.032928
438.00	0.030159
439.00	0.027474
440.00	0.024805
441.00	0.023017
442.00	0.021180
443.00	0.019612
444.00	0.018474
445.00	0.017449
446.00	0.016883
447.00	0.016535
448.00	0.015493
449.00	0.015172
450.00	0.014654
451.00	0.014553
452.00	0.014758
453.00	0.014596
454.00	0.014644
455.00	0.014648
456.00	0.014821
457.00	0.015125
458.00	0.014959
459.00	0.015367
460.00	0.016003
461.00	0.016004
462.00	0.016815
463.00	0.017470
464.00	0.018319
465.00	0.019735
466.00	0.020127
467.00	0.021345
468.00	0.021890
469.00	0.022989
470.00	0.024547
471.00	0.026137
472.00	0.027919
473.00	0.029053
474.00	0.030730
475.00	0.032169
476.00	0.033547
477.00	0.035278
478.00	0.036456
479.00	0.037691
480.00	0.038946
481.00	0.040534
482.00	0.041060
483.00	0.041887
484.00	0.042341
485.00	0.042604
486.00	0.042807
487.00	0.043500
488.00	0.043669
489.00	0.044005
490.00	0.044836
491.00	0.045989
492.00	0.046589
493.00	0.046683
494.00	0.047970
495.00	0.049893
496.00	0.051938
497.00	0.053026
498.00	0.054145
499.00	0.055643
500.00	0.056583
501.00	0.057279
502.00	0.057801
503.00	0.058298
504.00	0.057286
505.00	0.055919
506.00	0.053909
507.00	0.051939
508.00	0.049794
509.00	0.047127
510.00	0.044389
511.00	0.041154
512.00	0.038198
513.00	0.035733
514.00	0.033406
515.00	0.031279
516.00	0.029318
517.00	0.027359
518.00	0.025279
519.00	0.024278
520.00	0.023165
521.00	0.022354
522.00	0.021955
523.00	0.021114
524.00	0.020455
525.00	0.020924
526.00	0.021589
527.00	0.022539
528.00	0.023388
529.00	0.025901
530.00	0.027975
531.00	0.030316
532.00	0.033791
533.00	0.036992
534.00	0.040341
535.00	0.043413
536.00	0.046723
537.00	0.049470
538.00	0.051389
539.00	0.053708
540.00	0.054717
541.00	0.054996
542.00	0.054759
543.00	0.054603
544.00	0.053526
545.00	0.052641
546.00	0.051153
547.00	0.049571
548.00	0.047585
549.00	0.045509
550.00	0.043926
551.00	0.042231
552.00	0.040030
553.00	0.038162
554.00	0.036576
555.00	0.035330
556.00	0.033424
557.00	0.031222
558.00	0.029478
559.00	0.027562
560.00	0.025136
561.00	0.024084
562.00	0.022574
563.00	0.021400
564.00	0.020331
565.00	0.019518
566.00	0.018081
567.00	0.018072
568.00	0.017198
569.00	0.017531
570.00	0.017537
571.00	0.017974
572.00	0.018292
573.00	0.018987
574.00	0.019669
575.00	0.020955
576.00	0.023020
577.00	0.025780
578.00	0.029186
579.00	0.031752
580.00	0.034460
581.00	0.038042
582.00	0.037715
583.00	0.038609
584.00	0.036747
585.00	0.036411
586.00	0.036778
587.00	0.036383
588.00	0.035447
589.00	0.033743
590.00	0.031624
591.00	0.029490
592.00	0.028299
593.00	0.026633
594.00	0.024564
595.00	0.023077
596.00	0.021214
597.00	0.019811
598.00	0.017740
599.00	0.017177
600.00	0.016075
601.00	0.015335
602.00	0.014748
603.00	0.014552
604.00	0.014641
605.00	0.014180
606.00	0.014558
607.00	0.014908
608.00	0.015658
609.00	0.016395
610.00	0.017027
611.00	0.016686
612.00	0.016612
613.00	0.016213
614.00	0.015835
615.00	0.015420
616.00	0.016957
617.00	0.017303
618.00	0.017765
619.00	0.018966
620.00	0.019367
621.00	0.021939
622.00	0.024168
623.00	0.027232
624.00	0.030238
625.00	0.033708
626.00	0.038014
627.00	0.043302
628.00	0.048087
629.00	0.056327
630.00	0.066423
631.00	0.079262
632.00	0.093212
633.00	0.11256
634.00	0.13511
635.00	0.15961
636.00	0.18542
637.00	0.20883
638.00	0.22252
639.00	0.22600
640.00	0.22030
641.00	0.20154
642.00	0.17408
643.00	0.14223
644.00	0.11276
645.00	0.092213
646.00	0.070768
647.00	0.055817
648.00	0.042600
649.00	0.032459
650.00	0.026268
651.00	0.021700
652.00	0.019582
653.00	0.017688
654.00	0.017023
655.00	0.016839
656.00	0.016821
657.00	0.017096
658.00	0.018036
659.00	0.019323
660.00	0.020922
661.00	0.022326
662.00	0.023537
663.00	0.025322
664.00	0.026570
665.00	0.027338
666.00	0.028424
667.00	0.027258
668.00	0.027141
669.00	0.025723
670.00	0.023201
671.00	0.021094
672.00	0.018682
673.00	0.015871
674.00	0.013662
675.00	0.012663
676.00	0.010334
677.00	0.0094670
678.00	0.0088505
679.00	0.0078034
680.00	0.0070658
681.00	0.0074557
682.00	0.0069642
683.00	0.0067633
684.00	0.0068202
685.00	0.0074128
686.00	0.0060225
687.00	0.0054427
688.00	0.0054894
689.00	0.0049452
690.00	0.0043218
691.00	0.0044329
692.00	0.0037452
693.00	0.0037841
694.00	0.0040404
695.00	0.0040315
696.00	0.0038818
697.00	0.0040857
698.00	0.0037921
699.00	0.0023504
700.00	0.0022530
701.00	0.0021982
702.00	0.0025946
703.00	0.0025093
