Wavelength (nm)	G02 ABS e
200.00	14961
201.00	14989
202.00	14941
203.00	13136
204.00	12698
205.00	12099
206.00	11503
207.00	10863
208.00	10932
209.00	11228
210.00	11664
211.00	12062
212.00	12218
213.00	12350
214.00	12466
215.00	12582
216.00	12760
217.00	13015
218.00	13450
219.00	14002
220.00	14649
221.00	15283
222.00	15912
223.00	16421
224.00	16799
225.00	16982
226.00	16950
227.00	16648
228.00	16089
229.00	15309
230.00	14306
231.00	13118
232.00	11806
233.00	10401
234.00	8995.0
235.00	7619.0
236.00	6369.3
237.00	5237.7
238.00	4261.5
239.00	3458.1
240.00	2784.9
241.00	2244.8
242.00	1815.3
243.00	1468.7
244.00	1194.5
245.00	987.06
246.00	823.44
247.00	695.03
248.00	599.39
249.00	531.39
250.00	483.87
251.00	451.03
252.00	433.60
253.00	426.79
254.00	435.09
255.00	452.59
256.00	479.14
257.00	515.30
258.00	562.88
259.00	619.85
260.00	687.05
261.00	767.45
262.00	855.75
263.00	953.92
264.00	1070.5
265.00	1196.7
266.00	1343.4
267.00	1496.9
268.00	1672.9
269.00	1868.8
270.00	2081.7
271.00	2306.7
272.00	2558.9
273.00	2833.6
274.00	3128.8
275.00	3445.1
276.00	3780.5
277.00	4135.6
278.00	4513.0
279.00	4903.3
280.00	5307.2
281.00	5721.3
282.00	6148.8
283.00	6582.7
284.00	7018.0
285.00	7444.7
286.00	7860.7
287.00	8254.1
288.00	8620.2
289.00	8951.6
290.00	9272.9
291.00	9540.7
292.00	9763.5
293.00	9922.6
294.00	10000
295.00	9986.9
296.00	9888.3
297.00	9708.7
298.00	9441.2
299.00	9124.8
300.00	8749.7
301.00	8343.6
302.00	7900.1
303.00	7407.8
304.00	6847.1
305.00	6201.2
306.00	5467.8
307.00	4651.2
308.00	3834.5
309.00	3061.3
310.00	2363.7
311.00	1766.0
312.00	1295.1
313.00	937.90
314.00	676.37
315.00	481.15
316.00	347.49
317.00	257.89
318.00	191.82
319.00	152.36
320.00	122.09
321.00	103.34
322.00	85.205
323.00	76.028
324.00	69.437
325.00	66.229
326.00	58.655
327.00	57.530
328.00	56.456
329.00	50.729
330.00	49.638
331.00	50.108
332.00	48.429
333.00	47.606
334.00	45.423
335.00	43.550
336.00	39.469
337.00	39.923
338.00	41.342
339.00	39.192
340.00	41.644
341.00	39.092
342.00	40.099
343.00	39.612
344.00	36.153
345.00	37.110
346.00	36.413
347.00	34.499
348.00	37.076
349.00	37.622
350.00	33.903
