Wavelength (nm)	T08 abs e
300.00	16045
301.00	15911
302.00	15832
303.00	15684
304.00	15680
305.00	15661
306.00	15700
307.00	15714
308.00	15798
309.00	15920
310.00	15974
311.00	15951
312.00	15829
313.00	15580
314.00	15067
315.00	14476
316.00	13793
317.00	13078
318.00	12435
319.00	11863
320.00	11430
321.00	11125
322.00	10917
323.00	10906
324.00	10924
325.00	11068
326.00	11258
327.00	11450
328.00	11661
329.00	11907
330.00	12110
331.00	12350
332.00	12557
333.00	12749
334.00	12987
335.00	13171
336.00	13391
337.00	13655
338.00	13954
339.00	14267
340.00	14636
341.00	15051
342.00	15533
343.00	16063
344.00	16620
345.00	17167
346.00	17763
347.00	18382
348.00	18909
349.00	19432
350.00	19841
351.00	20265
352.00	20607
353.00	20932
354.00	21305
355.00	21705
356.00	22165
357.00	22787
358.00	23481
359.00	24386
360.00	25497
361.00	26689
362.00	28071
363.00	29577
364.00	31030
365.00	32435
366.00	33786
367.00	34960
368.00	36019
369.00	36715
370.00	37134
371.00	37109
372.00	36866
373.00	36357
374.00	35726
375.00	34962
376.00	34383
377.00	33995
378.00	33842
379.00	34133
380.00	34750
381.00	35568
382.00	36628
383.00	37992
384.00	39455
385.00	40952
386.00	42448
387.00	43984
388.00	45424
389.00	47069
390.00	48903
391.00	51147
392.00	53681
393.00	56537
394.00	60002
395.00	64186
396.00	69486
397.00	75767
398.00	82881
399.00	90321
400.00	98463
401.00	1.0747e+05
402.00	1.1595e+05
403.00	1.2399e+05
404.00	1.3134e+05
405.00	1.3693e+05
406.00	1.4099e+05
407.00	1.4355e+05
408.00	1.4560e+05
409.00	1.4664e+05
410.00	1.4694e+05
411.00	1.4668e+05
412.00	1.4665e+05
413.00	1.4734e+05
414.00	1.4789e+05
415.00	1.4990e+05
416.00	1.5233e+05
417.00	1.5589e+05
418.00	1.6025e+05
419.00	1.6319e+05
420.00	1.6507e+05
421.00	1.6545e+05
422.00	1.6402e+05
423.00	1.6185e+05
424.00	1.5858e+05
425.00	1.5469e+05
426.00	1.4911e+05
427.00	1.4172e+05
428.00	1.3370e+05
429.00	1.2229e+05
430.00	1.0982e+05
431.00	97196
432.00	83835
433.00	69611
434.00	57471
435.00	47390
436.00	37969
437.00	30339
438.00	24098
439.00	19211
440.00	15300
441.00	12049
442.00	9943.9
443.00	8163.9
444.00	6877.5
445.00	5952.7
446.00	5129.8
447.00	4606.3
448.00	4231.6
449.00	3942.0
450.00	3731.3
451.00	3554.9
452.00	3455.1
453.00	3418.3
454.00	3362.7
455.00	3375.0
456.00	3387.2
457.00	3386.9
458.00	3440.5
459.00	3498.8
460.00	3489.7
461.00	3613.5
462.00	3635.0
463.00	3709.1
464.00	3744.9
465.00	3803.4
466.00	3836.9
467.00	3928.6
468.00	3997.3
469.00	4069.6
470.00	4066.9
471.00	4153.6
472.00	4216.5
473.00	4164.0
474.00	4242.6
475.00	4177.8
476.00	4292.5
477.00	4339.2
478.00	4264.3
479.00	4316.7
480.00	4401.4
481.00	4421.6
482.00	4403.2
483.00	4400.8
484.00	4362.0
485.00	4475.2
486.00	4468.6
487.00	4300.2
488.00	4296.5
489.00	4402.0
490.00	4416.3
491.00	4473.3
492.00	4698.4
493.00	4685.1
494.00	4815.0
495.00	5116.1
