Wavelength  (nm)	CoproP I (in DMF).ems
590.00	0.0075883
591.00	0.0075282
592.00	0.0091737
593.00	0.010428
594.00	0.012419
595.00	0.013409
596.00	0.013822
597.00	0.013612
598.00	0.014379
599.00	0.014196
600.00	0.014861
601.00	0.016948
602.00	0.017630
603.00	0.020537
604.00	0.023737
605.00	0.030807
606.00	0.037922
607.00	0.047199
608.00	0.058858
609.00	0.073676
610.00	0.091685
611.00	0.11365
612.00	0.13969
613.00	0.17231
614.00	0.21430
615.00	0.27926
616.00	0.36938
617.00	0.48193
618.00	0.63199
619.00	0.79441
620.00	0.91924
621.00	1.0000
622.00	0.99327
623.00	0.93913
624.00	0.83181
625.00	0.70755
626.00	0.58754
627.00	0.48627
628.00	0.40411
629.00	0.34834
630.00	0.28928
631.00	0.26140
632.00	0.22789
633.00	0.20409
634.00	0.17770
635.00	0.16010
636.00	0.14102
637.00	0.12339
638.00	0.10901
639.00	0.096830
640.00	0.092457
641.00	0.084780
642.00	0.081098
643.00	0.080290
644.00	0.082916
645.00	0.087912
646.00	0.090647
647.00	0.10510
648.00	0.11210
649.00	0.12262
650.00	0.12913
651.00	0.13116
652.00	0.13741
653.00	0.13391
654.00	0.13400
655.00	0.12949
656.00	0.12908
657.00	0.12861
658.00	0.12802
659.00	0.12921
660.00	0.13227
661.00	0.13774
662.00	0.13771
663.00	0.15164
664.00	0.16077
665.00	0.17477
666.00	0.18401
667.00	0.19331
668.00	0.21444
669.00	0.21698
670.00	0.23342
671.00	0.24099
672.00	0.24834
673.00	0.24992
674.00	0.25157
675.00	0.25873
676.00	0.26101
677.00	0.26069
678.00	0.26105
679.00	0.27004
680.00	0.26380
681.00	0.28776
682.00	0.30844
683.00	0.31640
684.00	0.36108
685.00	0.39389
686.00	0.42922
687.00	0.45578
688.00	0.46499
689.00	0.45904
690.00	0.42743
691.00	0.41360
692.00	0.36693
693.00	0.31624
694.00	0.28858
695.00	0.24862
696.00	0.21164
697.00	0.18941
698.00	0.16408
699.00	0.14461
700.00	0.12765
701.00	0.11696
702.00	0.10328
703.00	0.093734
704.00	0.087474
705.00	0.079058
706.00	0.071919
707.00	0.064253
708.00	0.061519
709.00	0.054216
710.00	0.047581
