Wavelength (nm)	Chem Eur J 2014_87, mes16-FCC-1 (1) abs [Z]
200.00	0.95736
201.00	0.95160
202.00	0.94584
203.00	0.94008
204.00	0.93434
205.00	0.92861
206.00	0.92346
207.00	0.91962
208.00	0.91659
209.00	0.91519
210.00	0.91379
211.00	0.91240
212.00	0.91118
213.00	0.91101
214.00	0.91083
215.00	0.91066
216.00	0.91192
217.00	0.91343
218.00	0.91495
219.00	0.91647
220.00	0.91798
221.00	0.91950
222.00	0.91883
223.00	0.91717
224.00	0.91551
225.00	0.91366
226.00	0.91091
227.00	0.90816
228.00	0.90544
229.00	0.90287
230.00	0.90029
231.00	0.89771
232.00	0.89519
233.00	0.89306
234.00	0.89094
235.00	0.88882
236.00	0.88669
237.00	0.88450
238.00	0.88199
239.00	0.87948
240.00	0.87697
241.00	0.87446
242.00	0.87195
243.00	0.86945
244.00	0.86706
245.00	0.86468
246.00	0.86229
247.00	0.85990
248.00	0.85725
249.00	0.85449
250.00	0.85174
251.00	0.84898
252.00	0.84623
253.00	0.84348
254.00	0.84056
255.00	0.83759
256.00	0.83463
257.00	0.83167
258.00	0.82871
259.00	0.82593
260.00	0.82315
261.00	0.82037
262.00	0.81759
263.00	0.81365
264.00	0.80820
265.00	0.80274
266.00	0.79729
267.00	0.78880
268.00	0.77951
269.00	0.77027
270.00	0.76132
271.00	0.75237
272.00	0.74342
273.00	0.73377
274.00	0.72251
275.00	0.71126
276.00	0.70012
277.00	0.68910
278.00	0.67807
279.00	0.66667
280.00	0.65511
281.00	0.64472
282.00	0.63702
283.00	0.63087
284.00	0.62677
285.00	0.62456
286.00	0.62235
287.00	0.62391
288.00	0.62600
289.00	0.62808
290.00	0.63514
291.00	0.64362
292.00	0.65660
293.00	0.66957
294.00	0.68224
295.00	0.69492
296.00	0.70759
297.00	0.72271
298.00	0.73914
299.00	0.75557
300.00	0.77201
301.00	0.78844
302.00	0.80514
303.00	0.82351
304.00	0.84188
305.00	0.86025
306.00	0.87834
307.00	0.89277
308.00	0.90721
309.00	0.92164
310.00	0.93607
311.00	0.94868
312.00	0.96076
313.00	0.97285
314.00	0.98428
315.00	0.99525
316.00	0.99722
317.00	0.99861
318.00	1.0000
319.00	0.99722
320.00	0.99339
321.00	0.98732
322.00	0.98120
323.00	0.97012
324.00	0.95903
325.00	0.94320
326.00	0.92221
327.00	0.90059
328.00	0.87590
329.00	0.85121
330.00	0.82920
331.00	0.80727
332.00	0.78535
333.00	0.76466
334.00	0.74493
335.00	0.72465
336.00	0.70270
337.00	0.68651
338.00	0.67417
339.00	0.66183
340.00	0.65352
341.00	0.64543
342.00	0.64113
343.00	0.63897
344.00	0.63680
345.00	0.63724
346.00	0.63896
347.00	0.64068
348.00	0.64240
349.00	0.64882
350.00	0.65559
351.00	0.66237
352.00	0.67148
353.00	0.68141
354.00	0.69095
355.00	0.69906
356.00	0.70701
357.00	0.71380
358.00	0.72060
359.00	0.72533
360.00	0.72654
361.00	0.72776
362.00	0.72897
363.00	0.72673
364.00	0.72449
365.00	0.72037
366.00	0.71524
367.00	0.71011
368.00	0.70347
369.00	0.69405
370.00	0.68462
371.00	0.67520
372.00	0.66577
373.00	0.65375
374.00	0.64159
375.00	0.62943
376.00	0.61728
377.00	0.60512
378.00	0.59296
379.00	0.58027
380.00	0.56717
381.00	0.55406
382.00	0.54096
383.00	0.52785
384.00	0.51335
385.00	0.49666
386.00	0.47997
387.00	0.46328
388.00	0.44659
389.00	0.42083
390.00	0.39236
391.00	0.36390
392.00	0.33543
393.00	0.31238
394.00	0.29061
395.00	0.26884
396.00	0.24707
397.00	0.22562
398.00	0.20465
399.00	0.18367
400.00	0.16270
401.00	0.14178
402.00	0.12680
403.00	0.11182
404.00	0.096838
405.00	0.087641
406.00	0.078879
407.00	0.070117
408.00	0.061355
409.00	0.053893
410.00	0.047584
411.00	0.041274
412.00	0.035901
413.00	0.031010
414.00	0.026119
415.00	0.021228
416.00	0.017716
417.00	0.015699
418.00	0.013681
419.00	0.011663
420.00	0.0096453
421.00	0.0076275
422.00	0.0071212
423.00	0.0066457
424.00	0.0061701
425.00	0.0056946
426.00	0.0052191
427.00	0.0047436
428.00	0.0042681
429.00	0.0040492
430.00	0.0039944
431.00	0.0039397
432.00	0.0038849
433.00	0.0038302
434.00	0.0037754
435.00	0.0037207
436.00	0.0036659
437.00	0.0036112
438.00	0.0035564
439.00	0.0035017
440.00	0.0034372
441.00	0.0033721
442.00	0.0033070
443.00	0.0032418
444.00	0.0031767
445.00	0.0031116
446.00	0.0030465
447.00	0.0029814
448.00	0.0029163
449.00	0.0028511
450.00	0.0027860
451.00	0.0027209
452.00	0.0026558
453.00	0.0025907
454.00	0.0025256
455.00	0.0024604
456.00	0.0023953
457.00	0.0023302
458.00	0.0023302
459.00	0.0023302
460.00	0.0023302
461.00	0.0023302
462.00	0.0023302
463.00	0.0023302
464.00	0.0023302
465.00	0.0023302
466.00	0.0023302
467.00	0.0023302
468.00	0.0023302
469.00	0.0023302
470.00	0.0023302
471.00	0.0023302
472.00	0.0023302
473.00	0.0023302
474.00	0.0023302
475.00	0.0023302
476.00	0.0023302
477.00	0.0023302
478.00	0.0023302
479.00	0.0023302
480.00	0.0023302
481.00	0.0023302
482.00	0.0023302
483.00	0.0023302
484.00	0.0023302
485.00	0.0023302
486.00	0.0023302
487.00	0.0023302
488.00	0.0023302
489.00	0.0023302
490.00	0.0023302
491.00	0.0023302
492.00	0.0023302
493.00	0.0023302
494.00	0.0023302
495.00	0.0023302
496.00	0.0023302
497.00	0.0023302
498.00	0.0023302
499.00	0.0023302
500.00	0.0023302
