Wavelength (nm)	J Agric Food Chem 2017_2651, Pa-YCC-31 abs [Z]
464.00	0.097902
465.00	0.087041
466.00	0.077012
467.00	0.069231
468.00	0.061450
469.00	0.053669
470.00	0.047188
471.00	0.042232
472.00	0.037277
473.00	0.032321
474.00	0.027707
475.00	0.024882
476.00	0.022058
477.00	0.019233
478.00	0.016409
479.00	0.013871
480.00	0.012242
481.00	0.010613
482.00	0.0089844
483.00	0.0073555
484.00	0.0063662
485.00	0.0056644
486.00	0.0049625
487.00	0.0042606
488.00	0.0035588
489.00	0.0030745
490.00	0.0029032
491.00	0.0027320
492.00	0.0025607
493.00	0.0023895
494.00	0.0022182
495.00	0.0020646
496.00	0.0019109
497.00	0.0017573
498.00	0.0016037
499.00	0.0014500
500.00	0.0012964
501.00	0.0012918
502.00	0.0012918
503.00	0.0012918
504.00	0.0012918
505.00	0.0012918
506.00	0.0012918
507.00	0.0012918
508.00	0.0012918
509.00	0.0012918
510.00	0.0012918
511.00	0.0012918
512.00	0.0012918
513.00	0.0012918
514.00	0.0012918
515.00	0.0012918
516.00	0.0012918
517.00	0.0012918
518.00	0.0012918
519.00	0.0012918
520.00	0.0012918
521.00	0.0012918
522.00	0.0012918
523.00	0.0012918
524.00	0.0012918
525.00	0.0012918
526.00	0.0012918
527.00	0.0012918
528.00	0.0012918
529.00	0.0012918
530.00	0.0012918
531.00	0.0012918
532.00	0.0012918
533.00	0.0012918
534.00	0.0012918
535.00	0.0012918
536.00	0.0012918
537.00	0.0012918
538.00	0.0012918
539.00	0.0012918
540.00	0.0012918
541.00	0.0012918
542.00	0.0012918
543.00	0.0012918
544.00	0.0012918
545.00	0.0012918
546.00	0.0012918
547.00	0.0012918
548.00	0.0012918
549.00	0.0012918
550.00	0.0012918
551.00	0.0012918
552.00	0.0012918
553.00	0.0012918
554.00	0.0012918
555.00	0.0012918
556.00	0.0012918
557.00	0.0012918
558.00	0.0012918
559.00	0.0012918
560.00	0.0012918
561.00	0.0012918
562.00	0.0012918
563.00	0.0012918
564.00	0.0012918
565.00	0.0012918
566.00	0.0012918
567.00	0.0012918
568.00	0.0012918
569.00	0.0012918
570.00	0.0012918
571.00	0.0012918
572.00	0.0012918
573.00	0.0012918
574.00	0.0012918
575.00	0.0012918
576.00	0.0012918
577.00	0.0012918
578.00	0.0012918
579.00	0.0012918
580.00	0.0012918
581.00	0.0012918
582.00	0.0012918
583.00	0.0012918
584.00	0.0012918
585.00	0.0012918
586.00	0.0012918
587.00	0.0012918
588.00	0.0012918
589.00	0.0012918
590.00	0.0012918
591.00	0.0012918
592.00	0.0012918
593.00	0.0012918
594.00	0.0012918
595.00	0.0012918
596.00	0.0012918
597.00	0.0012918
598.00	0.0012918
599.00	0.0012918
600.00	0.0012918
